# event_ticker=KXATPMATCH-25AUG17OFNKOP
# final_score=3-6 6-4 6-3
# score_resolution=6-3 4-6 3-6
# match_winner=Vit Kopriva
# fav_player=Sebastian Ofner
# dog_player=Vit Kopriva
# kalshi_date=2025-08-17
timestamp,Sebastian Ofner,Vit Kopriva
2025-08-17T08:41:00Z,64.00,
2025-08-17T11:15:00Z,64.00,47.00
2025-08-17T12:17:00Z,64.00,41.00
2025-08-17T12:56:00Z,60.00,41.00
2025-08-17T13:32:00Z,60.00,41.54
2025-08-17T14:31:00Z,60.00,39.00
2025-08-17T14:54:00Z,60.00,40.00
2025-08-17T15:14:00Z,60.00,40.00
2025-08-17T15:21:00Z,60.00,40.00
2025-08-17T15:40:00Z,61.00,40.00
2025-08-17T16:00:00Z,61.00,40.00
2025-08-17T17:10:00Z,61.00,40.00
2025-08-17T17:23:00Z,61.00,40.00
2025-08-17T17:35:00Z,61.00,40.00
2025-08-17T17:37:00Z,61.00,40.00
2025-08-17T17:55:00Z,63.00,40.00
2025-08-17T18:15:00Z,63.00,40.00
2025-08-17T18:26:00Z,63.00,40.00
2025-08-17T18:31:00Z,63.00,42.90
2025-08-17T18:42:00Z,63.00,46.00
2025-08-17T18:43:00Z,62.00,46.00
2025-08-17T18:46:00Z,62.00,46.00
2025-08-17T18:48:00Z,62.00,46.00
2025-08-17T19:00:00Z,62.00,46.00
2025-08-17T19:02:00Z,62.00,46.00
2025-08-17T19:03:00Z,62.00,46.00
2025-08-17T19:04:00Z,61.00,39.98
2025-08-17T19:07:00Z,59.71,48.98
2025-08-17T19:08:00Z,59.71,46.00
2025-08-17T19:09:00Z,56.74,42.50
2025-08-17T19:10:00Z,56.74,36.07
2025-08-17T19:11:00Z,56.74,35.00
2025-08-17T19:13:00Z,56.74,33.31
2025-08-17T19:14:00Z,69.00,33.00
2025-08-17T19:15:00Z,62.00,38.00
2025-08-17T19:16:00Z,67.59,37.00
2025-08-17T19:17:00Z,67.59,32.00
2025-08-17T19:18:00Z,72.00,32.00
2025-08-17T19:21:00Z,76.01,32.00
2025-08-17T19:22:00Z,76.00,24.00
2025-08-17T19:23:00Z,78.02,24.00
2025-08-17T19:24:00Z,78.02,25.00
2025-08-17T19:26:00Z,79.00,22.00
2025-08-17T19:28:00Z,80.09,22.00
2025-08-17T19:32:00Z,77.70,22.00
2025-08-17T19:42:00Z,77.70,18.04
2025-08-17T19:45:00Z,77.70,19.00
2025-08-17T19:46:00Z,81.00,12.75
2025-08-17T19:47:00Z,89.64,9.00
2025-08-17T19:48:00Z,89.00,8.00
2025-08-17T19:50:00Z,89.00,9.00
2025-08-17T19:51:00Z,89.00,9.00
2025-08-17T19:54:00Z,94.80,9.00
2025-08-17T19:57:00Z,94.80,6.00
2025-08-17T20:02:00Z,94.80,8.98
2025-08-17T20:05:00Z,94.80,6.00
2025-08-17T20:09:00Z,94.00,6.00
2025-08-17T20:12:00Z,94.00,9.74
2025-08-17T20:13:00Z,88.11,17.00
2025-08-17T20:14:00Z,91.07,8.27
2025-08-17T20:15:00Z,82.58,18.36
2025-08-17T20:16:00Z,76.00,23.91
2025-08-17T20:17:00Z,75.00,27.00
2025-08-17T20:19:00Z,75.00,25.81
2025-08-17T20:20:00Z,75.00,32.54
2025-08-17T20:21:00Z,72.53,44.98
2025-08-17T20:22:00Z,60.98,43.50
2025-08-17T20:23:00Z,65.82,42.33
2025-08-17T20:24:00Z,52.58,42.33
2025-08-17T20:25:00Z,54.46,49.63
2025-08-17T20:26:00Z,59.00,49.63
2025-08-17T20:27:00Z,59.00,48.00
2025-08-17T20:28:00Z,47.00,54.00
2025-08-17T20:29:00Z,47.00,59.95
2025-08-17T20:30:00Z,40.01,60.00
2025-08-17T20:31:00Z,37.57,67.62
2025-08-17T20:32:00Z,11.33,67.62
2025-08-17T20:33:00Z,38.00,64.47
2025-08-17T20:34:00Z,13.08,66.00
2025-08-17T20:35:00Z,22.50,77.31
2025-08-17T20:36:00Z,18.76,81.16
2025-08-17T20:37:00Z,19.00,77.00
2025-08-17T20:38:00Z,18.59,90.85
2025-08-17T20:39:00Z,14.75,90.85
2025-08-17T20:40:00Z,14.75,90.89
2025-08-17T20:41:00Z,18.57,90.89
2025-08-17T20:42:00Z,18.00,83.95
2025-08-17T20:43:00Z,20.95,79.33
2025-08-17T20:44:00Z,21.86,76.54
2025-08-17T20:45:00Z,31.55,72.28
2025-08-17T20:46:00Z,27.02,73.97
2025-08-17T20:47:00Z,18.00,81.47
2025-08-17T20:48:00Z,2.42,89.33
2025-08-17T20:49:00Z,2.00,88.00
2025-08-17T20:51:00Z,2.00,91.87
2025-08-17T20:52:00Z,11.81,91.87
2025-08-17T20:53:00Z,12.00,93.02
2025-08-17T20:54:00Z,12.00,94.00
2025-08-17T20:55:00Z,3.20,94.00
2025-08-17T20:56:00Z,7.02,93.17
2025-08-17T20:57:00Z,8.92,93.17
2025-08-17T20:58:00Z,10.00,93.17
2025-08-17T20:59:00Z,6.73,97.34
2025-08-17T21:00:00Z,7.82,92.14
2025-08-17T21:01:00Z,6.70,93.32
2025-08-17T21:02:00Z,15.94,90.23
2025-08-17T21:03:00Z,15.94,74.00
2025-08-17T21:04:00Z,12.00,60.95
2025-08-17T21:06:00Z,12.00,99.00
2025-08-17T21:07:00Z,12.00,99.00
2025-08-17T21:10:00Z,12.00,99.00
