# event_ticker=KXATPMATCH-26MAY21PAUALT
# final_score=6-2 7-5
# score_resolution=2-6 5-7
# match_winner=Tommy Paul
# fav_player=Daniel Altmaier
# dog_player=Tommy Paul
# kalshi_date=2026-05-21
timestamp,Tommy Paul,Daniel Altmaier
2026-05-21T01:29:00Z,67.57,
2026-05-21T01:34:00Z,68.00,
2026-05-21T01:36:00Z,68.00,
2026-05-21T01:37:00Z,68.00,
2026-05-21T01:45:00Z,68.00,
2026-05-21T01:55:00Z,68.00,33.19
2026-05-21T02:01:00Z,68.00,33.19
2026-05-21T02:02:00Z,68.00,33.00
2026-05-21T02:05:00Z,68.00,33.00
2026-05-21T02:07:00Z,68.00,33.00
2026-05-21T02:13:00Z,68.00,33.00
2026-05-21T02:15:00Z,68.00,33.00
2026-05-21T02:17:00Z,68.00,33.00
2026-05-21T02:23:00Z,68.00,33.00
2026-05-21T02:24:00Z,68.00,33.00
2026-05-21T02:34:00Z,68.00,33.00
2026-05-21T02:45:00Z,68.00,33.38
2026-05-21T02:47:00Z,68.00,33.00
2026-05-21T02:57:00Z,68.00,33.00
2026-05-21T03:03:00Z,68.00,33.00
2026-05-21T03:10:00Z,68.00,33.00
2026-05-21T03:11:00Z,68.00,34.00
2026-05-21T03:12:00Z,67.00,34.00
2026-05-21T03:13:00Z,67.00,34.00
2026-05-21T03:14:00Z,67.00,34.00
2026-05-21T03:16:00Z,67.00,34.00
2026-05-21T03:18:00Z,66.00,34.00
2026-05-21T03:19:00Z,67.00,34.00
2026-05-21T03:25:00Z,67.00,34.00
2026-05-21T03:27:00Z,67.00,34.00
2026-05-21T03:29:00Z,67.00,34.00
2026-05-21T03:30:00Z,67.00,34.00
2026-05-21T03:33:00Z,67.00,34.00
2026-05-21T03:39:00Z,67.00,34.00
2026-05-21T03:41:00Z,67.00,34.00
2026-05-21T03:42:00Z,67.00,34.00
2026-05-21T03:43:00Z,67.00,34.00
2026-05-21T03:44:00Z,67.00,34.00
2026-05-21T03:45:00Z,67.00,34.00
