# event_ticker=KXATPCHALLENGERMATCH-26MAR17HERCOL
# final_score=6-4 6-0
# score_resolution=4-6 0-6
# match_winner=Alex Hernandez
# fav_player=Tibo Colson
# dog_player=Alex Hernandez
# kalshi_date=2026-03-17
timestamp,Tibo Colson,Alex Hernandez
2026-03-17T10:15:00Z,96.00,96.00
2026-03-17T10:25:00Z,96.00,52.00
2026-03-17T10:28:00Z,96.00,52.00
2026-03-17T10:35:00Z,65.00,38.00
2026-03-17T10:39:00Z,65.00,38.00
2026-03-17T10:44:00Z,67.00,38.00
2026-03-17T10:45:00Z,67.00,34.00
2026-03-17T10:50:00Z,67.00,34.00
2026-03-17T10:57:00Z,67.00,34.00
2026-03-17T11:00:00Z,67.00,34.00
2026-03-17T11:03:00Z,67.00,34.00
2026-03-17T11:08:00Z,68.30,34.00
2026-03-17T11:09:00Z,68.30,33.00
2026-03-17T11:10:00Z,72.00,33.00
2026-03-17T11:13:00Z,72.00,29.00
2026-03-17T11:29:00Z,72.00,29.00
2026-03-17T11:54:00Z,72.00,29.00
2026-03-17T13:29:00Z,72.00,29.00
2026-03-17T13:33:00Z,73.00,29.00
2026-03-17T13:34:00Z,71.00,29.00
2026-03-17T13:43:00Z,71.00,29.00
2026-03-17T14:10:00Z,73.00,29.00
2026-03-17T14:56:00Z,74.00,29.00
2026-03-17T14:57:00Z,74.00,29.00
2026-03-17T15:11:00Z,76.00,29.00
2026-03-17T15:33:00Z,75.00,29.00
2026-03-17T15:45:00Z,75.00,29.00
2026-03-17T16:05:00Z,75.00,29.00
2026-03-17T17:01:00Z,76.00,29.00
2026-03-17T17:28:00Z,76.00,29.00
2026-03-17T17:42:00Z,76.00,29.00
2026-03-17T19:02:00Z,76.00,25.00
2026-03-17T19:32:00Z,74.00,25.00
2026-03-17T19:37:00Z,73.00,25.00
2026-03-17T19:45:00Z,74.00,25.00
2026-03-17T19:48:00Z,75.86,25.00
2026-03-17T20:06:00Z,75.86,24.00
2026-03-17T20:30:00Z,76.00,24.00
2026-03-17T20:50:00Z,76.00,25.00
2026-03-17T21:39:00Z,76.00,25.00
2026-03-17T21:47:00Z,77.00,25.00
2026-03-17T22:04:00Z,77.00,25.00
2026-03-17T22:06:00Z,77.00,25.00
2026-03-17T22:07:00Z,72.49,27.13
2026-03-17T22:08:00Z,71.46,28.52
2026-03-17T22:09:00Z,71.46,26.88
2026-03-17T22:10:00Z,75.82,24.75
2026-03-17T22:11:00Z,60.50,40.03
2026-03-17T22:12:00Z,60.50,43.00
2026-03-17T22:13:00Z,61.38,38.00
2026-03-17T22:14:00Z,57.00,44.00
2026-03-17T22:15:00Z,51.82,48.79
2026-03-17T22:16:00Z,44.24,54.11
2026-03-17T22:17:00Z,46.00,54.11
2026-03-17T22:18:00Z,41.50,59.00
2026-03-17T22:19:00Z,42.00,60.00
2026-03-17T22:20:00Z,44.09,53.00
2026-03-17T22:21:00Z,52.00,50.00
2026-03-17T22:22:00Z,56.00,44.56
2026-03-17T22:24:00Z,56.25,45.00
2026-03-17T22:25:00Z,58.00,43.76
2026-03-17T22:26:00Z,56.97,48.00
2026-03-17T22:27:00Z,56.97,48.94
2026-03-17T22:28:00Z,48.05,52.25
2026-03-17T22:29:00Z,53.88,47.93
2026-03-17T22:30:00Z,53.88,47.03
2026-03-17T22:31:00Z,51.00,52.00
2026-03-17T22:32:00Z,46.00,52.75
2026-03-17T22:33:00Z,51.15,48.57
2026-03-17T22:35:00Z,51.15,48.00
2026-03-17T22:36:00Z,50.00,45.00
2026-03-17T22:37:00Z,48.85,52.76
2026-03-17T22:38:00Z,50.00,53.38
2026-03-17T22:39:00Z,48.00,51.72
2026-03-17T22:40:00Z,48.00,50.00
2026-03-17T22:41:00Z,48.94,50.72
2026-03-17T22:42:00Z,46.00,60.56
2026-03-17T22:43:00Z,46.00,57.35
2026-03-17T22:44:00Z,46.00,58.18
2026-03-17T22:45:00Z,35.69,65.00
2026-03-17T22:46:00Z,35.28,64.48
2026-03-17T22:47:00Z,35.24,61.55
2026-03-17T22:48:00Z,37.74,72.35
2026-03-17T22:49:00Z,24.00,74.15
2026-03-17T22:50:00Z,25.01,76.12
2026-03-17T22:51:00Z,34.96,65.80
2026-03-17T22:52:00Z,28.71,69.00
2026-03-17T22:53:00Z,21.61,78.72
2026-03-17T22:54:00Z,26.52,76.31
2026-03-17T22:55:00Z,30.75,75.38
2026-03-17T22:56:00Z,22.33,79.77
2026-03-17T22:57:00Z,11.00,85.31
2026-03-17T22:58:00Z,10.41,88.61
2026-03-17T22:59:00Z,15.80,85.52
2026-03-17T23:00:00Z,6.47,89.51
2026-03-17T23:01:00Z,5.84,93.91
2026-03-17T23:02:00Z,5.81,94.97
2026-03-17T23:03:00Z,2.94,97.45
2026-03-17T23:04:00Z,2.01,97.53
2026-03-17T23:05:00Z,1.12,99.00
2026-03-17T23:06:00Z,1.03,99.00
2026-03-17T23:07:00Z,1.00,99.00
2026-03-17T23:08:00Z,1.00,99.00
2026-03-17T23:09:00Z,1.00,99.00
