# event_ticker=KXATPCHALLENGERMATCH-26MAY26GLILAT
# final_score=6-3 6-3
# match_winner=Daniil Glinka
# fav_player=Daniil Glinka
# dog_player=Stefan Latinovic
# kalshi_date=2026-05-26
timestamp,Daniil Glinka,Stefan Latinovic
2026-05-26T02:27:00Z,,14.00
2026-05-26T05:13:00Z,87.00,14.00
2026-05-26T05:37:00Z,87.00,14.00
2026-05-26T05:46:00Z,87.00,14.00
2026-05-26T07:56:00Z,88.00,14.00
2026-05-26T08:11:00Z,88.00,14.00
2026-05-26T09:41:00Z,87.29,14.20
2026-05-26T11:09:00Z,87.29,12.00
2026-05-26T11:10:00Z,87.29,12.00
2026-05-26T11:16:00Z,89.00,11.00
2026-05-26T11:21:00Z,89.72,10.50
2026-05-26T11:22:00Z,90.00,12.00
2026-05-26T11:23:00Z,87.00,14.00
2026-05-26T11:24:00Z,87.00,12.00
2026-05-26T11:25:00Z,87.00,12.00
2026-05-26T11:26:00Z,91.64,9.00
2026-05-26T11:27:00Z,91.64,8.33
2026-05-26T11:28:00Z,90.00,10.02
2026-05-26T11:29:00Z,92.00,7.00
2026-05-26T11:31:00Z,94.67,5.00
2026-05-26T11:33:00Z,94.67,5.00
2026-05-26T11:35:00Z,96.00,5.00
2026-05-26T11:36:00Z,96.22,3.92
2026-05-26T11:37:00Z,97.00,3.92
2026-05-26T11:38:00Z,97.00,3.00
2026-05-26T11:40:00Z,97.00,3.00
2026-05-26T11:42:00Z,96.00,4.00
2026-05-26T11:43:00Z,96.00,5.00
2026-05-26T11:45:00Z,95.00,4.00
2026-05-26T11:46:00Z,94.00,6.06
2026-05-26T11:48:00Z,92.03,6.06
2026-05-26T11:49:00Z,92.03,9.00
2026-05-26T11:51:00Z,90.00,10.00
2026-05-26T11:52:00Z,91.00,8.00
2026-05-26T11:53:00Z,93.00,8.58
2026-05-26T11:54:00Z,93.44,6.00
2026-05-26T11:57:00Z,96.00,6.00
2026-05-26T11:59:00Z,96.00,5.00
2026-05-26T12:00:00Z,96.00,5.00
2026-05-26T12:02:00Z,96.00,6.00
2026-05-26T12:03:00Z,96.00,5.95
2026-05-26T12:04:00Z,95.99,4.00
2026-05-26T12:05:00Z,95.05,5.00
2026-05-26T12:06:00Z,97.00,4.50
2026-05-26T12:07:00Z,97.00,5.05
2026-05-26T12:08:00Z,97.00,5.97
2026-05-26T12:09:00Z,94.00,6.00
2026-05-26T12:10:00Z,95.00,6.00
2026-05-26T12:11:00Z,96.00,5.00
2026-05-26T12:12:00Z,95.00,5.00
2026-05-26T12:13:00Z,93.02,7.00
2026-05-26T12:14:00Z,93.02,6.34
2026-05-26T12:15:00Z,94.50,6.34
2026-05-26T12:16:00Z,95.00,6.34
2026-05-26T12:17:00Z,95.00,6.34
2026-05-26T12:18:00Z,95.00,6.34
2026-05-26T12:19:00Z,95.00,5.00
2026-05-26T12:20:00Z,95.00,1.18
2026-05-26T12:21:00Z,98.00,1.18
2026-05-26T12:22:00Z,99.00,1.18
2026-05-26T12:23:00Z,99.00,1.00
2026-05-26T12:24:00Z,99.00,1.00
2026-05-26T12:25:00Z,99.00,2.00
2026-05-26T12:27:00Z,99.00,1.69
2026-05-26T12:30:00Z,99.00,1.69
2026-05-26T12:31:00Z,99.00,1.00
2026-05-26T12:32:00Z,98.47,1.01
2026-05-26T12:33:00Z,99.00,1.01
2026-05-26T12:34:00Z,99.00,2.00
