# event_ticker=KXATPMATCH-26APR22BAUTIR
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Thiago Agustin Tirante
# fav_player=Roberto Bautista Agut
# dog_player=Thiago Agustin Tirante
# kalshi_date=2026-04-22
timestamp,Roberto Bautista Agut,Thiago Agustin Tirante
2026-04-22T01:53:00Z,37.00,
2026-04-22T02:08:00Z,37.00,65.00
2026-04-22T02:09:00Z,37.00,65.00
2026-04-22T02:13:00Z,37.00,65.00
2026-04-22T02:14:00Z,37.00,65.00
2026-04-22T02:26:00Z,37.00,65.00
2026-04-22T02:29:00Z,37.00,65.00
2026-04-22T02:36:00Z,37.00,65.00
2026-04-22T02:49:00Z,37.00,65.00
2026-04-22T03:07:00Z,37.00,65.00
2026-04-22T03:16:00Z,37.00,65.00
2026-04-22T03:18:00Z,37.00,65.00
2026-04-22T03:38:00Z,37.00,65.00
2026-04-22T03:49:00Z,37.00,65.00
2026-04-22T04:13:00Z,37.00,65.00
2026-04-22T04:21:00Z,37.00,65.00
2026-04-22T04:22:00Z,37.00,65.00
2026-04-22T04:28:00Z,37.00,65.00
2026-04-22T04:33:00Z,37.00,65.00
2026-04-22T04:44:00Z,36.00,65.00
2026-04-22T04:46:00Z,36.00,65.00
2026-04-22T04:50:00Z,36.00,65.00
2026-04-22T05:02:00Z,36.00,65.00
2026-04-22T05:12:00Z,36.00,65.00
2026-04-22T05:14:00Z,36.00,65.00
2026-04-22T05:27:00Z,36.00,65.00
2026-04-22T05:28:00Z,36.97,65.00
2026-04-22T05:29:00Z,36.97,65.00
2026-04-22T05:31:00Z,36.97,65.00
2026-04-22T05:32:00Z,37.00,65.00
2026-04-22T05:34:00Z,37.00,64.64
2026-04-22T05:35:00Z,35.00,64.64
2026-04-22T05:36:00Z,35.00,65.00
2026-04-22T05:38:00Z,35.00,64.09
2026-04-22T05:40:00Z,37.00,64.09
2026-04-22T05:41:00Z,37.00,65.00
2026-04-22T05:44:00Z,37.00,65.00
2026-04-22T05:51:00Z,36.00,65.00
2026-04-22T06:00:00Z,36.00,65.00
2026-04-22T06:01:00Z,36.00,65.00
2026-04-22T06:03:00Z,37.00,65.00
2026-04-22T06:04:00Z,37.00,65.00
2026-04-22T06:05:00Z,37.00,65.00
2026-04-22T06:08:00Z,37.00,65.00
2026-04-22T06:14:00Z,37.00,65.00
