# event_ticker=KXATPMATCH-25JUL20NISBRO
# final_score=6-4 5-7 6-1
# score_resolution=4-6 7-5 1-6
# match_winner=Yoshihito Nishioka
# fav_player=Jenson Brooksby
# dog_player=Yoshihito Nishioka
# kalshi_date=2025-07-20
timestamp,Jenson Brooksby,Yoshihito Nishioka
2025-07-21T12:03:00Z,,29.00
2025-07-21T12:04:00Z,,24.00
2025-07-21T12:20:00Z,73.00,24.00
2025-07-21T12:24:00Z,73.00,24.00
2025-07-21T13:22:00Z,73.00,24.00
2025-07-21T13:34:00Z,73.00,27.01
2025-07-21T13:40:00Z,73.00,28.00
2025-07-21T13:50:00Z,73.00,28.00
2025-07-21T13:54:00Z,73.00,28.00
2025-07-21T14:18:00Z,73.00,28.00
2025-07-21T14:19:00Z,73.00,28.00
2025-07-21T14:22:00Z,73.00,28.00
2025-07-21T14:28:00Z,73.00,28.00
2025-07-21T14:32:00Z,73.00,28.00
2025-07-21T14:33:00Z,71.79,28.00
2025-07-21T14:36:00Z,73.00,28.00
2025-07-21T14:37:00Z,73.00,29.00
2025-07-21T14:51:00Z,73.00,29.00
2025-07-21T15:08:00Z,73.00,26.51
2025-07-21T15:10:00Z,73.00,28.00
2025-07-21T15:15:00Z,71.00,28.00
2025-07-21T15:21:00Z,71.00,28.00
2025-07-21T15:37:00Z,73.00,28.00
2025-07-21T15:42:00Z,73.00,28.00
2025-07-21T16:02:00Z,73.00,27.00
2025-07-21T16:12:00Z,73.00,27.00
2025-07-21T16:16:00Z,73.00,29.00
2025-07-21T16:21:00Z,73.00,29.00
2025-07-21T16:36:00Z,73.00,29.00
2025-07-21T16:59:00Z,73.00,29.00
2025-07-21T17:08:00Z,73.00,28.00
2025-07-21T17:20:00Z,73.00,29.00
2025-07-21T17:21:00Z,73.00,29.75
2025-07-21T17:41:00Z,73.00,29.00
2025-07-21T18:04:00Z,72.00,29.00
2025-07-21T18:17:00Z,72.00,28.00
2025-07-21T18:20:00Z,72.00,28.00
2025-07-21T18:33:00Z,72.00,28.00
2025-07-21T18:39:00Z,72.00,27.35
2025-07-21T18:40:00Z,72.00,27.00
2025-07-21T19:07:00Z,72.00,29.00
2025-07-21T19:26:00Z,72.00,29.00
2025-07-21T19:38:00Z,72.00,29.00
2025-07-21T19:56:00Z,72.00,28.27
2025-07-21T19:58:00Z,72.00,28.00
2025-07-21T20:03:00Z,72.00,29.79
2025-07-21T20:06:00Z,72.00,29.79
2025-07-21T20:07:00Z,70.00,29.79
2025-07-21T20:09:00Z,72.00,29.79
2025-07-21T20:18:00Z,72.00,29.04
2025-07-21T20:19:00Z,72.00,27.40
2025-07-21T20:21:00Z,72.00,29.00
2025-07-21T20:22:00Z,72.36,29.00
2025-07-21T20:23:00Z,73.00,29.00
2025-07-21T20:29:00Z,72.00,29.00
2025-07-21T20:32:00Z,72.00,29.73
2025-07-21T20:36:00Z,72.00,29.04
2025-07-21T20:43:00Z,70.57,29.04
2025-07-21T20:44:00Z,70.57,29.47
2025-07-21T20:47:00Z,70.57,29.00
2025-07-21T20:50:00Z,72.00,29.00
2025-07-21T20:54:00Z,72.00,29.00
2025-07-21T20:57:00Z,70.00,29.00
2025-07-21T20:59:00Z,70.00,29.93
2025-07-21T21:02:00Z,70.00,28.63
2025-07-21T21:06:00Z,70.00,31.00
2025-07-21T21:07:00Z,73.00,28.81
2025-07-21T21:08:00Z,73.00,28.00
2025-07-21T21:09:00Z,73.00,28.68
2025-07-21T21:10:00Z,73.00,28.00
2025-07-21T21:11:00Z,73.00,30.18
2025-07-21T21:12:00Z,68.88,33.00
2025-07-21T21:13:00Z,68.88,35.90
2025-07-21T21:14:00Z,70.00,34.00
2025-07-21T21:15:00Z,70.00,37.29
2025-07-21T21:16:00Z,64.06,42.02
2025-07-21T21:17:00Z,64.06,38.92
2025-07-21T21:18:00Z,60.00,43.72
2025-07-21T21:19:00Z,59.09,44.72
2025-07-21T21:20:00Z,54.29,48.48
2025-07-21T21:21:00Z,61.00,48.48
2025-07-21T21:22:00Z,63.24,34.95
2025-07-21T21:23:00Z,67.00,35.00
2025-07-21T21:24:00Z,67.00,37.02
2025-07-21T21:25:00Z,64.00,36.00
2025-07-21T21:26:00Z,63.00,37.64
2025-07-21T21:27:00Z,70.86,31.10
2025-07-21T21:28:00Z,70.86,31.00
2025-07-21T21:29:00Z,70.86,31.00
2025-07-21T21:30:00Z,70.00,31.00
2025-07-21T21:31:00Z,69.00,33.00
