# event_ticker=KXATPCHALLENGERMATCH-26MAR12DENKOL
# final_score=6-1 6-2
# match_winner=Zdenek Kolar
# fav_player=Zdenek Kolar
# dog_player=Corentin Denolly
# kalshi_date=2026-03-12
timestamp,Zdenek Kolar,Corentin Denolly
2026-03-12T02:49:00Z,83.00,
2026-03-12T03:16:00Z,83.00,
2026-03-12T03:43:00Z,83.00,
2026-03-12T04:24:00Z,84.00,
2026-03-12T04:38:00Z,84.00,
2026-03-12T04:42:00Z,84.00,19.00
2026-03-12T04:47:00Z,84.00,19.00
2026-03-12T04:53:00Z,84.00,19.00
2026-03-12T05:00:00Z,84.00,19.00
2026-03-12T05:20:00Z,84.00,20.00
2026-03-12T05:40:00Z,84.00,19.00
2026-03-12T05:43:00Z,83.00,19.00
2026-03-12T06:06:00Z,83.36,18.00
2026-03-12T06:13:00Z,83.36,17.00
2026-03-12T06:17:00Z,83.36,18.00
2026-03-12T06:21:00Z,83.00,18.00
2026-03-12T06:28:00Z,83.00,18.00
2026-03-12T06:29:00Z,83.00,19.00
2026-03-12T06:30:00Z,83.00,19.00
2026-03-12T06:52:00Z,83.00,19.00
2026-03-12T06:57:00Z,83.00,19.00
2026-03-12T07:00:00Z,83.00,19.00
2026-03-12T09:01:00Z,94.44,10.44
2026-03-12T09:04:00Z,94.44,1.00
2026-03-12T09:05:00Z,94.44,3.00
2026-03-12T09:08:00Z,94.44,1.21
