# event_ticker=KXATPMATCH-25JUL24PRIDAR
# final_score=1-6 6-2 6-3
# score_resolution=6-1 2-6 3-6
# match_winner=Luciano Darderi
# fav_player=Dino Prizmic
# dog_player=Luciano Darderi
# kalshi_date=2025-07-24
timestamp,Dino Prizmic,Luciano Darderi
2025-07-24T12:10:00Z,,60.00
2025-07-24T12:20:00Z,,60.00
2025-07-24T13:00:00Z,39.00,60.00
2025-07-24T13:07:00Z,39.00,62.00
2025-07-24T13:09:00Z,39.00,62.00
2025-07-24T13:12:00Z,39.00,62.00
2025-07-24T13:16:00Z,39.00,63.00
2025-07-24T13:17:00Z,39.00,63.00
2025-07-24T13:24:00Z,39.00,63.00
2025-07-24T13:38:00Z,39.00,63.00
2025-07-24T13:50:00Z,39.00,63.00
2025-07-24T13:55:00Z,38.00,63.00
2025-07-24T14:13:00Z,38.00,61.00
2025-07-24T14:29:00Z,38.00,61.00
2025-07-24T14:46:00Z,38.00,63.00
2025-07-24T14:47:00Z,38.00,63.00
2025-07-24T14:56:00Z,38.00,63.00
2025-07-24T15:07:00Z,39.00,63.00
2025-07-24T15:12:00Z,38.00,63.00
2025-07-24T15:34:00Z,38.00,64.00
2025-07-24T15:35:00Z,38.00,64.00
2025-07-24T15:40:00Z,38.00,64.00
2025-07-24T15:42:00Z,38.00,64.00
2025-07-24T15:44:00Z,38.00,64.00
2025-07-24T15:46:00Z,38.00,64.00
2025-07-24T15:47:00Z,38.00,64.00
2025-07-24T15:49:00Z,38.00,64.00
2025-07-24T15:52:00Z,38.00,64.00
2025-07-24T16:00:00Z,38.00,64.00
2025-07-24T16:02:00Z,37.00,64.00
2025-07-24T16:03:00Z,37.00,64.00
2025-07-24T16:05:00Z,37.06,64.00
2025-07-24T16:15:00Z,38.00,63.00
2025-07-24T16:19:00Z,38.00,64.89
2025-07-24T16:20:00Z,38.00,65.00
2025-07-24T16:21:00Z,38.00,65.00
2025-07-24T16:22:00Z,38.00,65.00
2025-07-24T16:24:00Z,38.00,65.00
2025-07-24T16:25:00Z,38.00,67.60
2025-07-24T16:26:00Z,38.00,67.00
2025-07-24T16:27:00Z,35.00,67.00
2025-07-24T16:28:00Z,34.00,67.00
2025-07-24T16:29:00Z,31.00,68.95
2025-07-24T16:30:00Z,31.00,70.03
2025-07-24T16:31:00Z,29.00,74.00
2025-07-24T16:32:00Z,29.00,76.40
2025-07-24T16:33:00Z,29.00,70.89
2025-07-24T16:34:00Z,30.00,71.29
2025-07-24T16:35:00Z,30.00,65.73
2025-07-24T16:36:00Z,36.29,63.15
2025-07-24T16:37:00Z,43.30,63.82
2025-07-24T16:38:00Z,45.00,58.00
2025-07-24T16:39:00Z,45.00,57.19
2025-07-24T16:40:00Z,48.00,53.00
2025-07-24T16:41:00Z,51.00,52.78
2025-07-24T16:42:00Z,51.62,44.97
