# event_ticker=KXATPCHALLENGERMATCH-26FEB17RODTOB
# final_score=6-2 4-3 RET
# match_winner=Natan Rodrigues
# fav_player=Miguel Tobon
# dog_player=Natan Rodrigues
# kalshi_date=2026-02-17
timestamp,Miguel Tobon,Natan Rodrigues
2026-02-17T14:39:00Z,59.00,
2026-02-17T14:55:00Z,58.00,
2026-02-17T15:37:00Z,61.00,
2026-02-17T16:03:00Z,58.00,
2026-02-17T16:09:00Z,58.00,46.00
2026-02-17T16:11:00Z,54.00,46.00
2026-02-17T16:19:00Z,54.00,46.00
2026-02-17T16:32:00Z,57.00,46.00
2026-02-17T16:46:00Z,58.00,46.00
2026-02-17T16:50:00Z,58.00,46.00
2026-02-17T16:58:00Z,58.00,45.00
2026-02-17T17:04:00Z,58.19,45.00
2026-02-17T17:08:00Z,58.17,45.00
2026-02-17T17:18:00Z,58.54,45.00
2026-02-17T17:23:00Z,58.76,45.00
2026-02-17T17:28:00Z,58.76,44.93
2026-02-17T17:34:00Z,59.00,44.93
2026-02-17T17:35:00Z,59.00,44.99
2026-02-17T17:36:00Z,59.00,44.99
2026-02-17T17:37:00Z,59.00,44.99
2026-02-17T17:38:00Z,59.00,44.99
2026-02-17T17:41:00Z,59.00,44.90
2026-02-17T17:42:00Z,59.00,44.90
2026-02-17T17:44:00Z,59.00,42.00
2026-02-17T17:45:00Z,59.00,41.00
2026-02-17T17:46:00Z,59.00,41.00
2026-02-17T17:48:00Z,59.00,41.00
2026-02-17T17:52:00Z,58.99,41.00
2026-02-17T17:53:00Z,59.74,41.00
2026-02-17T17:55:00Z,59.00,41.00
2026-02-17T17:56:00Z,59.36,41.00
2026-02-17T17:57:00Z,59.00,43.00
2026-02-17T17:58:00Z,51.00,47.33
2026-02-17T17:59:00Z,47.96,58.77
2026-02-17T18:00:00Z,42.99,58.77
2026-02-17T18:01:00Z,42.99,65.00
2026-02-17T18:02:00Z,36.00,67.86
2026-02-17T18:03:00Z,37.00,67.86
2026-02-17T18:04:00Z,33.92,66.00
2026-02-17T18:05:00Z,36.00,67.33
2026-02-17T18:06:00Z,33.00,66.18
2026-02-17T18:07:00Z,30.00,66.18
2026-02-17T18:08:00Z,22.00,74.11
2026-02-17T18:09:00Z,21.07,79.92
2026-02-17T18:10:00Z,17.00,82.00
2026-02-17T18:11:00Z,17.00,83.00
2026-02-17T18:12:00Z,16.00,85.00
2026-02-17T18:14:00Z,18.69,82.00
2026-02-17T18:15:00Z,17.00,84.35
2026-02-17T18:16:00Z,17.00,84.00
2026-02-17T18:17:00Z,15.08,85.11
2026-02-17T18:18:00Z,14.96,87.00
2026-02-17T18:19:00Z,14.96,85.26
2026-02-17T18:20:00Z,14.96,85.00
2026-02-17T18:21:00Z,16.59,85.00
2026-02-17T18:22:00Z,16.59,85.99
2026-02-17T18:23:00Z,13.01,86.86
2026-02-17T18:24:00Z,14.00,88.00
2026-02-17T18:25:00Z,14.00,88.04
2026-02-17T18:26:00Z,12.55,88.04
2026-02-17T18:27:00Z,10.43,89.00
2026-02-17T18:28:00Z,11.00,89.44
2026-02-17T18:29:00Z,13.00,89.44
2026-02-17T18:30:00Z,13.28,87.00
2026-02-17T18:31:00Z,16.19,86.00
2026-02-17T18:32:00Z,16.08,86.00
2026-02-17T18:33:00Z,19.00,83.46
2026-02-17T18:34:00Z,23.99,78.44
2026-02-17T18:35:00Z,20.71,77.50
2026-02-17T18:36:00Z,34.30,71.00
2026-02-17T18:37:00Z,31.96,70.53
2026-02-17T18:38:00Z,35.75,63.94
2026-02-17T18:39:00Z,48.89,54.03
2026-02-17T18:40:00Z,47.56,56.48
2026-02-17T18:41:00Z,37.14,66.30
2026-02-17T18:42:00Z,35.82,64.90
2026-02-17T18:43:00Z,38.06,63.58
2026-02-17T18:44:00Z,37.22,63.68
2026-02-17T18:45:00Z,36.06,65.49
2026-02-17T18:46:00Z,38.57,64.66
2026-02-17T18:47:00Z,33.15,69.13
2026-02-17T18:48:00Z,19.73,82.00
2026-02-17T18:49:00Z,25.02,76.66
2026-02-17T18:50:00Z,24.78,77.68
2026-02-17T18:51:00Z,17.89,82.05
2026-02-17T18:52:00Z,15.82,87.67
2026-02-17T18:53:00Z,4.99,94.62
2026-02-17T18:54:00Z,2.23,98.53
2026-02-17T18:55:00Z,2.30,98.76
2026-02-17T18:56:00Z,1.00,99.00
2026-02-17T18:57:00Z,1.00,99.00
2026-02-17T18:58:00Z,1.00,99.00
2026-02-17T18:59:00Z,1.00,99.00
2026-02-17T19:00:00Z,1.00,99.00
2026-02-17T19:01:00Z,1.00,99.00
