# event_ticker=KXATPMATCH-25JUL16CERGOF
# final_score=5-7 6-4 6-1
# score_resolution=7-5 4-6 1-6
# match_winner=Juan Manuel Cerundolo
# fav_player=David Goffin
# dog_player=Juan Manuel Cerundolo
# kalshi_date=2025-07-16
timestamp,David Goffin,Juan Manuel Cerundolo
2025-07-16T21:59:00Z,,35.00
2025-07-16T22:00:00Z,71.00,35.00
2025-07-16T22:02:00Z,71.00,35.00
2025-07-16T22:03:00Z,71.00,35.00
2025-07-16T22:06:00Z,71.00,35.00
2025-07-16T22:07:00Z,71.00,35.00
2025-07-16T22:08:00Z,71.00,34.00
2025-07-16T22:10:00Z,71.00,30.00
2025-07-16T22:11:00Z,71.00,30.00
2025-07-16T22:12:00Z,71.00,30.00
2025-07-16T22:13:00Z,71.00,30.00
2025-07-16T22:14:00Z,71.00,30.00
2025-07-16T22:15:00Z,70.73,30.00
2025-07-16T22:16:00Z,71.00,32.95
2025-07-16T22:17:00Z,69.00,28.83
2025-07-16T22:18:00Z,69.00,28.83
2025-07-16T22:19:00Z,71.00,28.83
2025-07-16T22:20:00Z,71.00,28.83
2025-07-16T22:22:00Z,71.00,28.83
2025-07-16T22:24:00Z,71.00,33.00
2025-07-16T22:25:00Z,71.00,33.00
2025-07-16T22:26:00Z,70.00,33.00
2025-07-16T22:27:00Z,71.00,33.00
2025-07-16T22:28:00Z,71.37,33.00
2025-07-16T22:30:00Z,74.00,33.00
2025-07-16T22:31:00Z,74.00,30.00
2025-07-16T22:34:00Z,70.22,30.00
2025-07-16T22:36:00Z,73.00,30.00
2025-07-16T22:37:00Z,74.00,30.00
2025-07-16T22:38:00Z,74.00,30.00
2025-07-16T22:39:00Z,74.00,30.00
2025-07-16T22:42:00Z,68.06,29.55
2025-07-16T22:43:00Z,73.00,30.50
2025-07-16T22:44:00Z,74.00,30.50
2025-07-16T22:47:00Z,74.00,33.00
2025-07-16T22:48:00Z,73.41,28.00
2025-07-16T22:49:00Z,73.00,28.00
2025-07-16T22:50:00Z,73.00,28.00
2025-07-16T22:51:00Z,73.62,28.00
2025-07-16T22:52:00Z,74.01,28.00
2025-07-16T22:53:00Z,73.00,31.00
2025-07-16T22:54:00Z,72.54,30.43
2025-07-16T22:57:00Z,74.93,30.43
2025-07-16T22:58:00Z,73.00,30.43
2025-07-16T22:59:00Z,73.07,30.43
2025-07-16T23:00:00Z,74.00,30.43
2025-07-16T23:01:00Z,72.50,28.76
2025-07-16T23:02:00Z,74.89,28.76
2025-07-16T23:03:00Z,75.00,28.76
2025-07-16T23:05:00Z,72.05,28.76
2025-07-16T23:09:00Z,74.67,28.76
2025-07-16T23:10:00Z,73.00,29.00
2025-07-16T23:11:00Z,73.83,29.00
2025-07-16T23:12:00Z,73.00,29.00
2025-07-16T23:13:00Z,73.00,29.00
2025-07-16T23:14:00Z,73.40,29.00
