# event_ticker=KXATPCHALLENGERMATCH-26APR29MARROY
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Valentin Royer
# fav_player=Pedro Martinez
# dog_player=Valentin Royer
# kalshi_date=2026-04-29
timestamp,Pedro Martinez,Valentin Royer
2026-04-29T00:59:00Z,40.00,
2026-04-29T02:38:00Z,40.00,59.00
2026-04-29T02:54:00Z,40.00,59.00
2026-04-29T02:55:00Z,40.00,59.00
2026-04-29T03:02:00Z,40.00,59.00
2026-04-29T03:33:00Z,42.00,59.00
2026-04-29T03:39:00Z,42.00,59.00
2026-04-29T03:40:00Z,42.00,59.00
2026-04-29T04:07:00Z,42.00,59.00
2026-04-29T04:28:00Z,42.00,59.00
2026-04-29T04:30:00Z,42.00,59.00
2026-04-29T04:41:00Z,42.00,59.00
2026-04-29T05:05:00Z,42.00,59.00
2026-04-29T05:09:00Z,42.00,58.00
2026-04-29T05:19:00Z,42.00,59.00
2026-04-29T05:42:00Z,42.00,59.00
2026-04-29T05:56:00Z,42.00,59.00
2026-04-29T06:04:00Z,42.00,59.00
2026-04-29T06:07:00Z,42.00,59.00
2026-04-29T06:37:00Z,42.00,59.00
2026-04-29T07:05:00Z,42.00,59.00
2026-04-29T07:28:00Z,42.00,59.00
2026-04-29T07:49:00Z,42.00,59.00
2026-04-29T08:23:00Z,42.00,59.00
2026-04-29T08:28:00Z,42.00,59.38
2026-04-29T08:29:00Z,42.00,60.00
2026-04-29T08:36:00Z,42.00,60.00
2026-04-29T08:38:00Z,42.00,60.00
2026-04-29T08:44:00Z,42.00,60.00
2026-04-29T08:48:00Z,41.41,60.00
2026-04-29T08:55:00Z,41.00,60.00
2026-04-29T09:03:00Z,41.00,60.00
2026-04-29T09:05:00Z,41.00,60.00
2026-04-29T09:21:00Z,41.00,60.00
2026-04-29T09:43:00Z,41.00,60.00
2026-04-29T10:05:00Z,41.00,60.00
2026-04-29T10:07:00Z,41.00,60.00
2026-04-29T10:23:00Z,42.00,60.00
2026-04-29T10:24:00Z,42.00,60.00
2026-04-29T10:27:00Z,42.00,60.00
2026-04-29T10:28:00Z,42.00,60.00
2026-04-29T10:32:00Z,42.00,60.97
2026-04-29T10:38:00Z,42.00,61.00
2026-04-29T10:41:00Z,42.00,61.00
2026-04-29T10:46:00Z,42.00,61.00
2026-04-29T10:48:00Z,43.00,61.00
2026-04-29T10:49:00Z,43.00,59.79
2026-04-29T10:51:00Z,43.00,59.00
2026-04-29T10:57:00Z,43.00,59.00
2026-04-29T11:03:00Z,43.00,59.00
2026-04-29T11:07:00Z,43.00,60.00
2026-04-29T11:09:00Z,43.00,60.00
2026-04-29T11:10:00Z,43.00,60.00
2026-04-29T11:13:00Z,43.00,60.00
2026-04-29T11:14:00Z,42.99,60.00
2026-04-29T11:16:00Z,42.06,60.00
2026-04-29T11:17:00Z,42.00,60.00
2026-04-29T11:18:00Z,42.00,60.00
2026-04-29T11:20:00Z,42.00,61.00
2026-04-29T11:21:00Z,40.00,61.00
2026-04-29T11:22:00Z,41.00,60.04
2026-04-29T11:23:00Z,43.00,60.93
2026-04-29T11:24:00Z,46.23,60.93
2026-04-29T11:25:00Z,41.00,58.00
2026-04-29T11:26:00Z,48.28,56.00
2026-04-29T11:27:00Z,48.28,46.00
2026-04-29T11:28:00Z,55.63,46.00
2026-04-29T11:29:00Z,55.63,46.39
2026-04-29T11:30:00Z,51.11,53.65
2026-04-29T11:31:00Z,44.00,52.07
2026-04-29T11:32:00Z,44.00,57.37
2026-04-29T11:33:00Z,39.58,61.33
2026-04-29T11:34:00Z,39.58,62.00
2026-04-29T11:35:00Z,38.00,63.00
2026-04-29T11:36:00Z,37.13,63.26
2026-04-29T11:37:00Z,37.00,64.30
2026-04-29T11:38:00Z,37.27,64.30
2026-04-29T11:39:00Z,37.39,64.99
2026-04-29T11:40:00Z,37.00,62.35
2026-04-29T11:41:00Z,37.00,62.35
2026-04-29T11:42:00Z,37.90,64.00
2026-04-29T11:43:00Z,37.97,63.47
2026-04-29T11:44:00Z,39.00,61.67
2026-04-29T11:45:00Z,44.23,59.49
2026-04-29T11:46:00Z,44.23,62.44
2026-04-29T11:47:00Z,35.01,65.08
2026-04-29T11:48:00Z,35.01,66.00
2026-04-29T11:49:00Z,35.01,67.21
2026-04-29T11:50:00Z,29.24,71.05
2026-04-29T11:51:00Z,30.00,71.13
2026-04-29T11:52:00Z,20.23,77.52
2026-04-29T11:53:00Z,22.00,78.17
2026-04-29T11:54:00Z,26.20,74.00
2026-04-29T11:55:00Z,21.00,74.00
2026-04-29T11:56:00Z,19.00,77.82
2026-04-29T11:57:00Z,17.00,83.00
2026-04-29T11:59:00Z,18.00,83.00
2026-04-29T12:00:00Z,15.70,83.96
2026-04-29T12:01:00Z,13.32,85.31
2026-04-29T12:02:00Z,12.92,87.86
2026-04-29T12:03:00Z,13.00,88.00
2026-04-29T12:04:00Z,13.00,87.21
2026-04-29T12:05:00Z,13.00,88.00
2026-04-29T12:06:00Z,13.00,87.85
2026-04-29T12:07:00Z,10.33,89.39
2026-04-29T12:08:00Z,10.00,91.00
2026-04-29T12:09:00Z,11.00,89.69
2026-04-29T12:10:00Z,11.00,89.29
