# event_ticker=KXATPMATCH-26MAY21RINBUB
# final_score=5-7 6-4 6-2
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Arthur Rinderknech
# kalshi_date=2026-05-21
timestamp,Arthur Rinderknech,Alexander Bublik
2026-05-21T06:43:00Z,37.00,64.00
2026-05-21T06:50:00Z,37.00,64.00
2026-05-21T06:56:00Z,37.00,64.00
2026-05-21T07:36:00Z,37.00,64.00
2026-05-21T09:01:00Z,38.00,64.00
2026-05-21T09:06:00Z,38.00,63.00
2026-05-21T09:07:00Z,38.00,63.00
2026-05-21T09:13:00Z,38.00,63.00
2026-05-21T09:19:00Z,38.00,63.00
2026-05-21T09:34:00Z,38.00,63.00
2026-05-21T09:50:00Z,38.00,63.00
2026-05-21T09:57:00Z,38.00,63.00
2026-05-21T10:03:00Z,38.00,63.00
2026-05-21T10:05:00Z,38.00,63.00
2026-05-21T10:08:00Z,38.00,63.00
2026-05-21T10:10:00Z,38.00,63.00
2026-05-21T10:11:00Z,38.00,63.00
2026-05-21T10:16:00Z,38.00,63.00
2026-05-21T10:27:00Z,38.00,63.00
2026-05-21T10:29:00Z,38.00,63.00
2026-05-21T10:30:00Z,38.00,63.00
2026-05-21T10:34:00Z,38.00,63.00
2026-05-21T10:38:00Z,38.00,63.00
2026-05-21T10:51:00Z,38.00,63.00
2026-05-21T10:56:00Z,38.00,63.00
2026-05-21T11:01:00Z,38.00,63.00
2026-05-21T11:16:00Z,38.00,63.00
2026-05-21T11:32:00Z,38.00,63.00
2026-05-21T11:39:00Z,38.00,63.00
2026-05-21T11:45:00Z,38.00,63.00
2026-05-21T11:47:00Z,38.00,63.00
2026-05-21T11:58:00Z,38.00,63.00
2026-05-21T12:03:00Z,38.00,63.00
2026-05-21T12:06:00Z,38.00,63.00
2026-05-21T12:11:00Z,38.00,63.00
2026-05-21T12:15:00Z,38.00,63.00
2026-05-21T12:29:00Z,38.00,63.00
2026-05-21T12:33:00Z,38.00,63.00
2026-05-21T12:34:00Z,38.00,63.00
2026-05-21T12:36:00Z,38.00,63.00
2026-05-21T12:43:00Z,38.00,62.00
2026-05-21T12:45:00Z,38.00,62.00
2026-05-21T12:50:00Z,38.00,63.00
2026-05-21T12:55:00Z,38.00,63.00
2026-05-21T12:56:00Z,38.00,63.00
2026-05-21T12:57:00Z,38.00,63.00
2026-05-21T13:01:00Z,38.00,63.00
2026-05-21T13:03:00Z,38.00,63.00
2026-05-21T13:04:00Z,38.00,63.00
2026-05-21T13:07:00Z,37.00,63.00
2026-05-21T13:08:00Z,38.00,63.00
2026-05-21T13:10:00Z,38.00,63.00
2026-05-21T13:12:00Z,38.00,62.00
2026-05-21T13:14:00Z,39.00,62.00
2026-05-21T13:16:00Z,39.00,62.00
2026-05-21T13:17:00Z,39.00,62.00
2026-05-21T13:20:00Z,39.00,62.00
2026-05-21T13:21:00Z,39.00,62.00
2026-05-21T13:25:00Z,39.00,62.00
2026-05-21T13:28:00Z,39.00,62.00
2026-05-21T13:30:00Z,39.00,62.00
2026-05-21T13:32:00Z,39.00,62.00
2026-05-21T13:34:00Z,39.00,62.00
2026-05-21T13:35:00Z,39.00,62.00
2026-05-21T13:37:00Z,39.00,62.00
2026-05-21T13:40:00Z,39.00,62.00
2026-05-21T13:41:00Z,39.00,62.00
2026-05-21T13:44:00Z,39.00,62.00
2026-05-21T13:45:00Z,39.00,62.00
2026-05-21T13:48:00Z,39.00,62.00
2026-05-21T13:51:00Z,39.00,62.00
2026-05-21T13:52:00Z,39.00,62.00
