# event_ticker=KXATPMATCH-26JAN06NORKOV
# final_score=7-6(4) 4-6 6-4
# score_resolution=7-6 4-6 6-4
# match_winner=Aleksandar Kovacevic
# fav_player=Aleksandar Kovacevic
# dog_player=Cameron Norrie
# kalshi_date=2026-01-06
timestamp,Aleksandar Kovacevic,Cameron Norrie
2026-01-07T13:58:00Z,,66.00
2026-01-07T14:25:00Z,,65.28
2026-01-07T14:30:00Z,,65.00
2026-01-07T14:32:00Z,,65.00
2026-01-07T14:47:00Z,,65.00
2026-01-07T15:04:00Z,,66.00
2026-01-07T15:09:00Z,,65.00
2026-01-07T15:22:00Z,,66.00
2026-01-07T15:49:00Z,,66.00
2026-01-07T16:26:00Z,36.00,66.00
2026-01-07T17:34:00Z,36.00,66.00
2026-01-07T17:37:00Z,36.00,66.00
2026-01-07T17:42:00Z,36.00,66.00
2026-01-07T17:44:00Z,36.00,66.00
2026-01-07T18:52:00Z,36.00,65.00
2026-01-07T18:54:00Z,36.00,65.00
2026-01-07T19:33:00Z,36.00,65.00
2026-01-07T20:14:00Z,36.00,65.00
2026-01-07T20:19:00Z,36.00,65.00
2026-01-07T20:35:00Z,36.00,65.53
2026-01-07T20:46:00Z,36.00,66.00
2026-01-07T20:48:00Z,36.00,66.00
2026-01-07T21:03:00Z,36.00,66.00
2026-01-07T21:18:00Z,36.00,66.00
2026-01-07T21:21:00Z,36.00,66.00
2026-01-07T21:31:00Z,36.00,66.00
2026-01-07T21:38:00Z,36.00,66.00
2026-01-07T21:39:00Z,36.00,66.00
2026-01-07T21:49:00Z,36.00,66.00
2026-01-07T22:01:00Z,36.00,66.00
2026-01-07T22:02:00Z,36.00,66.00
2026-01-07T22:03:00Z,36.00,66.00
2026-01-07T22:07:00Z,36.00,66.00
2026-01-07T22:10:00Z,36.00,66.00
2026-01-07T22:13:00Z,36.00,66.00
2026-01-07T22:15:00Z,36.00,66.00
2026-01-07T22:17:00Z,36.00,66.00
2026-01-07T22:22:00Z,36.00,66.00
2026-01-07T22:31:00Z,36.00,66.00
2026-01-07T22:45:00Z,36.00,66.00
2026-01-07T22:52:00Z,35.00,66.00
2026-01-07T22:54:00Z,35.00,66.00
2026-01-07T22:55:00Z,36.00,66.00
2026-01-07T22:58:00Z,36.00,66.00
2026-01-07T23:02:00Z,35.00,66.00
2026-01-07T23:06:00Z,35.89,66.00
2026-01-07T23:07:00Z,35.89,66.00
