# event_ticker=KXATPCHALLENGERMATCH-26MAY19CHAMIL
# final_score=6-4 6-4
# match_winner=Ognjen Milic
# fav_player=Ognjen Milic
# dog_player=Thanapet Chanta
# kalshi_date=2026-05-19
timestamp,Thanapet Chanta,Ognjen Milic
2026-05-19T03:11:00Z,,83.00
2026-05-19T05:16:00Z,20.00,83.00
2026-05-19T05:56:00Z,20.00,83.00
2026-05-19T06:25:00Z,20.00,83.00
2026-05-19T06:37:00Z,20.00,83.00
2026-05-19T07:48:00Z,20.00,83.00
2026-05-19T08:02:00Z,20.00,83.00
2026-05-19T08:17:00Z,20.00,83.00
2026-05-19T09:13:00Z,20.00,83.00
2026-05-19T09:31:00Z,20.00,83.00
2026-05-19T12:10:00Z,20.00,83.00
2026-05-19T13:04:00Z,19.00,83.00
2026-05-19T13:35:00Z,20.00,83.00
2026-05-19T13:39:00Z,19.00,83.00
2026-05-19T13:40:00Z,19.00,83.00
2026-05-19T13:41:00Z,19.00,83.44
2026-05-19T13:42:00Z,19.82,82.50
2026-05-19T13:43:00Z,19.82,85.00
2026-05-19T13:44:00Z,14.39,85.00
2026-05-19T13:45:00Z,13.99,87.25
2026-05-19T13:46:00Z,12.00,87.25
2026-05-19T13:47:00Z,15.05,84.94
2026-05-19T13:48:00Z,19.54,80.01
2026-05-19T13:49:00Z,22.53,82.02
2026-05-19T13:50:00Z,23.06,75.51
2026-05-19T13:51:00Z,32.03,70.32
2026-05-19T13:52:00Z,33.00,68.00
2026-05-19T13:53:00Z,37.73,69.85
2026-05-19T13:54:00Z,53.33,65.00
2026-05-19T13:55:00Z,34.68,64.00
2026-05-19T13:56:00Z,38.31,61.36
2026-05-19T13:57:00Z,38.80,61.01
2026-05-19T13:58:00Z,40.83,61.09
2026-05-19T13:59:00Z,42.95,60.95
2026-05-19T14:00:00Z,39.70,63.16
2026-05-19T14:01:00Z,35.00,65.00
2026-05-19T14:02:00Z,32.67,68.02
2026-05-19T14:03:00Z,35.55,64.40
2026-05-19T14:04:00Z,36.03,65.69
2026-05-19T14:05:00Z,30.32,69.20
2026-05-19T14:06:00Z,22.95,78.41
2026-05-19T14:07:00Z,17.96,83.64
2026-05-19T14:08:00Z,15.93,83.07
2026-05-19T14:09:00Z,16.20,84.00
2026-05-19T14:10:00Z,16.00,84.97
2026-05-19T14:11:00Z,17.80,84.97
2026-05-19T14:12:00Z,20.56,80.00
2026-05-19T14:13:00Z,20.85,79.57
2026-05-19T14:14:00Z,20.00,79.16
2026-05-19T14:15:00Z,18.00,79.16
2026-05-19T14:16:00Z,20.86,79.16
2026-05-19T14:17:00Z,16.00,84.41
2026-05-19T14:18:00Z,11.14,88.00
2026-05-19T14:19:00Z,9.60,90.92
2026-05-19T14:20:00Z,9.60,93.10
2026-05-19T14:21:00Z,6.00,93.10
2026-05-19T14:22:00Z,5.00,93.10
2026-05-19T14:23:00Z,4.00,96.00
2026-05-19T14:24:00Z,2.94,97.01
2026-05-19T14:25:00Z,2.09,98.00
2026-05-19T14:26:00Z,2.40,98.00
2026-05-19T14:27:00Z,2.21,98.00
2026-05-19T14:28:00Z,2.00,98.00
2026-05-19T14:29:00Z,1.51,97.72
2026-05-19T14:30:00Z,2.00,98.00
2026-05-19T14:32:00Z,1.18,98.00
2026-05-19T14:33:00Z,2.00,99.00
2026-05-19T14:34:00Z,2.00,99.00
2026-05-19T14:35:00Z,2.00,99.00
2026-05-19T14:36:00Z,2.23,98.21
2026-05-19T14:37:00Z,3.00,97.60
2026-05-19T14:38:00Z,5.84,94.49
2026-05-19T14:39:00Z,7.17,93.09
2026-05-19T14:40:00Z,8.38,92.36
2026-05-19T14:41:00Z,9.00,92.25
2026-05-19T14:42:00Z,9.85,91.11
2026-05-19T14:43:00Z,9.00,91.13
2026-05-19T14:44:00Z,8.10,92.93
2026-05-19T14:45:00Z,8.00,93.00
2026-05-19T14:46:00Z,8.08,92.20
2026-05-19T14:47:00Z,10.18,90.40
2026-05-19T14:48:00Z,11.00,91.06
2026-05-19T14:49:00Z,9.00,91.43
2026-05-19T14:50:00Z,8.98,91.74
2026-05-19T14:51:00Z,9.00,92.00
2026-05-19T14:52:00Z,9.96,90.86
2026-05-19T14:53:00Z,5.41,94.70
2026-05-19T14:54:00Z,3.28,97.27
2026-05-19T14:55:00Z,6.24,94.72
2026-05-19T14:56:00Z,1.20,98.11
2026-05-19T14:58:00Z,1.20,99.00
2026-05-19T15:02:00Z,1.20,99.00
