# event_ticker=KXATPCHALLENGERMATCH-26FEB10TRASHE
# final_score=6-3 5-7 7-5
# match_winner=Stefano Travaglia
# fav_player=Stefano Travaglia
# dog_player=Abdullah Shelbayh
# kalshi_date=2026-02-10
timestamp,Stefano Travaglia,Abdullah Shelbayh
2026-02-10T12:00:00Z,60.00,
2026-02-10T12:16:00Z,60.00,42.00
2026-02-10T12:20:00Z,58.00,42.00
2026-02-10T13:01:00Z,60.58,42.00
2026-02-10T13:35:00Z,60.58,42.00
2026-02-10T13:40:00Z,60.58,43.42
2026-02-10T14:02:00Z,60.00,40.00
2026-02-10T14:04:00Z,60.00,40.00
2026-02-10T14:07:00Z,60.00,40.00
2026-02-10T14:15:00Z,60.00,40.00
2026-02-10T14:17:00Z,60.00,43.00
2026-02-10T14:20:00Z,60.00,43.00
2026-02-10T14:22:00Z,60.00,43.00
2026-02-10T14:25:00Z,60.00,43.00
2026-02-10T14:31:00Z,60.00,43.00
2026-02-10T14:33:00Z,60.00,43.00
2026-02-10T14:36:00Z,60.00,43.00
2026-02-10T14:38:00Z,60.00,43.00
2026-02-10T14:40:00Z,60.00,43.00
2026-02-10T14:42:00Z,59.94,43.00
2026-02-10T14:46:00Z,61.00,43.00
2026-02-10T14:47:00Z,61.00,43.00
2026-02-10T14:48:00Z,61.00,43.00
2026-02-10T14:52:00Z,61.00,43.00
2026-02-10T14:54:00Z,61.00,43.00
2026-02-10T14:57:00Z,61.00,43.00
2026-02-10T14:58:00Z,61.00,43.00
2026-02-10T14:59:00Z,61.00,43.00
2026-02-10T15:05:00Z,61.00,43.00
2026-02-10T15:11:00Z,61.00,43.00
2026-02-10T15:13:00Z,61.20,43.00
2026-02-10T15:14:00Z,61.37,42.00
2026-02-10T15:15:00Z,61.00,42.00
2026-02-10T15:16:00Z,61.00,43.00
2026-02-10T15:17:00Z,61.00,41.00
2026-02-10T15:18:00Z,60.02,40.00
2026-02-10T15:19:00Z,62.00,40.00
2026-02-10T15:20:00Z,59.00,42.08
2026-02-10T15:21:00Z,55.94,44.96
2026-02-10T15:22:00Z,48.68,51.00
2026-02-10T15:23:00Z,52.20,47.17
2026-02-10T15:24:00Z,59.17,45.00
2026-02-10T15:25:00Z,62.87,39.50
2026-02-10T15:26:00Z,58.00,44.14
2026-02-10T15:27:00Z,60.00,43.19
2026-02-10T15:28:00Z,65.58,30.12
2026-02-10T15:29:00Z,73.00,29.00
2026-02-10T15:30:00Z,74.06,29.00
2026-02-10T15:31:00Z,74.06,21.90
2026-02-10T15:32:00Z,78.00,22.00
2026-02-10T15:33:00Z,78.00,22.91
2026-02-10T15:34:00Z,80.00,22.91
2026-02-10T15:35:00Z,78.00,22.00
2026-02-10T15:36:00Z,79.00,20.00
2026-02-10T15:37:00Z,78.48,20.00
2026-02-10T15:38:00Z,78.00,24.00
2026-02-10T15:39:00Z,78.00,24.00
2026-02-10T15:41:00Z,80.03,24.00
2026-02-10T15:42:00Z,78.00,24.95
2026-02-10T15:43:00Z,80.08,24.95
2026-02-10T15:44:00Z,83.00,17.00
2026-02-10T15:45:00Z,82.33,19.00
2026-02-10T15:46:00Z,81.08,20.10
2026-02-10T15:47:00Z,78.00,22.27
2026-02-10T15:48:00Z,78.40,23.00
2026-02-10T15:49:00Z,80.00,23.00
2026-02-10T15:50:00Z,82.55,18.00
2026-02-10T15:51:00Z,84.47,16.30
2026-02-10T15:52:00Z,87.33,16.30
2026-02-10T15:53:00Z,87.99,14.29
2026-02-10T15:54:00Z,86.00,13.00
2026-02-10T15:55:00Z,87.63,9.25
2026-02-10T15:56:00Z,89.73,12.00
2026-02-10T15:57:00Z,91.00,11.82
2026-02-10T15:58:00Z,90.99,9.88
2026-02-10T15:59:00Z,88.02,10.87
2026-02-10T16:00:00Z,88.15,11.13
2026-02-10T16:01:00Z,89.14,11.13
2026-02-10T16:02:00Z,89.14,10.41
2026-02-10T16:03:00Z,88.13,12.57
2026-02-10T16:04:00Z,89.84,10.20
2026-02-10T16:05:00Z,90.65,10.07
2026-02-10T16:06:00Z,92.00,8.91
2026-02-10T16:07:00Z,92.29,8.64
2026-02-10T16:08:00Z,92.61,6.95
2026-02-10T16:09:00Z,93.20,7.00
2026-02-10T16:10:00Z,90.04,9.67
2026-02-10T16:11:00Z,89.00,13.00
2026-02-10T16:12:00Z,87.99,14.33
2026-02-10T16:13:00Z,88.40,9.68
2026-02-10T16:14:00Z,89.82,11.05
2026-02-10T16:15:00Z,90.00,10.00
2026-02-10T16:16:00Z,90.00,9.93
2026-02-10T16:17:00Z,90.76,10.88
2026-02-10T16:18:00Z,87.36,14.94
2026-02-10T16:19:00Z,89.00,12.00
2026-02-10T16:20:00Z,86.96,13.99
2026-02-10T16:21:00Z,86.18,13.99
2026-02-10T16:22:00Z,88.95,13.00
2026-02-10T16:23:00Z,90.41,11.72
2026-02-10T16:24:00Z,97.19,4.65
2026-02-10T16:25:00Z,95.49,5.07
2026-02-10T16:26:00Z,90.27,8.65
2026-02-10T16:27:00Z,93.01,7.09
2026-02-10T16:28:00Z,89.56,12.15
