# event_ticker=KXATPCHALLENGERMATCH-26JUN03SCHMOR
# final_score=6-7(3) 6-3 6-4
# score_resolution=6-7 6-3 6-4
# match_winner=Alejandro Moro Canas
# fav_player=Alejandro Moro Canas
# dog_player=Max Schoenhaus
# kalshi_date=2026-06-03
timestamp,Max Schoenhaus,Alejandro Moro Canas
2026-06-03T04:31:00Z,54.00,
2026-06-03T04:32:00Z,55.00,
2026-06-03T04:41:00Z,55.00,
2026-06-03T04:53:00Z,55.00,47.00
2026-06-03T05:04:00Z,55.00,48.00
2026-06-03T05:14:00Z,55.00,46.00
2026-06-03T05:26:00Z,54.00,46.00
2026-06-03T05:45:00Z,55.00,46.00
2026-06-03T06:55:00Z,54.00,46.00
2026-06-03T07:19:00Z,55.01,46.00
2026-06-03T07:42:00Z,55.01,46.00
2026-06-03T08:04:00Z,55.00,46.00
2026-06-03T08:52:00Z,55.00,46.00
2026-06-03T08:59:00Z,55.00,46.00
2026-06-03T09:43:00Z,54.00,46.00
2026-06-03T09:45:00Z,54.00,46.00
2026-06-03T10:31:00Z,53.00,46.00
2026-06-03T10:59:00Z,51.85,46.00
2026-06-03T11:07:00Z,52.00,46.00
2026-06-03T11:22:00Z,52.00,46.00
2026-06-03T11:25:00Z,52.00,46.00
2026-06-03T11:41:00Z,53.00,46.00
2026-06-03T13:05:00Z,53.00,46.00
2026-06-03T13:06:00Z,53.00,47.00
2026-06-03T13:23:00Z,53.00,48.00
2026-06-03T13:56:00Z,53.00,48.00
2026-06-03T14:10:00Z,53.00,48.00
2026-06-03T14:17:00Z,53.00,48.00
2026-06-03T14:18:00Z,53.86,48.00
2026-06-03T14:29:00Z,53.86,45.72
2026-06-03T14:41:00Z,55.00,45.72
2026-06-03T14:52:00Z,55.00,45.72
2026-06-03T14:55:00Z,55.00,46.00
2026-06-03T15:01:00Z,54.00,46.00
2026-06-03T15:04:00Z,54.97,46.00
2026-06-03T15:05:00Z,54.97,46.00
2026-06-03T15:15:00Z,55.00,46.00
2026-06-03T15:16:00Z,55.00,46.00
2026-06-03T15:17:00Z,55.00,46.00
2026-06-03T15:25:00Z,55.00,45.00
2026-06-03T15:27:00Z,55.00,46.00
