# event_ticker=KXATPMATCH-25JUL22PASUGO
# final_score=6-7(5) 6-2 6-3
# score_resolution=6-7 6-2 6-3
# match_winner=Camilo Ugo Carabelli
# fav_player=Camilo Ugo Carabelli
# dog_player=Francesco Passaro
# kalshi_date=2025-07-22
timestamp,Camilo Ugo Carabelli,Francesco Passaro
2025-07-22T03:20:00Z,52.00,
2025-07-22T04:35:00Z,53.62,
2025-07-22T05:17:00Z,55.00,
2025-07-22T05:26:00Z,55.00,
2025-07-22T06:20:00Z,55.00,
2025-07-22T06:30:00Z,55.00,
2025-07-22T12:04:00Z,53.00,
2025-07-22T12:07:00Z,53.00,
2025-07-22T12:12:00Z,53.00,
2025-07-22T12:15:00Z,51.00,
2025-07-22T12:33:00Z,51.00,
2025-07-22T12:38:00Z,51.00,
2025-07-22T12:54:00Z,51.00,
2025-07-22T13:09:00Z,51.00,
2025-07-22T13:11:00Z,51.00,
2025-07-22T13:59:00Z,52.72,
2025-07-22T14:01:00Z,52.36,
2025-07-22T14:11:00Z,52.93,49.00
2025-07-22T14:12:00Z,52.86,49.00
2025-07-22T14:13:00Z,53.00,49.00
2025-07-22T14:15:00Z,53.00,49.00
2025-07-22T14:18:00Z,53.00,49.00
2025-07-22T14:20:00Z,53.00,48.00
2025-07-22T14:21:00Z,53.00,48.00
2025-07-22T14:22:00Z,53.00,48.00
2025-07-22T14:23:00Z,53.00,48.00
2025-07-22T14:24:00Z,53.00,48.00
2025-07-22T14:26:00Z,53.58,48.00
2025-07-22T14:27:00Z,53.58,48.00
2025-07-22T14:30:00Z,53.58,47.00
2025-07-22T14:31:00Z,54.00,47.00
2025-07-22T14:32:00Z,54.00,47.00
2025-07-22T14:33:00Z,54.00,47.00
2025-07-22T14:34:00Z,54.00,47.00
2025-07-22T14:36:00Z,68.57,47.00
2025-07-22T14:39:00Z,68.76,47.00
2025-07-22T14:40:00Z,71.49,47.00
2025-07-22T14:41:00Z,53.00,47.00
2025-07-22T14:42:00Z,52.25,47.00
2025-07-22T14:43:00Z,50.84,50.00
2025-07-22T14:44:00Z,49.92,54.00
2025-07-22T14:45:00Z,52.00,48.00
2025-07-22T14:46:00Z,55.76,50.00
2025-07-22T14:47:00Z,50.93,48.00
2025-07-22T14:48:00Z,53.00,48.00
2025-07-22T14:49:00Z,47.66,51.00
