# event_ticker=KXATPCHALLENGERMATCH-26MAY29BLAFAJ
# final_score=6-2 6-3
# match_winner=Dali Blanch
# fav_player=Dali Blanch
# dog_player=Peter Fajta
# kalshi_date=2026-05-29
timestamp,Dali Blanch,Peter Fajta
2026-05-28T21:52:00Z,,24.00
2026-05-29T01:02:00Z,,25.00
2026-05-29T02:35:00Z,78.00,25.00
2026-05-29T04:04:00Z,76.00,25.00
2026-05-29T04:05:00Z,76.00,27.00
2026-05-29T04:11:00Z,76.00,27.00
2026-05-29T04:36:00Z,76.00,26.00
2026-05-29T04:38:00Z,75.00,26.00
2026-05-29T04:52:00Z,76.00,26.00
2026-05-29T05:07:00Z,76.00,24.00
2026-05-29T05:15:00Z,76.00,24.00
2026-05-29T05:26:00Z,76.00,24.00
2026-05-29T05:43:00Z,76.00,24.00
2026-05-29T05:51:00Z,76.00,24.00
2026-05-29T06:10:00Z,76.00,25.00
2026-05-29T06:48:00Z,76.00,25.00
2026-05-29T07:08:00Z,76.00,25.00
2026-05-29T07:11:00Z,76.00,25.00
2026-05-29T07:12:00Z,76.00,25.00
2026-05-29T07:21:00Z,76.00,26.42
2026-05-29T07:34:00Z,76.00,26.00
2026-05-29T08:46:00Z,75.00,26.00
2026-05-29T09:21:00Z,75.00,26.00
2026-05-29T09:25:00Z,75.00,26.00
2026-05-29T09:29:00Z,75.00,26.00
2026-05-29T09:39:00Z,72.00,27.00
2026-05-29T09:40:00Z,66.00,27.00
2026-05-29T09:42:00Z,74.00,27.00
2026-05-29T09:44:00Z,70.00,32.61
2026-05-29T09:45:00Z,70.00,40.43
2026-05-29T09:46:00Z,61.00,42.42
2026-05-29T09:47:00Z,64.10,35.00
2026-05-29T09:49:00Z,77.64,26.00
2026-05-29T09:50:00Z,74.00,26.00
2026-05-29T09:51:00Z,75.00,28.67
2026-05-29T09:52:00Z,76.30,24.00
2026-05-29T09:53:00Z,81.00,24.00
2026-05-29T09:55:00Z,81.00,17.95
2026-05-29T09:56:00Z,82.00,14.73
2026-05-29T09:57:00Z,85.00,14.73
2026-05-29T09:58:00Z,86.00,15.00
2026-05-29T09:59:00Z,85.00,16.00
2026-05-29T10:00:00Z,83.50,16.00
2026-05-29T10:01:00Z,85.02,16.00
2026-05-29T10:03:00Z,87.35,16.00
2026-05-29T10:04:00Z,89.18,16.00
2026-05-29T10:05:00Z,89.18,10.00
2026-05-29T10:06:00Z,89.18,9.00
2026-05-29T10:07:00Z,92.00,9.00
2026-05-29T10:09:00Z,92.00,9.00
2026-05-29T10:10:00Z,92.02,9.00
2026-05-29T10:12:00Z,92.02,8.08
2026-05-29T10:13:00Z,92.02,9.41
2026-05-29T10:14:00Z,89.00,12.00
2026-05-29T10:15:00Z,89.00,11.00
2026-05-29T10:17:00Z,87.00,13.48
2026-05-29T10:18:00Z,86.00,14.00
2026-05-29T10:19:00Z,88.00,14.00
2026-05-29T10:20:00Z,88.00,14.00
2026-05-29T10:21:00Z,88.00,14.00
2026-05-29T10:22:00Z,89.00,9.00
2026-05-29T10:23:00Z,92.00,9.87
2026-05-29T10:24:00Z,92.00,11.00
2026-05-29T10:27:00Z,82.00,14.17
2026-05-29T10:28:00Z,85.00,17.64
2026-05-29T10:29:00Z,87.03,17.64
2026-05-29T10:30:00Z,87.03,11.00
2026-05-29T10:33:00Z,87.21,11.00
2026-05-29T10:34:00Z,85.00,14.65
2026-05-29T10:35:00Z,86.49,14.65
2026-05-29T10:36:00Z,91.53,11.00
2026-05-29T10:37:00Z,93.47,6.23
2026-05-29T10:39:00Z,91.16,9.00
2026-05-29T10:40:00Z,91.16,9.00
2026-05-29T10:41:00Z,90.42,10.47
2026-05-29T10:43:00Z,95.89,4.18
2026-05-29T10:44:00Z,97.00,3.71
2026-05-29T10:45:00Z,98.00,2.00
2026-05-29T10:46:00Z,98.00,1.00
2026-05-29T10:47:00Z,99.00,1.00
