# event_ticker=KXATPCHALLENGERMATCH-26MAY05BATERH
# final_score=6-1 6-2
# match_winner=Mathys Erhard
# fav_player=Mathys Erhard
# dog_player=Lawrence Bataljin
# kalshi_date=2026-05-05
timestamp,Lawrence Bataljin,Mathys Erhard
2026-05-05T07:30:00Z,7.00,
2026-05-05T07:31:00Z,7.00,
2026-05-05T07:35:00Z,7.00,85.00
2026-05-05T09:02:00Z,7.00,95.00
2026-05-05T09:05:00Z,7.00,95.00
2026-05-05T09:08:00Z,7.00,84.00
2026-05-05T09:12:00Z,7.00,84.00
2026-05-05T09:13:00Z,7.00,84.00
2026-05-05T09:22:00Z,7.00,95.00
2026-05-05T09:23:00Z,9.00,84.00
2026-05-05T11:39:00Z,8.03,93.00
2026-05-05T12:23:00Z,7.00,93.00
2026-05-05T12:32:00Z,7.00,86.00
2026-05-05T12:57:00Z,7.00,95.00
2026-05-05T14:05:00Z,7.00,93.00
2026-05-05T14:07:00Z,9.00,93.00
2026-05-05T14:27:00Z,9.00,91.00
2026-05-05T14:30:00Z,7.72,92.29
2026-05-05T14:35:00Z,6.74,93.64
2026-05-05T14:43:00Z,6.00,93.64
2026-05-05T14:44:00Z,5.00,93.64
2026-05-05T14:45:00Z,4.00,93.64
2026-05-05T14:47:00Z,3.00,96.00
2026-05-05T14:48:00Z,4.00,96.00
2026-05-05T14:55:00Z,4.00,96.00
2026-05-05T15:31:00Z,4.00,96.00
2026-05-05T15:35:00Z,4.00,96.00
2026-05-05T15:41:00Z,4.00,96.00
2026-05-05T15:43:00Z,4.00,96.00
2026-05-05T15:45:00Z,4.00,96.00
2026-05-05T15:48:00Z,4.00,96.00
2026-05-05T15:59:00Z,4.00,96.00
2026-05-05T16:02:00Z,4.00,96.00
2026-05-05T16:03:00Z,3.00,96.00
2026-05-05T16:10:00Z,4.00,96.00
2026-05-05T16:12:00Z,4.00,96.00
2026-05-05T16:23:00Z,4.00,96.00
2026-05-05T16:27:00Z,4.00,96.00
2026-05-05T16:29:00Z,4.00,96.00
2026-05-05T16:30:00Z,4.00,96.00
2026-05-05T16:34:00Z,4.00,96.00
2026-05-05T16:35:00Z,4.00,96.00
2026-05-05T16:38:00Z,4.00,96.00
2026-05-05T16:40:00Z,4.00,96.00
2026-05-05T16:46:00Z,4.00,96.00
2026-05-05T16:49:00Z,4.00,96.00
2026-05-05T16:50:00Z,4.00,96.00
2026-05-05T16:51:00Z,4.00,96.00
2026-05-05T16:53:00Z,4.00,97.00
2026-05-05T16:54:00Z,4.00,96.00
2026-05-05T16:55:00Z,4.00,96.00
2026-05-05T17:04:00Z,4.00,96.00
2026-05-05T17:08:00Z,4.00,96.00
2026-05-05T17:13:00Z,2.40,96.00
2026-05-05T17:15:00Z,2.00,96.00
2026-05-05T17:25:00Z,4.81,96.00
2026-05-05T17:26:00Z,5.00,96.00
2026-05-05T17:30:00Z,5.00,96.00
2026-05-05T17:31:00Z,5.00,96.00
2026-05-05T17:32:00Z,5.00,96.00
2026-05-05T17:35:00Z,4.71,96.00
2026-05-05T17:36:00Z,5.00,97.00
2026-05-05T17:39:00Z,5.00,97.00
2026-05-05T17:41:00Z,4.89,97.00
2026-05-05T17:42:00Z,5.00,97.00
2026-05-05T17:43:00Z,5.19,96.00
2026-05-05T17:44:00Z,4.00,96.00
2026-05-05T17:45:00Z,4.75,96.00
2026-05-05T17:46:00Z,5.00,96.00
2026-05-05T17:47:00Z,4.00,97.00
2026-05-05T17:48:00Z,4.00,97.00
2026-05-05T17:49:00Z,4.54,97.00
2026-05-05T17:50:00Z,4.71,97.00
2026-05-05T17:51:00Z,5.00,97.00
2026-05-05T17:52:00Z,5.00,97.00
2026-05-05T17:53:00Z,5.00,97.00
2026-05-05T17:54:00Z,3.96,97.00
2026-05-05T17:55:00Z,3.81,97.00
2026-05-05T17:56:00Z,2.28,97.98
2026-05-05T17:57:00Z,2.00,98.01
2026-05-05T17:58:00Z,2.31,98.00
2026-05-05T17:59:00Z,3.81,97.66
2026-05-05T18:00:00Z,4.11,97.66
2026-05-05T18:01:00Z,4.03,97.79
2026-05-05T18:02:00Z,4.00,97.79
2026-05-05T18:03:00Z,3.75,97.00
2026-05-05T18:04:00Z,3.00,97.00
2026-05-05T18:05:00Z,4.00,98.00
2026-05-05T18:06:00Z,1.94,98.00
2026-05-05T18:07:00Z,2.00,98.00
2026-05-05T18:08:00Z,2.00,98.00
2026-05-05T18:09:00Z,2.00,98.03
2026-05-05T18:10:00Z,2.86,98.46
2026-05-05T18:11:00Z,3.00,98.00
2026-05-05T18:12:00Z,3.00,98.00
2026-05-05T18:13:00Z,3.00,98.00
2026-05-05T18:14:00Z,2.89,98.44
2026-05-05T18:15:00Z,2.70,98.00
2026-05-05T18:16:00Z,3.00,98.86
2026-05-05T18:17:00Z,1.29,98.86
2026-05-05T18:18:00Z,1.45,98.98
2026-05-05T18:19:00Z,1.00,99.00
2026-05-05T18:20:00Z,1.00,99.00
2026-05-05T18:21:00Z,1.00,99.00
2026-05-05T18:22:00Z,1.00,99.00
2026-05-05T18:25:00Z,1.00,99.00
2026-05-05T18:26:00Z,1.00,99.00
2026-05-05T18:28:00Z,1.00,99.00
2026-05-05T18:29:00Z,1.00,99.00
2026-05-05T18:30:00Z,1.00,99.00
2026-05-05T18:31:00Z,1.64,99.00
2026-05-05T18:32:00Z,1.00,99.00
2026-05-05T18:33:00Z,1.84,99.00
