# event_ticker=KXATPMATCH-25SEP27DERIN
# final_score=6-3 3-6 7-6(2)
# score_resolution=6-3 3-6 7-6
# match_winner=Alex de Minaur
# fav_player=Alex de Minaur
# dog_player=Arthur Rinderknech
# kalshi_date=2025-09-27
timestamp,Alex de Minaur,Arthur Rinderknech
2025-09-26T19:14:00Z,88.00,12.00
2025-09-26T19:23:00Z,88.00,12.00
2025-09-26T19:26:00Z,88.00,12.00
2025-09-26T19:44:00Z,87.00,12.00
2025-09-26T19:54:00Z,87.00,13.00
2025-09-26T20:05:00Z,87.00,13.00
2025-09-26T20:33:00Z,88.00,13.00
2025-09-26T20:48:00Z,89.00,13.00
2025-09-26T20:52:00Z,89.00,13.00
2025-09-26T21:01:00Z,89.00,13.00
2025-09-26T21:04:00Z,89.00,12.00
2025-09-26T21:05:00Z,89.00,12.00
2025-09-26T21:07:00Z,89.00,12.00
2025-09-26T21:28:00Z,89.00,12.00
2025-09-26T21:36:00Z,89.00,12.00
2025-09-26T22:15:00Z,89.00,12.00
2025-09-26T22:31:00Z,89.00,12.00
2025-09-26T22:40:00Z,89.00,12.00
2025-09-26T22:55:00Z,89.00,12.00
2025-09-26T22:56:00Z,89.00,12.00
2025-09-26T23:07:00Z,89.00,12.00
2025-09-26T23:17:00Z,89.00,12.00
2025-09-26T23:18:00Z,89.00,12.46
2025-09-26T23:29:00Z,89.00,13.00
2025-09-26T23:46:00Z,89.00,13.00
2025-09-27T00:02:00Z,88.00,13.00
2025-09-27T00:10:00Z,88.00,13.00
2025-09-27T00:20:00Z,87.00,13.00
2025-09-27T00:33:00Z,88.00,13.00
2025-09-27T00:44:00Z,88.00,13.00
2025-09-27T01:01:00Z,88.00,13.00
2025-09-27T01:07:00Z,88.00,13.00
2025-09-27T01:09:00Z,88.00,13.00
2025-09-27T01:19:00Z,88.00,13.00
2025-09-27T01:29:00Z,88.00,12.00
2025-09-27T01:30:00Z,88.00,12.00
2025-09-27T01:35:00Z,88.00,12.00
2025-09-27T01:36:00Z,88.00,12.00
2025-09-27T01:37:00Z,88.00,12.00
2025-09-27T01:38:00Z,88.00,12.00
2025-09-27T02:03:00Z,89.00,12.00
2025-09-27T02:10:00Z,89.00,12.00
2025-09-27T02:18:00Z,89.00,12.00
2025-09-27T02:19:00Z,88.00,12.00
2025-09-27T02:28:00Z,88.00,12.00
2025-09-27T02:34:00Z,88.00,12.00
2025-09-27T02:43:00Z,88.00,12.00
2025-09-27T02:57:00Z,88.00,12.00
2025-09-27T02:58:00Z,88.00,12.00
2025-09-27T03:13:00Z,88.00,12.00
2025-09-27T03:18:00Z,88.00,12.00
2025-09-27T03:29:00Z,88.00,12.00
2025-09-27T03:45:00Z,88.00,12.00
2025-09-27T03:46:00Z,88.00,11.00
2025-09-27T03:47:00Z,88.00,12.00
2025-09-27T03:56:00Z,89.00,11.04
2025-09-27T03:58:00Z,89.00,11.00
2025-09-27T03:59:00Z,89.00,11.00
2025-09-27T04:05:00Z,89.00,12.00
2025-09-27T04:08:00Z,89.00,12.00
2025-09-27T04:15:00Z,89.00,12.00
2025-09-27T04:19:00Z,89.00,12.00
2025-09-27T04:22:00Z,89.00,12.00
2025-09-27T04:24:00Z,89.00,12.00
2025-09-27T04:31:00Z,89.00,11.00
2025-09-27T04:39:00Z,89.00,11.00
2025-09-27T04:44:00Z,89.00,11.00
2025-09-27T04:48:00Z,89.00,11.86
2025-09-27T04:50:00Z,90.00,11.86
2025-09-27T04:51:00Z,90.00,11.00
