# event_ticker=KXATPMATCH-26APR05RINKHA
# final_score=7-5 6-2
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Karen Khachanov
# kalshi_date=2026-04-05
timestamp,Arthur Rinderknech,Karen Khachanov
2026-04-05T21:42:00Z,,69.00
2026-04-05T21:43:00Z,34.00,69.00
2026-04-05T21:51:00Z,34.00,69.00
2026-04-05T22:03:00Z,34.00,69.00
2026-04-05T22:06:00Z,34.00,69.00
2026-04-05T22:22:00Z,34.00,69.00
2026-04-05T22:23:00Z,34.00,69.00
2026-04-05T22:44:00Z,34.00,69.00
2026-04-05T22:51:00Z,34.00,69.00
2026-04-05T22:53:00Z,34.00,69.00
2026-04-05T23:02:00Z,34.00,69.00
2026-04-05T23:19:00Z,34.00,69.00
2026-04-05T23:21:00Z,34.00,69.00
2026-04-05T23:23:00Z,34.00,69.00
2026-04-05T23:25:00Z,34.00,69.00
2026-04-05T23:28:00Z,34.00,69.00
2026-04-05T23:29:00Z,34.00,69.00
2026-04-05T23:30:00Z,34.00,69.00
2026-04-05T23:35:00Z,34.00,69.00
2026-04-05T23:42:00Z,34.00,69.00
2026-04-05T23:46:00Z,33.00,69.00
2026-04-05T23:51:00Z,34.00,69.00
2026-04-06T00:12:00Z,34.00,69.00
2026-04-06T00:25:00Z,34.00,69.00
2026-04-06T00:28:00Z,34.00,69.00
2026-04-06T00:38:00Z,34.00,69.00
2026-04-06T00:49:00Z,34.00,69.00
2026-04-06T01:02:00Z,34.00,69.00
2026-04-06T01:04:00Z,34.00,69.00
2026-04-06T01:24:00Z,34.00,69.00
2026-04-06T01:44:00Z,34.00,69.00
2026-04-06T01:52:00Z,34.00,69.00
2026-04-06T01:53:00Z,34.00,69.00
2026-04-06T01:55:00Z,34.00,69.00
2026-04-06T01:57:00Z,34.00,69.00
2026-04-06T02:07:00Z,34.00,69.00
2026-04-06T02:09:00Z,34.00,69.00
2026-04-06T02:19:00Z,34.00,69.00
2026-04-06T02:20:00Z,34.00,69.00
2026-04-06T02:22:00Z,34.00,69.00
2026-04-06T02:24:00Z,34.00,69.00
2026-04-06T02:27:00Z,34.00,69.00
2026-04-06T02:30:00Z,34.00,69.00
2026-04-06T02:33:00Z,34.00,69.00
2026-04-06T02:35:00Z,34.00,69.00
2026-04-06T02:41:00Z,34.00,69.00
2026-04-06T02:49:00Z,34.00,69.00
2026-04-06T03:03:00Z,34.00,69.00
2026-04-06T03:04:00Z,34.00,69.00
2026-04-06T03:07:00Z,34.00,69.00
2026-04-06T03:14:00Z,34.00,69.00
2026-04-06T03:19:00Z,34.00,69.00
2026-04-06T03:21:00Z,34.00,69.00
2026-04-06T03:23:00Z,34.00,69.00
2026-04-06T03:29:00Z,34.00,69.00
2026-04-06T03:38:00Z,34.00,67.00
2026-04-06T03:41:00Z,34.00,67.00
2026-04-06T03:42:00Z,34.00,69.00
2026-04-06T03:45:00Z,34.00,69.00
2026-04-06T03:47:00Z,34.00,69.00
2026-04-06T03:59:00Z,34.00,67.00
2026-04-06T04:00:00Z,34.00,67.00
2026-04-06T04:01:00Z,34.00,69.00
2026-04-06T04:11:00Z,34.00,69.00
2026-04-06T04:15:00Z,34.00,69.00
2026-04-06T04:20:00Z,34.00,69.00
2026-04-06T04:22:00Z,34.00,69.00
2026-04-06T04:25:00Z,34.00,69.00
2026-04-06T04:27:00Z,34.00,69.00
2026-04-06T04:30:00Z,34.00,69.00
2026-04-06T04:43:00Z,34.00,69.00
2026-04-06T04:44:00Z,34.00,69.00
2026-04-06T04:45:00Z,34.00,69.00
2026-04-06T04:47:00Z,34.00,69.00
2026-04-06T04:49:00Z,34.00,68.00
2026-04-06T04:51:00Z,34.00,68.00
2026-04-06T04:53:00Z,34.00,68.00
2026-04-06T04:54:00Z,34.00,68.00
2026-04-06T04:56:00Z,34.00,68.00
2026-04-06T04:57:00Z,34.00,68.00
2026-04-06T04:58:00Z,34.00,67.36
2026-04-06T04:59:00Z,34.00,67.36
2026-04-06T05:00:00Z,34.00,68.00
2026-04-06T05:02:00Z,34.00,68.00
2026-04-06T05:03:00Z,34.00,68.00
2026-04-06T05:04:00Z,34.00,68.00
