# event_ticker=KXATPCHALLENGERMATCH-26MAR24GULCAR
# final_score=7-5 6-1
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Svyatoslav Gulin
# kalshi_date=2026-03-24
timestamp,Pablo Carreno Busta,Svyatoslav Gulin
2026-03-24T05:02:00Z,91.00,
2026-03-24T05:22:00Z,88.00,
2026-03-24T05:31:00Z,87.04,
2026-03-24T08:01:00Z,87.00,
2026-03-24T08:22:00Z,87.00,13.00
2026-03-24T08:46:00Z,88.00,13.00
2026-03-24T09:06:00Z,89.00,12.00
2026-03-24T09:14:00Z,87.00,12.00
2026-03-24T09:31:00Z,88.00,12.00
2026-03-24T11:08:00Z,88.00,12.00
2026-03-24T11:16:00Z,87.00,12.00
2026-03-24T12:51:00Z,87.00,14.00
2026-03-24T12:52:00Z,87.00,14.00
2026-03-24T12:58:00Z,87.00,14.00
2026-03-24T13:01:00Z,87.00,14.00
2026-03-24T13:06:00Z,88.00,14.00
2026-03-24T13:35:00Z,87.00,14.00
2026-03-24T13:40:00Z,87.00,13.00
2026-03-24T13:56:00Z,87.00,13.00
2026-03-24T14:19:00Z,86.00,15.00
2026-03-24T14:26:00Z,86.00,15.00
2026-03-24T14:31:00Z,86.00,15.00
2026-03-24T14:32:00Z,85.67,15.00
2026-03-24T14:38:00Z,86.00,15.00
2026-03-24T14:44:00Z,86.00,15.00
2026-03-24T14:46:00Z,86.00,15.00
2026-03-24T14:51:00Z,86.00,15.00
2026-03-24T14:52:00Z,86.41,15.00
2026-03-24T15:00:00Z,86.41,15.28
2026-03-24T15:22:00Z,86.41,14.00
2026-03-24T15:23:00Z,88.50,14.00
2026-03-24T15:24:00Z,88.50,14.00
2026-03-24T15:26:00Z,90.05,13.00
2026-03-24T15:28:00Z,90.05,14.00
2026-03-24T15:29:00Z,90.05,14.00
2026-03-24T15:32:00Z,90.05,14.00
2026-03-24T15:36:00Z,88.00,13.00
2026-03-24T15:38:00Z,88.00,13.00
2026-03-24T15:39:00Z,88.00,11.40
2026-03-24T15:40:00Z,88.00,11.12
2026-03-24T15:46:00Z,88.00,11.12
2026-03-24T15:49:00Z,90.00,12.00
2026-03-24T15:51:00Z,90.00,12.00
2026-03-24T15:58:00Z,90.00,11.00
2026-03-24T15:59:00Z,90.00,11.53
2026-03-24T16:00:00Z,90.00,12.86
2026-03-24T16:01:00Z,90.00,12.86
2026-03-24T16:03:00Z,90.94,12.86
2026-03-24T16:04:00Z,90.94,11.86
2026-03-24T16:10:00Z,90.94,10.00
2026-03-24T16:11:00Z,90.94,10.00
2026-03-24T16:12:00Z,90.94,10.00
2026-03-24T16:13:00Z,90.94,10.00
2026-03-24T16:14:00Z,92.00,10.00
2026-03-24T16:15:00Z,89.04,10.28
2026-03-24T16:16:00Z,91.08,10.94
2026-03-24T16:17:00Z,90.00,10.94
2026-03-24T16:18:00Z,88.92,12.15
2026-03-24T16:19:00Z,85.65,17.96
2026-03-24T16:20:00Z,85.00,15.99
2026-03-24T16:21:00Z,81.35,21.41
2026-03-24T16:22:00Z,81.35,22.18
