# event_ticker=KXATPCHALLENGERMATCH-26JUN02KARCAN
# final_score=7-6(3) 6-1
# score_resolution=6-7 1-6
# match_winner=Milos Karol
# fav_player=Carlo Alberto Caniato
# dog_player=Milos Karol
# kalshi_date=2026-06-02
timestamp,Milos Karol,Carlo Alberto Caniato
2026-06-02T06:21:00Z,43.00,
2026-06-02T08:34:00Z,43.00,58.00
2026-06-02T13:09:00Z,43.00,60.00
2026-06-02T13:42:00Z,43.00,60.00
2026-06-02T13:59:00Z,43.00,61.00
2026-06-02T14:11:00Z,43.00,61.00
2026-06-02T14:13:00Z,43.00,61.00
2026-06-02T14:21:00Z,43.00,60.00
2026-06-02T15:19:00Z,43.00,60.00
2026-06-02T15:20:00Z,42.00,60.00
2026-06-02T15:23:00Z,42.00,60.00
2026-06-02T15:24:00Z,42.00,61.00
2026-06-02T15:25:00Z,42.00,61.00
2026-06-02T15:26:00Z,42.00,61.00
2026-06-02T15:27:00Z,39.00,61.16
2026-06-02T15:28:00Z,42.00,61.00
2026-06-02T15:29:00Z,42.16,58.87
2026-06-02T15:30:00Z,41.90,60.52
2026-06-02T15:31:00Z,39.00,62.00
2026-06-02T15:32:00Z,36.10,63.90
2026-06-02T15:33:00Z,38.04,60.45
2026-06-02T15:34:00Z,38.04,58.91
2026-06-02T15:35:00Z,42.00,58.95
2026-06-02T15:36:00Z,42.00,61.04
2026-06-02T15:37:00Z,39.00,62.00
2026-06-02T15:38:00Z,39.37,61.41
2026-06-02T15:39:00Z,42.43,60.06
2026-06-02T15:40:00Z,42.88,58.21
2026-06-02T15:41:00Z,40.00,60.15
2026-06-02T15:42:00Z,40.46,60.05
2026-06-02T15:43:00Z,39.01,61.62
2026-06-02T15:44:00Z,39.30,60.00
2026-06-02T15:45:00Z,43.00,58.33
2026-06-02T15:46:00Z,43.00,57.00
2026-06-02T15:47:00Z,42.00,58.65
2026-06-02T15:48:00Z,43.00,57.27
2026-06-02T15:49:00Z,44.00,58.46
2026-06-02T15:50:00Z,41.63,59.92
2026-06-02T15:51:00Z,44.13,55.66
2026-06-02T15:52:00Z,44.53,54.74
2026-06-02T15:53:00Z,43.00,56.99
2026-06-02T15:54:00Z,42.57,58.36
2026-06-02T15:55:00Z,44.73,56.77
2026-06-02T15:56:00Z,39.00,63.44
2026-06-02T15:57:00Z,42.21,56.78
2026-06-02T15:58:00Z,42.21,56.64
2026-06-02T15:59:00Z,42.21,59.02
2026-06-02T16:00:00Z,41.98,59.93
2026-06-02T16:01:00Z,43.00,54.93
2026-06-02T16:02:00Z,48.04,53.25
2026-06-02T16:03:00Z,46.93,53.69
2026-06-02T16:04:00Z,47.16,53.57
2026-06-02T16:05:00Z,48.00,54.62
2026-06-02T16:06:00Z,48.12,51.90
2026-06-02T16:07:00Z,48.99,50.98
2026-06-02T16:08:00Z,44.00,54.88
2026-06-02T16:09:00Z,43.00,57.00
2026-06-02T16:10:00Z,42.04,57.10
2026-06-02T16:11:00Z,42.02,56.72
2026-06-02T16:12:00Z,44.63,57.82
2026-06-02T16:13:00Z,48.30,52.36
2026-06-02T16:14:00Z,44.90,55.47
2026-06-02T16:15:00Z,44.90,57.37
2026-06-02T16:16:00Z,44.31,57.37
2026-06-02T16:17:00Z,45.00,55.77
2026-06-02T16:18:00Z,45.95,55.40
2026-06-02T16:19:00Z,49.32,50.61
2026-06-02T16:20:00Z,56.36,41.42
2026-06-02T16:21:00Z,66.22,34.43
2026-06-02T16:22:00Z,69.51,30.33
2026-06-02T16:23:00Z,71.11,28.20
2026-06-02T16:24:00Z,73.30,27.29
2026-06-02T16:25:00Z,72.92,25.60
2026-06-02T16:26:00Z,73.00,26.93
2026-06-02T16:27:00Z,73.00,26.98
2026-06-02T16:28:00Z,74.00,27.00
2026-06-02T16:29:00Z,73.39,27.93
2026-06-02T16:30:00Z,74.05,27.00
2026-06-02T16:31:00Z,73.06,27.08
2026-06-02T16:32:00Z,76.00,24.16
2026-06-02T16:33:00Z,72.00,27.40
2026-06-02T16:34:00Z,76.96,23.64
2026-06-02T16:35:00Z,80.86,19.10
2026-06-02T16:36:00Z,89.83,9.68
2026-06-02T16:37:00Z,93.66,7.89
2026-06-02T16:38:00Z,93.66,6.50
2026-06-02T16:39:00Z,94.00,6.99
2026-06-02T16:40:00Z,93.74,7.69
2026-06-02T16:41:00Z,92.00,7.54
2026-06-02T16:42:00Z,94.99,4.54
2026-06-02T16:43:00Z,95.68,4.80
2026-06-02T16:44:00Z,95.18,5.00
2026-06-02T16:45:00Z,96.00,4.53
2026-06-02T16:46:00Z,96.89,3.77
2026-06-02T16:47:00Z,97.58,3.01
2026-06-02T16:48:00Z,97.00,2.92
2026-06-02T16:49:00Z,98.86,1.55
2026-06-02T16:50:00Z,99.00,1.00
2026-06-02T16:51:00Z,99.00,1.00
2026-06-02T16:52:00Z,99.00,1.00
