# event_ticker=KXATPCHALLENGERMATCH-26MAR10KOPMAR
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Sandro Kopp
# fav_player=Ivan Marrero Curbelo
# dog_player=Sandro Kopp
# kalshi_date=2026-03-10
timestamp,Ivan Marrero Curbelo,Sandro Kopp
2026-03-10T08:22:00Z,,96.00
2026-03-10T08:24:00Z,,96.00
2026-03-10T09:05:00Z,,95.00
2026-03-10T09:10:00Z,,95.46
2026-03-10T09:11:00Z,4.00,98.45
2026-03-10T09:13:00Z,3.00,98.45
2026-03-10T09:14:00Z,3.00,98.45
2026-03-10T09:16:00Z,3.00,98.45
2026-03-10T09:17:00Z,1.00,98.45
2026-03-10T09:18:00Z,1.00,99.00
2026-03-10T09:20:00Z,3.00,99.00
2026-03-10T09:23:00Z,1.00,99.00
2026-03-10T09:26:00Z,1.00,99.00
