# event_ticker=KXATPCHALLENGERMATCH-26APR13DEVPRA
# final_score=6-3 6-3
# match_winner=Juan Carlos Prado Angelo
# fav_player=Juan Carlos Prado Angelo
# dog_player=Murkel Dellien
# kalshi_date=2026-04-13
timestamp,Juan Carlos Prado Angelo,Murkel Dellien
2026-04-13T14:44:00Z,62.00,
2026-04-13T15:13:00Z,62.00,37.00
2026-04-13T16:42:00Z,65.00,37.00
2026-04-13T17:33:00Z,64.00,37.00
2026-04-13T17:39:00Z,65.00,37.00
2026-04-13T17:45:00Z,63.00,37.00
2026-04-13T17:56:00Z,65.00,37.00
2026-04-13T18:42:00Z,65.00,37.00
2026-04-13T18:48:00Z,65.00,37.00
2026-04-13T19:14:00Z,65.00,37.00
2026-04-13T19:35:00Z,65.00,37.00
2026-04-13T19:37:00Z,65.00,37.00
2026-04-13T19:47:00Z,65.00,37.00
2026-04-13T19:57:00Z,63.00,37.00
2026-04-13T20:08:00Z,63.00,37.00
2026-04-13T20:17:00Z,64.64,37.00
2026-04-13T20:28:00Z,65.00,37.00
2026-04-13T20:41:00Z,65.00,37.00
2026-04-13T21:01:00Z,65.00,37.00
2026-04-13T21:13:00Z,65.00,37.00
2026-04-13T21:21:00Z,65.00,37.00
2026-04-13T21:22:00Z,65.00,37.00
2026-04-13T21:43:00Z,65.00,37.00
2026-04-13T22:07:00Z,65.00,37.00
2026-04-13T22:13:00Z,65.00,37.00
2026-04-13T22:28:00Z,66.00,37.00
2026-04-13T22:37:00Z,67.00,37.00
2026-04-13T22:38:00Z,67.00,36.00
2026-04-13T22:40:00Z,67.00,36.00
2026-04-13T22:41:00Z,67.00,36.00
2026-04-13T22:42:00Z,67.00,36.00
2026-04-13T22:43:00Z,67.00,36.00
2026-04-13T22:47:00Z,67.00,36.00
2026-04-13T22:53:00Z,67.00,36.00
2026-04-13T22:55:00Z,67.00,36.00
2026-04-13T23:00:00Z,67.00,36.00
2026-04-13T23:08:00Z,65.00,36.00
2026-04-13T23:10:00Z,66.00,36.00
2026-04-13T23:12:00Z,67.00,36.00
2026-04-13T23:20:00Z,67.00,36.00
2026-04-13T23:21:00Z,67.00,35.00
2026-04-13T23:22:00Z,66.00,35.00
2026-04-13T23:24:00Z,66.00,36.20
2026-04-13T23:30:00Z,66.00,36.41
2026-04-13T23:32:00Z,66.00,36.41
2026-04-13T23:33:00Z,66.00,36.41
2026-04-13T23:35:00Z,66.00,34.94
2026-04-13T23:39:00Z,66.10,34.94
2026-04-13T23:50:00Z,66.00,34.94
2026-04-13T23:51:00Z,66.00,36.00
2026-04-13T23:52:00Z,66.00,36.00
2026-04-13T23:53:00Z,66.00,35.80
2026-04-13T23:58:00Z,66.00,34.00
2026-04-14T00:03:00Z,66.00,34.79
2026-04-14T00:12:00Z,66.00,35.00
