# event_ticker=KXATPCHALLENGERMATCH-26MAR19COPNEG
# final_score=7-5 6-4
# match_winner=Kimmer Coppejans
# fav_player=Kimmer Coppejans
# dog_player=Christoph Negritu
# kalshi_date=2026-03-19
timestamp,Kimmer Coppejans,Christoph Negritu
2026-03-18T23:07:00Z,,32.00
2026-03-19T00:22:00Z,70.00,32.00
2026-03-19T00:26:00Z,70.00,32.00
2026-03-19T00:29:00Z,70.00,31.00
2026-03-19T01:11:00Z,70.00,31.00
2026-03-19T01:18:00Z,70.00,31.00
2026-03-19T03:10:00Z,70.00,31.00
2026-03-19T03:11:00Z,70.39,31.00
2026-03-19T03:35:00Z,71.00,31.00
2026-03-19T04:04:00Z,71.00,31.00
2026-03-19T04:07:00Z,70.00,31.00
2026-03-19T04:30:00Z,71.15,31.00
2026-03-19T04:47:00Z,72.00,31.00
2026-03-19T04:54:00Z,72.00,31.00
2026-03-19T05:01:00Z,72.00,31.00
2026-03-19T05:10:00Z,72.00,31.00
2026-03-19T05:12:00Z,71.09,31.00
2026-03-19T05:16:00Z,72.00,31.00
2026-03-19T05:17:00Z,72.00,31.00
2026-03-19T05:19:00Z,72.00,31.00
2026-03-19T05:21:00Z,72.00,31.00
2026-03-19T05:22:00Z,72.00,31.00
2026-03-19T05:24:00Z,72.00,31.00
2026-03-19T05:28:00Z,72.00,29.21
2026-03-19T05:29:00Z,72.00,29.21
2026-03-19T05:35:00Z,72.00,29.21
2026-03-19T05:36:00Z,72.00,29.21
2026-03-19T05:40:00Z,72.00,31.00
2026-03-19T05:41:00Z,71.00,31.00
2026-03-19T05:45:00Z,71.00,30.00
2026-03-19T05:48:00Z,71.12,30.00
2026-03-19T05:51:00Z,72.00,30.00
2026-03-19T05:58:00Z,72.00,31.00
2026-03-19T06:00:00Z,71.73,31.00
2026-03-19T06:01:00Z,72.00,31.00
2026-03-19T06:03:00Z,72.00,30.00
2026-03-19T06:05:00Z,72.00,30.00
2026-03-19T06:10:00Z,72.00,30.00
2026-03-19T06:15:00Z,72.00,30.00
2026-03-19T06:16:00Z,72.00,30.00
2026-03-19T06:18:00Z,72.00,30.00
2026-03-19T06:25:00Z,72.00,30.00
2026-03-19T06:29:00Z,72.00,30.00
2026-03-19T06:30:00Z,72.00,31.00
2026-03-19T06:42:00Z,71.00,31.00
2026-03-19T06:45:00Z,71.00,31.00
2026-03-19T06:50:00Z,71.87,31.00
2026-03-19T06:55:00Z,72.00,31.00
2026-03-19T07:00:00Z,72.00,31.00
2026-03-19T09:02:00Z,72.00,27.00
2026-03-19T09:03:00Z,72.00,30.00
2026-03-19T09:05:00Z,72.00,29.00
2026-03-19T09:07:00Z,72.00,29.00
2026-03-19T09:09:00Z,72.00,29.00
2026-03-19T09:14:00Z,72.00,29.00
2026-03-19T09:15:00Z,72.00,29.00
2026-03-19T09:24:00Z,72.00,29.00
2026-03-19T09:33:00Z,72.00,29.00
2026-03-19T09:48:00Z,72.00,29.00
2026-03-19T10:03:00Z,72.00,29.00
2026-03-19T10:04:00Z,72.00,29.00
2026-03-19T10:05:00Z,72.81,29.00
2026-03-19T10:06:00Z,73.00,29.32
2026-03-19T10:07:00Z,73.00,30.00
2026-03-19T10:08:00Z,73.00,30.00
2026-03-19T10:09:00Z,69.65,30.33
2026-03-19T10:10:00Z,69.65,33.00
2026-03-19T10:11:00Z,74.03,28.74
