# event_ticker=KXATPCHALLENGERMATCH-26MAR10SAIKIN
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Cannon Kingsley
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-03-10
timestamp,Cannon Kingsley,Nikolas Sanchez Izquierdo
2026-03-10T09:06:00Z,,65.00
2026-03-10T10:55:00Z,,64.00
2026-03-10T11:30:00Z,,65.00
2026-03-10T14:05:00Z,,65.00
2026-03-10T14:06:00Z,,65.00
2026-03-10T14:35:00Z,,64.00
2026-03-10T14:52:00Z,,65.00
2026-03-10T15:00:00Z,38.00,65.00
2026-03-10T15:05:00Z,38.67,65.00
2026-03-10T15:44:00Z,38.67,64.00
2026-03-10T15:56:00Z,38.67,65.00
2026-03-10T15:57:00Z,37.96,65.00
2026-03-10T15:58:00Z,37.92,65.00
2026-03-10T16:01:00Z,37.92,65.00
2026-03-10T16:07:00Z,37.92,62.78
2026-03-10T16:17:00Z,37.92,65.99
2026-03-10T16:18:00Z,37.50,65.99
2026-03-10T16:22:00Z,37.50,66.00
2026-03-10T16:25:00Z,37.50,65.99
2026-03-10T16:26:00Z,37.98,65.00
2026-03-10T16:27:00Z,38.00,65.00
2026-03-10T16:28:00Z,38.00,65.00
2026-03-10T16:29:00Z,38.00,65.00
2026-03-10T16:30:00Z,39.65,62.94
2026-03-10T16:31:00Z,39.00,63.00
2026-03-10T16:32:00Z,43.72,59.00
2026-03-10T16:33:00Z,43.99,59.00
2026-03-10T16:34:00Z,46.90,59.73
2026-03-10T16:35:00Z,47.36,60.00
2026-03-10T16:36:00Z,51.64,51.08
2026-03-10T16:37:00Z,48.00,54.21
2026-03-10T16:38:00Z,49.00,59.67
2026-03-10T16:39:00Z,53.72,59.67
2026-03-10T16:40:00Z,54.00,50.01
2026-03-10T16:41:00Z,50.76,50.01
2026-03-10T16:42:00Z,47.86,52.67
2026-03-10T16:43:00Z,45.05,57.00
2026-03-10T16:44:00Z,40.00,59.00
2026-03-10T16:45:00Z,43.93,59.00
2026-03-10T16:46:00Z,42.87,59.00
2026-03-10T16:47:00Z,38.84,63.96
2026-03-10T16:48:00Z,34.00,64.00
2026-03-10T16:49:00Z,39.43,64.00
2026-03-10T16:50:00Z,36.00,69.00
2026-03-10T16:51:00Z,36.00,68.98
2026-03-10T16:52:00Z,27.53,73.95
2026-03-10T16:53:00Z,24.00,73.95
2026-03-10T16:54:00Z,25.00,73.95
2026-03-10T16:55:00Z,23.00,77.04
2026-03-10T16:56:00Z,23.00,80.32
2026-03-10T16:57:00Z,20.14,80.01
2026-03-10T16:58:00Z,22.65,79.48
2026-03-10T16:59:00Z,23.00,78.08
2026-03-10T17:00:00Z,23.00,78.00
2026-03-10T17:01:00Z,23.50,77.17
2026-03-10T17:02:00Z,26.82,75.00
2026-03-10T17:03:00Z,23.57,78.04
2026-03-10T17:04:00Z,23.57,82.00
2026-03-10T17:05:00Z,23.57,81.49
2026-03-10T17:06:00Z,23.00,81.49
2026-03-10T17:07:00Z,23.00,81.00
2026-03-10T17:08:00Z,22.00,80.00
2026-03-10T17:09:00Z,22.00,80.15
2026-03-10T17:10:00Z,18.52,84.07
2026-03-10T17:11:00Z,23.00,77.10
2026-03-10T17:12:00Z,16.03,84.99
2026-03-10T17:13:00Z,17.00,85.00
2026-03-10T17:14:00Z,15.18,85.00
2026-03-10T17:15:00Z,15.18,85.00
2026-03-10T17:16:00Z,15.18,84.00
2026-03-10T17:17:00Z,17.00,83.00
2026-03-10T17:18:00Z,18.00,83.00
2026-03-10T17:19:00Z,13.00,85.45
2026-03-10T17:20:00Z,16.98,88.00
2026-03-10T17:21:00Z,18.00,83.56
2026-03-10T17:22:00Z,18.50,87.00
2026-03-10T17:23:00Z,15.50,87.37
2026-03-10T17:24:00Z,18.50,83.01
2026-03-10T17:25:00Z,19.00,83.00
2026-03-10T17:26:00Z,18.29,83.00
2026-03-10T17:27:00Z,18.82,82.00
2026-03-10T17:28:00Z,28.72,76.20
2026-03-10T17:29:00Z,27.00,75.00
2026-03-10T17:30:00Z,31.40,75.00
2026-03-10T17:31:00Z,29.73,72.79
2026-03-10T17:32:00Z,23.50,77.00
2026-03-10T17:33:00Z,31.00,75.88
2026-03-10T17:34:00Z,28.00,72.45
2026-03-10T17:35:00Z,30.86,74.00
2026-03-10T17:36:00Z,24.08,78.34
2026-03-10T17:37:00Z,27.03,75.94
2026-03-10T17:38:00Z,27.03,82.38
2026-03-10T17:39:00Z,19.00,83.00
2026-03-10T17:40:00Z,20.00,81.00
2026-03-10T17:41:00Z,20.00,84.00
2026-03-10T17:42:00Z,18.32,83.45
2026-03-10T17:43:00Z,13.20,85.81
2026-03-10T17:44:00Z,14.58,88.00
2026-03-10T17:45:00Z,11.57,90.95
2026-03-10T17:46:00Z,11.13,90.50
2026-03-10T17:47:00Z,14.73,86.63
2026-03-10T17:48:00Z,13.37,89.26
2026-03-10T17:49:00Z,12.00,88.58
2026-03-10T17:50:00Z,14.04,86.72
2026-03-10T17:51:00Z,14.08,86.86
2026-03-10T17:52:00Z,15.89,87.34
2026-03-10T17:53:00Z,18.00,83.00
2026-03-10T17:54:00Z,18.00,83.62
2026-03-10T17:55:00Z,17.59,85.50
2026-03-10T17:56:00Z,17.87,83.08
2026-03-10T17:57:00Z,14.59,86.70
2026-03-10T17:58:00Z,14.14,86.59
2026-03-10T17:59:00Z,18.92,84.00
2026-03-10T18:00:00Z,20.00,82.35
2026-03-10T18:01:00Z,18.87,82.00
2026-03-10T18:02:00Z,16.92,82.04
2026-03-10T18:03:00Z,19.73,82.01
2026-03-10T18:04:00Z,15.51,83.00
2026-03-10T18:05:00Z,16.00,86.33
2026-03-10T18:06:00Z,22.62,80.00
2026-03-10T18:07:00Z,22.00,80.00
2026-03-10T18:08:00Z,22.85,80.00
2026-03-10T18:09:00Z,19.06,81.00
2026-03-10T18:10:00Z,17.84,84.21
2026-03-10T18:11:00Z,16.46,84.00
2026-03-10T18:12:00Z,11.22,88.01
2026-03-10T18:13:00Z,6.83,94.07
2026-03-10T18:14:00Z,7.83,94.48
2026-03-10T18:15:00Z,3.88,96.02
2026-03-10T18:16:00Z,1.30,98.55
2026-03-10T18:17:00Z,1.01,97.85
2026-03-10T18:18:00Z,1.01,99.00
2026-03-10T18:19:00Z,1.01,99.00
2026-03-10T18:20:00Z,1.01,99.00
2026-03-10T18:22:00Z,1.01,99.00
