# event_ticker=KXATPMATCH-26APR12ALCSIN
# final_score=7-6(5) 6-3
# score_resolution=7-6 6-3
# match_winner=Jannik Sinner
# fav_player=Jannik Sinner
# dog_player=Carlos Alcaraz
# kalshi_date=2026-04-12
timestamp,Jannik Sinner,Carlos Alcaraz
2026-04-12T01:16:00Z,50.00,
2026-04-12T01:17:00Z,50.00,51.00
2026-04-12T01:19:00Z,50.00,51.00
2026-04-12T01:20:00Z,50.00,51.00
2026-04-12T01:21:00Z,50.00,51.00
2026-04-12T01:23:00Z,50.00,51.00
2026-04-12T01:24:00Z,49.00,51.00
2026-04-12T01:25:00Z,50.00,51.00
2026-04-12T01:27:00Z,50.00,51.00
2026-04-12T01:28:00Z,50.00,50.98
2026-04-12T01:29:00Z,50.00,51.00
2026-04-12T01:30:00Z,50.00,51.00
2026-04-12T01:31:00Z,50.00,51.00
2026-04-12T01:32:00Z,50.00,51.00
2026-04-12T01:33:00Z,50.00,51.00
2026-04-12T01:34:00Z,50.00,51.00
2026-04-12T01:35:00Z,50.00,51.00
2026-04-12T01:36:00Z,50.00,51.00
2026-04-12T01:37:00Z,50.00,51.00
2026-04-12T01:38:00Z,50.00,51.00
2026-04-12T01:39:00Z,50.00,51.00
2026-04-12T01:40:00Z,50.00,51.00
2026-04-12T01:41:00Z,50.00,51.00
2026-04-12T01:42:00Z,50.00,51.00
2026-04-12T01:43:00Z,50.00,51.00
2026-04-12T01:44:00Z,50.00,51.00
2026-04-12T01:45:00Z,50.00,51.00
2026-04-12T01:46:00Z,50.00,51.00
2026-04-12T01:47:00Z,50.00,51.00
2026-04-12T01:48:00Z,50.00,51.00
2026-04-12T01:49:00Z,49.02,51.00
2026-04-12T01:50:00Z,49.72,51.00
2026-04-12T01:51:00Z,49.97,51.00
2026-04-12T01:52:00Z,50.00,51.00
2026-04-12T01:53:00Z,50.92,51.00
2026-04-12T01:54:00Z,51.00,51.00
2026-04-12T01:55:00Z,51.00,51.00
2026-04-12T01:56:00Z,51.00,51.00
