# event_ticker=KXATPCHALLENGERMATCH-26MAR13NAPGEA
# final_score=6-3 6-4
# match_winner=Arthur Gea
# fav_player=Arthur Gea
# dog_player=Stefano Napolitano
# kalshi_date=2026-03-13
timestamp,Arthur Gea,Stefano Napolitano
2026-03-13T01:37:00Z,62.00,
2026-03-13T02:10:00Z,61.00,
2026-03-13T02:36:00Z,61.00,41.00
2026-03-13T03:52:00Z,62.00,41.00
2026-03-13T03:59:00Z,62.95,41.00
2026-03-13T04:00:00Z,62.95,41.00
2026-03-13T04:09:00Z,63.00,41.00
2026-03-13T04:12:00Z,63.00,41.00
2026-03-13T04:24:00Z,63.00,40.00
2026-03-13T04:28:00Z,63.00,40.00
2026-03-13T04:34:00Z,63.00,40.00
2026-03-13T04:36:00Z,63.35,40.00
2026-03-13T04:38:00Z,64.00,40.00
2026-03-13T04:40:00Z,60.00,40.00
2026-03-13T04:43:00Z,64.00,40.00
2026-03-13T04:51:00Z,64.00,40.00
2026-03-13T04:53:00Z,64.00,40.00
2026-03-13T04:55:00Z,64.00,40.00
2026-03-13T04:56:00Z,64.86,37.00
2026-03-13T05:00:00Z,64.86,38.00
2026-03-13T05:07:00Z,64.00,38.00
2026-03-13T05:08:00Z,64.00,38.00
2026-03-13T05:10:00Z,64.00,38.00
2026-03-13T05:15:00Z,64.00,38.00
2026-03-13T05:16:00Z,64.00,38.00
2026-03-13T05:18:00Z,64.00,38.00
2026-03-13T05:27:00Z,64.00,38.00
2026-03-13T05:29:00Z,64.00,38.00
2026-03-13T05:42:00Z,64.00,38.00
2026-03-13T05:45:00Z,64.00,38.00
2026-03-13T05:48:00Z,64.00,38.00
2026-03-13T06:01:00Z,64.00,38.00
2026-03-13T06:05:00Z,64.00,38.00
2026-03-13T06:07:00Z,64.00,36.33
2026-03-13T06:10:00Z,64.00,36.00
2026-03-13T06:12:00Z,64.00,38.34
2026-03-13T06:14:00Z,64.00,38.34
2026-03-13T06:25:00Z,64.00,39.23
2026-03-13T06:41:00Z,64.00,40.00
2026-03-13T06:56:00Z,62.00,40.00
2026-03-13T06:57:00Z,62.00,40.00
2026-03-13T06:59:00Z,62.00,39.51
2026-03-13T07:08:00Z,62.00,39.51
2026-03-13T07:09:00Z,63.00,39.51
2026-03-13T07:26:00Z,63.00,40.00
2026-03-13T07:48:00Z,63.00,40.00
2026-03-13T07:56:00Z,63.30,40.00
2026-03-13T08:00:00Z,63.30,39.00
2026-03-13T08:26:00Z,63.00,39.00
2026-03-13T08:31:00Z,63.00,39.00
2026-03-13T08:35:00Z,64.00,39.00
