# event_ticker=KXATPCHALLENGERMATCH-26MAY15HALMPE
# final_score=6-3 7-6(3)
# score_resolution=3-6 6-7
# match_winner=Quentin Halys
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Quentin Halys
# kalshi_date=2026-05-15
timestamp,Quentin Halys,Giovanni Mpetshi Perricard
2026-05-15T11:19:00Z,79.04,
2026-05-15T11:52:00Z,79.04,62.00
2026-05-15T11:59:00Z,79.04,62.00
2026-05-15T12:20:00Z,54.00,58.27
2026-05-15T12:23:00Z,54.00,59.00
2026-05-15T12:27:00Z,54.00,57.00
2026-05-15T12:29:00Z,46.00,57.00
2026-05-15T12:30:00Z,46.00,56.02
2026-05-15T12:31:00Z,46.00,57.00
2026-05-15T12:32:00Z,46.00,58.13
2026-05-15T12:33:00Z,44.00,62.00
2026-05-15T12:35:00Z,44.00,58.66
2026-05-15T12:36:00Z,44.00,54.27
2026-05-15T12:38:00Z,44.93,58.81
2026-05-15T12:39:00Z,44.93,58.33
2026-05-15T12:42:00Z,45.00,57.00
2026-05-15T12:43:00Z,45.00,57.00
2026-05-15T12:44:00Z,45.00,57.00
2026-05-15T12:45:00Z,45.00,56.00
2026-05-15T12:46:00Z,45.00,57.00
2026-05-15T12:47:00Z,44.00,57.00
2026-05-15T12:49:00Z,45.00,57.00
2026-05-15T12:50:00Z,45.00,57.31
2026-05-15T12:53:00Z,45.00,57.31
2026-05-15T12:54:00Z,45.00,58.00
2026-05-15T12:55:00Z,45.00,58.00
2026-05-15T12:57:00Z,45.00,58.00
2026-05-15T12:58:00Z,45.00,55.20
2026-05-15T12:59:00Z,46.00,57.00
2026-05-15T13:00:00Z,45.96,56.00
2026-05-15T13:01:00Z,45.96,55.00
2026-05-15T13:03:00Z,48.84,55.00
2026-05-15T13:04:00Z,50.26,54.00
2026-05-15T13:05:00Z,52.00,54.00
2026-05-15T13:06:00Z,52.00,54.00
2026-05-15T13:07:00Z,51.00,54.00
2026-05-15T13:09:00Z,50.00,53.32
2026-05-15T13:11:00Z,47.00,53.00
2026-05-15T13:12:00Z,47.00,53.21
2026-05-15T13:13:00Z,50.00,53.21
2026-05-15T13:14:00Z,50.00,55.00
2026-05-15T13:15:00Z,46.00,55.10
2026-05-15T13:16:00Z,47.00,54.05
2026-05-15T13:17:00Z,51.00,50.13
2026-05-15T13:18:00Z,46.19,52.45
2026-05-15T13:19:00Z,46.19,55.00
2026-05-15T13:20:00Z,44.33,55.65
2026-05-15T13:21:00Z,39.69,59.86
2026-05-15T13:22:00Z,37.28,65.31
2026-05-15T13:23:00Z,43.50,58.84
2026-05-15T13:24:00Z,46.55,55.00
2026-05-15T13:25:00Z,46.00,53.62
2026-05-15T13:26:00Z,47.60,52.62
2026-05-15T13:27:00Z,53.51,51.68
2026-05-15T13:28:00Z,47.01,54.87
2026-05-15T13:29:00Z,44.59,57.02
2026-05-15T13:30:00Z,47.00,53.64
2026-05-15T13:31:00Z,48.96,52.00
2026-05-15T13:32:00Z,48.89,52.15
2026-05-15T13:33:00Z,46.87,52.00
2026-05-15T13:34:00Z,48.40,52.69
2026-05-15T13:35:00Z,52.77,46.21
2026-05-15T13:36:00Z,65.36,34.19
2026-05-15T13:37:00Z,63.89,36.72
2026-05-15T13:38:00Z,61.46,40.13
2026-05-15T13:39:00Z,59.63,40.46
2026-05-15T13:40:00Z,65.55,35.12
2026-05-15T13:41:00Z,68.65,32.49
2026-05-15T13:42:00Z,61.87,38.03
2026-05-15T13:43:00Z,62.00,38.71
2026-05-15T13:44:00Z,62.41,38.73
2026-05-15T13:45:00Z,68.11,34.38
2026-05-15T13:46:00Z,69.39,30.98
2026-05-15T13:47:00Z,69.84,31.15
2026-05-15T13:48:00Z,68.78,32.17
2026-05-15T13:49:00Z,67.87,33.12
2026-05-15T13:50:00Z,69.82,31.71
2026-05-15T13:51:00Z,68.70,32.29
2026-05-15T13:52:00Z,68.84,32.16
2026-05-15T13:53:00Z,69.69,32.00
2026-05-15T13:54:00Z,69.00,32.00
2026-05-15T13:55:00Z,68.92,32.23
2026-05-15T13:56:00Z,68.68,33.60
2026-05-15T13:57:00Z,68.40,33.07
2026-05-15T13:58:00Z,68.84,31.91
2026-05-15T13:59:00Z,83.29,24.75
2026-05-15T14:00:00Z,89.16,11.71
2026-05-15T14:01:00Z,91.58,8.91
2026-05-15T14:02:00Z,93.07,7.96
2026-05-15T14:03:00Z,93.79,7.74
2026-05-15T14:04:00Z,92.16,8.62
2026-05-15T14:05:00Z,91.43,8.77
2026-05-15T14:06:00Z,91.87,8.95
2026-05-15T14:07:00Z,85.16,11.75
2026-05-15T14:08:00Z,84.38,13.32
2026-05-15T14:09:00Z,87.26,13.41
2026-05-15T14:10:00Z,89.87,10.45
2026-05-15T14:11:00Z,83.38,15.17
2026-05-15T14:12:00Z,73.69,28.49
2026-05-15T14:13:00Z,73.81,27.42
2026-05-15T14:14:00Z,69.64,31.60
2026-05-15T14:15:00Z,70.45,29.36
2026-05-15T14:16:00Z,79.50,22.55
2026-05-15T14:17:00Z,72.36,27.52
2026-05-15T14:18:00Z,67.59,32.09
2026-05-15T14:19:00Z,66.73,33.74
2026-05-15T14:20:00Z,65.69,35.43
2026-05-15T14:21:00Z,68.37,33.95
2026-05-15T14:22:00Z,63.65,38.50
2026-05-15T14:23:00Z,65.73,34.76
2026-05-15T14:24:00Z,67.03,35.06
2026-05-15T14:25:00Z,68.46,31.43
2026-05-15T14:26:00Z,71.98,28.72
2026-05-15T14:27:00Z,78.98,22.10
2026-05-15T14:28:00Z,80.40,17.96
2026-05-15T14:29:00Z,78.35,25.38
2026-05-15T14:30:00Z,69.16,31.26
2026-05-15T14:31:00Z,66.93,33.98
2026-05-15T14:32:00Z,69.23,31.78
2026-05-15T14:33:00Z,71.01,29.52
2026-05-15T14:34:00Z,71.99,30.02
2026-05-15T14:35:00Z,71.76,29.06
2026-05-15T14:36:00Z,68.43,32.53
2026-05-15T14:37:00Z,69.00,33.58
2026-05-15T14:38:00Z,63.01,34.45
2026-05-15T14:39:00Z,60.24,38.85
2026-05-15T14:40:00Z,66.63,34.56
2026-05-15T14:41:00Z,69.14,34.10
2026-05-15T14:42:00Z,72.76,29.64
2026-05-15T14:43:00Z,73.20,26.79
2026-05-15T14:44:00Z,68.19,33.11
2026-05-15T14:45:00Z,67.00,33.56
2026-05-15T14:46:00Z,68.71,33.10
2026-05-15T14:47:00Z,68.98,32.57
2026-05-15T14:48:00Z,69.73,29.45
2026-05-15T14:49:00Z,63.54,38.28
2026-05-15T14:50:00Z,66.53,39.28
2026-05-15T14:51:00Z,77.97,18.83
2026-05-15T14:52:00Z,89.92,10.78
2026-05-15T14:53:00Z,96.33,4.62
2026-05-15T14:54:00Z,98.93,2.56
2026-05-15T14:55:00Z,99.00,2.56
2026-05-15T14:56:00Z,99.00,2.56
2026-05-15T14:57:00Z,99.00,2.56
2026-05-15T14:58:00Z,99.00,2.56
2026-05-15T14:59:00Z,99.00,1.00
2026-05-15T15:00:00Z,99.00,1.00
2026-05-15T15:01:00Z,99.00,1.00
2026-05-15T15:02:00Z,99.00,1.00
