# event_ticker=KXATPMATCH-26JAN03YIBMAR
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Yibing Wu
# fav_player=Fabian Marozsan
# dog_player=Yibing Wu
# kalshi_date=2026-01-03
timestamp,Fabian Marozsan,Yibing Wu
2026-01-04T23:01:00Z,58.00,
2026-01-04T23:19:00Z,57.00,
2026-01-05T00:35:00Z,57.00,43.00
2026-01-05T00:50:00Z,57.00,43.00
2026-01-05T00:58:00Z,57.00,43.00
2026-01-05T01:18:00Z,57.00,43.00
2026-01-05T01:20:00Z,57.00,43.00
2026-01-05T02:24:00Z,57.00,43.00
2026-01-05T03:02:00Z,57.00,43.00
2026-01-05T03:42:00Z,57.00,43.00
2026-01-05T03:55:00Z,57.00,43.00
2026-01-05T05:14:00Z,57.00,44.00
2026-01-05T05:25:00Z,57.00,44.00
2026-01-05T05:44:00Z,56.00,44.00
2026-01-05T06:02:00Z,56.00,45.00
2026-01-05T07:23:00Z,56.00,44.00
2026-01-05T07:49:00Z,56.00,44.00
2026-01-05T08:00:00Z,56.00,44.00
2026-01-05T08:21:00Z,56.00,45.00
2026-01-05T09:07:00Z,56.00,45.00
2026-01-05T09:08:00Z,56.00,45.00
2026-01-05T09:14:00Z,56.00,45.00
2026-01-05T09:16:00Z,56.00,45.97
2026-01-05T09:21:00Z,56.00,46.80
2026-01-05T09:25:00Z,56.00,46.80
2026-01-05T09:27:00Z,53.00,46.00
2026-01-05T09:33:00Z,53.00,47.00
2026-01-05T09:38:00Z,53.01,47.00
2026-01-05T09:56:00Z,56.00,47.00
2026-01-05T09:58:00Z,56.00,46.00
2026-01-05T10:07:00Z,62.28,46.00
2026-01-05T10:08:00Z,46.00,57.00
2026-01-05T10:09:00Z,55.00,57.00
2026-01-05T10:10:00Z,59.00,45.64
2026-01-05T10:11:00Z,59.95,44.40
2026-01-05T10:12:00Z,71.53,44.40
2026-01-05T10:14:00Z,58.43,51.51
2026-01-05T10:15:00Z,58.43,50.00
2026-01-05T10:16:00Z,57.79,50.00
2026-01-05T10:17:00Z,57.79,48.00
2026-01-05T10:18:00Z,48.96,56.64
2026-01-05T10:19:00Z,56.09,63.25
2026-01-05T10:20:00Z,64.67,42.00
2026-01-05T10:21:00Z,59.70,48.00
2026-01-05T10:22:00Z,59.72,46.00
2026-01-05T10:23:00Z,56.97,48.00
2026-01-05T10:24:00Z,54.31,49.73
2026-01-05T10:25:00Z,52.00,51.49
2026-01-05T10:26:00Z,64.87,39.32
2026-01-05T10:27:00Z,64.99,45.20
2026-01-05T10:28:00Z,60.23,48.23
2026-01-05T10:29:00Z,56.21,57.26
2026-01-05T10:30:00Z,52.52,49.98
2026-01-05T10:31:00Z,51.68,59.82
2026-01-05T10:32:00Z,42.03,64.50
2026-01-05T10:33:00Z,32.84,66.20
2026-01-05T10:34:00Z,31.46,66.48
2026-01-05T10:35:00Z,28.75,72.34
2026-01-05T10:36:00Z,28.75,68.00
2026-01-05T10:37:00Z,46.12,68.00
2026-01-05T10:38:00Z,49.25,68.86
2026-01-05T10:39:00Z,47.98,53.06
2026-01-05T10:40:00Z,37.11,62.95
2026-01-05T10:41:00Z,33.01,69.96
2026-01-05T10:42:00Z,33.96,69.84
2026-01-05T10:43:00Z,43.27,66.14
2026-01-05T10:45:00Z,32.42,69.24
2026-01-05T10:46:00Z,29.22,72.55
2026-01-05T10:47:00Z,31.50,72.55
2026-01-05T10:48:00Z,27.00,70.13
2026-01-05T10:49:00Z,30.00,70.13
2026-01-05T10:50:00Z,30.00,72.00
2026-01-05T10:51:00Z,31.55,75.00
2026-01-05T10:52:00Z,34.00,75.00
2026-01-05T10:53:00Z,56.14,65.20
2026-01-05T10:54:00Z,32.25,66.19
2026-01-05T10:55:00Z,32.82,77.00
2026-01-05T10:56:00Z,28.45,76.29
2026-01-05T10:57:00Z,31.54,77.89
2026-01-05T10:58:00Z,33.57,77.89
2026-01-05T10:59:00Z,29.83,77.91
2026-01-05T11:00:00Z,38.63,72.19
2026-01-05T11:01:00Z,32.86,70.86
2026-01-05T11:02:00Z,29.71,76.00
2026-01-05T11:03:00Z,19.35,81.73
2026-01-05T11:04:00Z,25.76,82.28
2026-01-05T11:05:00Z,29.37,77.33
2026-01-05T11:06:00Z,34.91,74.00
2026-01-05T11:07:00Z,30.37,72.20
2026-01-05T11:08:00Z,28.86,75.42
2026-01-05T11:09:00Z,27.01,71.43
2026-01-05T11:10:00Z,26.47,77.76
2026-01-05T11:11:00Z,22.67,80.00
2026-01-05T11:12:00Z,15.28,86.50
2026-01-05T11:13:00Z,14.27,87.92
2026-01-05T11:14:00Z,13.94,86.00
2026-01-05T11:15:00Z,18.24,87.94
2026-01-05T11:16:00Z,7.66,90.35
2026-01-05T11:17:00Z,6.99,95.54
2026-01-05T11:18:00Z,4.88,96.69
2026-01-05T11:19:00Z,2.23,98.95
2026-01-05T11:20:00Z,5.45,98.95
2026-01-05T11:21:00Z,3.84,96.59
2026-01-05T11:22:00Z,2.17,98.93
2026-01-05T11:23:00Z,1.00,99.00
2026-01-05T11:24:00Z,1.00,99.00
2026-01-05T11:26:00Z,1.00,99.00
2026-01-05T11:27:00Z,1.00,99.00
2026-01-05T11:28:00Z,1.00,99.00
2026-01-05T11:29:00Z,1.00,99.00
2026-01-05T11:31:00Z,1.00,99.00
