# event_ticker=KXATPMATCH-26MAR18WALBAE
# final_score=6-2 6-2
# match_winner=Adam Walton
# fav_player=Adam Walton
# dog_player=Sebastian Baez
# kalshi_date=2026-03-18
timestamp,Adam Walton,Sebastian Baez
2026-03-20T09:54:00Z,,58.00
2026-03-20T10:02:00Z,,58.00
2026-03-20T10:09:00Z,43.00,58.00
2026-03-20T10:15:00Z,43.00,58.00
2026-03-20T11:20:00Z,44.00,58.00
2026-03-20T12:28:00Z,44.00,58.00
2026-03-20T12:29:00Z,44.00,58.00
2026-03-20T12:53:00Z,44.00,58.00
2026-03-20T12:58:00Z,44.00,57.00
2026-03-20T13:12:00Z,44.00,57.00
2026-03-20T13:17:00Z,44.00,57.00
2026-03-20T13:18:00Z,44.00,57.00
2026-03-20T13:28:00Z,44.00,57.00
2026-03-20T13:34:00Z,44.00,57.00
2026-03-20T13:50:00Z,44.00,57.00
2026-03-20T14:03:00Z,44.00,57.00
2026-03-20T14:26:00Z,44.00,57.00
2026-03-20T14:47:00Z,44.00,57.00
2026-03-20T14:50:00Z,44.00,57.00
2026-03-20T14:52:00Z,44.00,57.56
2026-03-20T14:54:00Z,44.00,57.00
2026-03-20T15:03:00Z,44.00,58.00
2026-03-20T15:06:00Z,44.00,58.00
2026-03-20T15:22:00Z,44.00,58.00
2026-03-20T15:24:00Z,44.00,58.00
2026-03-20T15:25:00Z,44.00,58.00
2026-03-20T15:36:00Z,44.00,58.00
2026-03-20T15:37:00Z,43.00,58.00
2026-03-20T15:49:00Z,43.00,56.00
2026-03-20T15:50:00Z,43.00,58.00
2026-03-20T15:51:00Z,43.00,56.00
2026-03-20T16:09:00Z,43.00,58.00
2026-03-20T16:13:00Z,43.00,57.00
2026-03-20T16:15:00Z,43.00,57.00
2026-03-20T16:53:00Z,44.00,57.00
2026-03-20T17:04:00Z,44.00,58.00
2026-03-20T17:22:00Z,44.00,58.00
2026-03-20T17:52:00Z,44.00,57.00
2026-03-20T18:11:00Z,44.00,58.00
2026-03-20T18:19:00Z,44.00,58.00
2026-03-20T18:20:00Z,44.00,58.00
2026-03-20T18:21:00Z,44.00,58.00
2026-03-20T18:23:00Z,44.00,58.00
2026-03-20T18:27:00Z,44.00,58.00
2026-03-20T18:28:00Z,44.00,58.00
2026-03-20T18:36:00Z,44.00,58.00
2026-03-20T18:43:00Z,44.00,58.00
2026-03-20T19:00:00Z,44.00,58.00
2026-03-20T19:16:00Z,44.00,58.00
2026-03-20T19:20:00Z,44.00,58.00
2026-03-20T19:22:00Z,44.00,58.00
