# event_ticker=KXATPCHALLENGERMATCH-26MAR17PIEMIC
# final_score=6-3 6-0
# score_resolution=3-6 0-6
# match_winner=Daniel Michalski
# fav_player=Samuele Pieri
# dog_player=Daniel Michalski
# kalshi_date=2026-03-17
timestamp,Samuele Pieri,Daniel Michalski
2026-03-17T03:04:00Z,27.00,
2026-03-17T04:41:00Z,27.00,
2026-03-17T05:41:00Z,27.00,74.00
2026-03-17T06:00:00Z,27.00,74.00
2026-03-17T08:04:00Z,30.00,74.00
2026-03-17T08:27:00Z,31.00,74.00
2026-03-17T08:48:00Z,32.00,74.00
2026-03-17T09:01:00Z,30.00,74.00
2026-03-17T10:55:00Z,30.00,70.00
2026-03-17T11:54:00Z,31.00,70.00
2026-03-17T11:55:00Z,34.00,70.00
2026-03-17T12:52:00Z,34.00,69.00
2026-03-17T12:53:00Z,34.00,69.00
2026-03-17T13:24:00Z,34.00,69.00
2026-03-17T13:28:00Z,34.00,69.00
2026-03-17T13:29:00Z,34.00,69.00
2026-03-17T13:41:00Z,31.00,69.00
2026-03-17T13:47:00Z,31.00,69.00
2026-03-17T13:52:00Z,33.75,69.00
2026-03-17T13:55:00Z,34.00,69.00
2026-03-17T13:58:00Z,34.00,69.00
2026-03-17T14:06:00Z,34.00,69.00
2026-03-17T14:11:00Z,34.00,69.00
2026-03-17T14:13:00Z,34.00,68.00
2026-03-17T14:14:00Z,35.00,68.00
2026-03-17T14:15:00Z,35.00,68.00
2026-03-17T14:16:00Z,35.00,68.99
2026-03-17T14:17:00Z,35.00,69.00
2026-03-17T14:18:00Z,35.00,69.00
2026-03-17T14:19:00Z,32.08,69.09
2026-03-17T14:20:00Z,32.00,71.64
2026-03-17T14:21:00Z,32.00,70.87
2026-03-17T14:22:00Z,32.00,71.57
2026-03-17T14:23:00Z,32.41,70.14
2026-03-17T14:24:00Z,31.11,70.19
2026-03-17T14:25:00Z,29.04,71.39
2026-03-17T14:26:00Z,27.62,75.15
2026-03-17T14:27:00Z,27.62,80.73
2026-03-17T14:28:00Z,21.09,80.20
2026-03-17T14:29:00Z,23.98,78.88
2026-03-17T14:30:00Z,21.00,82.83
2026-03-17T14:31:00Z,18.57,84.34
2026-03-17T14:32:00Z,15.15,84.34
2026-03-17T14:33:00Z,15.42,85.09
2026-03-17T14:34:00Z,10.92,87.60
2026-03-17T14:35:00Z,13.46,88.15
2026-03-17T14:36:00Z,14.00,87.87
2026-03-17T14:37:00Z,15.00,86.00
2026-03-17T14:38:00Z,13.00,86.56
2026-03-17T14:39:00Z,11.43,89.28
2026-03-17T14:40:00Z,10.97,88.92
2026-03-17T14:41:00Z,14.00,87.85
2026-03-17T14:42:00Z,16.40,84.00
2026-03-17T14:43:00Z,17.16,84.17
2026-03-17T14:44:00Z,15.17,87.00
2026-03-17T14:45:00Z,15.17,87.68
2026-03-17T14:46:00Z,10.40,89.00
2026-03-17T14:47:00Z,11.75,89.20
2026-03-17T14:48:00Z,12.00,89.10
2026-03-17T14:49:00Z,13.00,87.86
2026-03-17T14:50:00Z,12.20,87.49
2026-03-17T14:51:00Z,12.08,88.00
2026-03-17T14:52:00Z,18.00,87.99
2026-03-17T14:53:00Z,14.88,86.00
2026-03-17T14:54:00Z,15.00,85.00
2026-03-17T14:55:00Z,15.61,86.70
2026-03-17T14:56:00Z,17.00,85.00
2026-03-17T14:57:00Z,16.54,85.00
2026-03-17T14:58:00Z,17.00,85.00
