# event_ticker=KXATPCHALLENGERMATCH-26MAY15VALBER
# final_score=6-4 6-3
# match_winner=Adolfo Daniel Vallejo
# fav_player=Adolfo Daniel Vallejo
# dog_player=Zizou Bergs
# kalshi_date=2026-05-15
timestamp,Adolfo Daniel Vallejo,Zizou Bergs
2026-05-15T02:30:00Z,54.00,
2026-05-15T02:31:00Z,56.00,44.00
2026-05-15T02:32:00Z,56.00,46.00
2026-05-15T02:38:00Z,56.00,46.00
2026-05-15T02:55:00Z,56.00,46.00
2026-05-15T02:57:00Z,56.00,46.00
2026-05-15T03:05:00Z,56.00,46.00
2026-05-15T03:09:00Z,57.00,46.00
2026-05-15T03:13:00Z,57.00,46.00
2026-05-15T03:43:00Z,56.00,46.00
2026-05-15T03:46:00Z,56.00,46.00
2026-05-15T03:48:00Z,56.00,46.00
2026-05-15T03:49:00Z,56.00,46.00
2026-05-15T03:58:00Z,56.00,46.00
2026-05-15T04:02:00Z,56.00,46.00
2026-05-15T04:10:00Z,56.00,46.00
2026-05-15T04:15:00Z,56.00,46.00
2026-05-15T04:16:00Z,56.00,46.00
2026-05-15T04:20:00Z,56.00,46.00
2026-05-15T04:22:00Z,56.00,46.00
2026-05-15T04:26:00Z,56.00,44.00
2026-05-15T04:28:00Z,57.00,44.00
2026-05-15T04:31:00Z,57.00,44.00
2026-05-15T04:36:00Z,57.00,45.00
2026-05-15T04:45:00Z,57.00,45.00
2026-05-15T05:00:00Z,57.00,45.00
2026-05-15T05:03:00Z,57.00,45.00
2026-05-15T05:10:00Z,57.00,44.00
2026-05-15T05:16:00Z,57.00,44.00
2026-05-15T05:17:00Z,58.00,44.00
2026-05-15T05:20:00Z,58.00,44.00
2026-05-15T05:28:00Z,57.00,44.00
2026-05-15T05:35:00Z,58.00,44.00
2026-05-15T05:43:00Z,58.00,44.00
2026-05-15T05:44:00Z,58.00,45.00
2026-05-15T05:46:00Z,58.00,45.00
2026-05-15T05:59:00Z,56.00,45.00
2026-05-15T06:00:00Z,57.21,45.00
2026-05-15T06:02:00Z,58.00,45.00
2026-05-15T06:21:00Z,57.00,45.00
2026-05-15T06:39:00Z,57.00,43.00
