# event_ticker=KXATPCHALLENGERMATCH-26JUN04TRUHSU
# final_score=3-6 6-1 6-1
# score_resolution=6-3 1-6 1-6
# match_winner=Marco Trungelliti
# fav_player=Yu Hsiou Hsu
# dog_player=Marco Trungelliti
# kalshi_date=2026-06-04
timestamp,Marco Trungelliti,Yu Hsiou Hsu
2026-06-04T02:21:00Z,,16.00
2026-06-04T02:22:00Z,,16.00
2026-06-04T02:33:00Z,,16.96
2026-06-04T02:44:00Z,,17.00
2026-06-04T03:06:00Z,,17.00
2026-06-04T03:26:00Z,,17.00
2026-06-04T03:30:00Z,,17.00
2026-06-04T03:32:00Z,84.00,17.00
2026-06-04T03:43:00Z,84.00,17.00
2026-06-04T03:52:00Z,84.00,17.00
2026-06-04T04:08:00Z,84.00,17.00
2026-06-04T04:35:00Z,84.00,17.00
2026-06-04T04:57:00Z,83.00,17.00
2026-06-04T05:14:00Z,83.00,17.00
2026-06-04T05:16:00Z,83.00,17.00
2026-06-04T06:13:00Z,83.00,17.00
2026-06-04T06:19:00Z,83.00,17.00
2026-06-04T06:35:00Z,82.00,17.00
2026-06-04T06:37:00Z,83.00,17.00
2026-06-04T07:00:00Z,83.00,17.00
2026-06-04T09:03:00Z,83.00,18.00
2026-06-04T09:12:00Z,83.00,18.00
2026-06-04T09:17:00Z,83.00,18.00
2026-06-04T09:20:00Z,82.00,18.00
2026-06-04T09:57:00Z,82.00,17.00
2026-06-04T10:04:00Z,83.00,17.00
2026-06-04T10:14:00Z,83.00,18.00
2026-06-04T10:19:00Z,83.00,18.00
2026-06-04T10:27:00Z,83.00,18.00
2026-06-04T10:30:00Z,83.00,18.00
2026-06-04T10:31:00Z,83.00,18.00
2026-06-04T10:37:00Z,83.00,18.00
2026-06-04T11:01:00Z,83.00,18.00
2026-06-04T11:09:00Z,83.00,16.00
2026-06-04T11:12:00Z,83.00,16.00
2026-06-04T11:17:00Z,83.00,16.00
2026-06-04T11:20:00Z,85.00,16.00
2026-06-04T11:27:00Z,85.00,15.00
2026-06-04T11:33:00Z,85.00,17.00
2026-06-04T11:34:00Z,85.00,17.00
2026-06-04T11:35:00Z,85.00,17.00
2026-06-04T11:38:00Z,85.00,17.93
2026-06-04T11:40:00Z,85.00,17.00
2026-06-04T11:53:00Z,86.00,17.00
2026-06-04T11:56:00Z,86.00,17.58
2026-06-04T11:57:00Z,84.00,17.67
2026-06-04T11:58:00Z,84.00,17.67
2026-06-04T12:12:00Z,84.00,17.00
2026-06-04T12:13:00Z,84.00,17.00
2026-06-04T12:17:00Z,84.00,17.00
2026-06-04T12:18:00Z,85.00,17.00
2026-06-04T12:21:00Z,85.00,16.00
2026-06-04T12:22:00Z,85.00,15.76
2026-06-04T12:23:00Z,84.54,15.03
2026-06-04T12:24:00Z,85.15,15.05
2026-06-04T12:25:00Z,79.36,21.05
2026-06-04T12:26:00Z,73.00,27.00
2026-06-04T12:27:00Z,71.99,29.82
2026-06-04T12:28:00Z,70.88,31.80
2026-06-04T12:29:00Z,70.32,31.01
2026-06-04T12:30:00Z,64.27,36.86
2026-06-04T12:31:00Z,62.26,40.78
2026-06-04T12:32:00Z,61.05,39.06
2026-06-04T12:33:00Z,67.99,34.22
2026-06-04T12:34:00Z,71.00,30.00
2026-06-04T12:35:00Z,71.20,29.07
2026-06-04T12:36:00Z,69.98,31.31
2026-06-04T12:37:00Z,68.09,31.66
2026-06-04T12:38:00Z,68.84,33.86
2026-06-04T12:39:00Z,64.00,37.18
2026-06-04T12:40:00Z,60.84,40.09
2026-06-04T12:41:00Z,57.62,42.87
2026-06-04T12:42:00Z,55.00,46.00
2026-06-04T12:43:00Z,54.37,46.10
2026-06-04T12:44:00Z,51.95,50.19
2026-06-04T12:45:00Z,52.05,47.73
2026-06-04T12:46:00Z,59.05,39.60
2026-06-04T12:47:00Z,62.35,37.25
2026-06-04T12:48:00Z,58.55,42.41
2026-06-04T12:49:00Z,52.41,49.95
2026-06-04T12:50:00Z,51.00,50.00
2026-06-04T12:51:00Z,54.67,46.82
2026-06-04T12:52:00Z,54.22,46.18
2026-06-04T12:53:00Z,57.85,40.91
2026-06-04T12:54:00Z,56.55,45.00
2026-06-04T12:55:00Z,56.23,44.76
2026-06-04T12:56:00Z,60.91,40.21
2026-06-04T12:57:00Z,55.43,40.00
2026-06-04T12:58:00Z,53.77,48.88
2026-06-04T12:59:00Z,51.00,50.00
2026-06-04T13:00:00Z,51.28,49.69
2026-06-04T13:01:00Z,44.71,55.46
2026-06-04T13:02:00Z,42.06,59.21
2026-06-04T13:03:00Z,40.12,61.37
2026-06-04T13:04:00Z,33.33,66.56
2026-06-04T13:05:00Z,37.93,61.61
