# event_ticker=KXATPMATCH-25OCT28SHECOB
# final_score=7-6(4) 6-3
# score_resolution=7-6 6-3
# match_winner=Ben Shelton
# fav_player=Ben Shelton
# dog_player=Flavio Cobolli
# kalshi_date=2025-10-28
timestamp,Ben Shelton,Flavio Cobolli
2025-10-28T05:46:00Z,50.00,
2025-10-28T05:47:00Z,50.00,
2025-10-28T06:05:00Z,50.00,
2025-10-28T06:06:00Z,50.00,52.00
2025-10-28T06:10:00Z,50.00,52.00
2025-10-28T06:17:00Z,50.00,52.00
2025-10-28T06:42:00Z,50.00,52.00
2025-10-28T06:52:00Z,50.00,52.00
2025-10-28T07:04:00Z,50.00,52.00
2025-10-28T07:07:00Z,50.00,52.00
2025-10-28T07:14:00Z,50.00,52.00
2025-10-28T07:19:00Z,50.00,52.00
2025-10-28T07:20:00Z,50.00,52.00
2025-10-28T07:24:00Z,50.00,52.00
2025-10-28T07:26:00Z,50.00,52.00
2025-10-28T07:29:00Z,50.22,52.00
2025-10-28T07:33:00Z,50.78,52.00
2025-10-28T07:34:00Z,51.00,52.00
2025-10-28T07:35:00Z,51.00,52.00
2025-10-28T07:36:00Z,51.00,52.00
2025-10-28T07:37:00Z,51.00,52.00
2025-10-28T07:38:00Z,51.00,52.00
2025-10-28T07:39:00Z,51.00,52.00
2025-10-28T07:45:00Z,50.00,52.00
2025-10-28T07:46:00Z,51.00,52.00
2025-10-28T07:47:00Z,51.00,52.00
2025-10-28T07:57:00Z,51.00,52.00
2025-10-28T07:59:00Z,51.00,52.00
2025-10-28T08:08:00Z,51.00,53.00
2025-10-28T08:15:00Z,51.00,52.00
2025-10-28T08:22:00Z,51.00,52.00
2025-10-28T08:41:00Z,51.00,53.00
2025-10-28T09:05:00Z,51.00,53.00
2025-10-28T09:11:00Z,51.00,53.00
2025-10-28T09:19:00Z,51.00,53.00
2025-10-28T09:29:00Z,50.93,53.00
2025-10-28T09:49:00Z,50.93,53.00
2025-10-28T10:07:00Z,50.00,53.00
2025-10-28T10:22:00Z,50.00,53.00
2025-10-28T10:31:00Z,50.00,53.00
2025-10-28T10:41:00Z,50.00,53.00
2025-10-28T10:56:00Z,50.00,53.00
2025-10-28T11:07:00Z,50.00,53.00
2025-10-28T11:08:00Z,50.00,53.00
2025-10-28T11:19:00Z,50.00,53.00
2025-10-28T11:24:00Z,50.00,53.00
2025-10-28T11:49:00Z,50.00,53.00
2025-10-28T11:56:00Z,50.00,53.00
2025-10-28T12:04:00Z,50.00,53.00
2025-10-28T12:12:00Z,50.00,53.00
2025-10-28T12:15:00Z,50.00,53.00
2025-10-28T12:26:00Z,50.00,53.00
2025-10-28T12:27:00Z,50.00,53.00
2025-10-28T12:28:00Z,50.00,53.00
2025-10-28T12:29:00Z,50.00,53.00
2025-10-28T12:30:00Z,50.00,53.00
2025-10-28T12:32:00Z,50.00,53.00
2025-10-28T12:37:00Z,50.00,53.00
2025-10-28T12:41:00Z,50.00,53.00
2025-10-28T12:44:00Z,50.00,53.00
2025-10-28T12:52:00Z,50.00,53.00
2025-10-28T12:55:00Z,50.00,53.00
2025-10-28T12:56:00Z,50.00,53.00
2025-10-28T13:02:00Z,50.00,53.00
2025-10-28T13:04:00Z,50.00,53.00
