# event_ticker=KXATPCHALLENGERMATCH-26MAY19HASJIA
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Benjamin Hassan
# fav_player=Filip Cristian Jianu
# dog_player=Benjamin Hassan
# kalshi_date=2026-05-19
timestamp,Benjamin Hassan,Filip Cristian Jianu
2026-05-19T03:53:00Z,,67.00
2026-05-19T05:00:00Z,35.00,67.00
2026-05-19T06:23:00Z,32.30,67.00
2026-05-19T07:53:00Z,32.30,68.00
2026-05-19T12:02:00Z,32.30,67.00
2026-05-19T12:34:00Z,32.30,66.00
2026-05-19T12:39:00Z,35.00,66.00
2026-05-19T12:51:00Z,38.00,66.00
2026-05-19T12:54:00Z,29.11,70.00
2026-05-19T12:55:00Z,29.11,69.32
2026-05-19T12:56:00Z,29.11,70.00
2026-05-19T12:58:00Z,29.11,82.00
2026-05-19T12:59:00Z,29.11,84.00
2026-05-19T13:00:00Z,18.16,82.15
2026-05-19T13:02:00Z,17.00,82.15
2026-05-19T13:03:00Z,17.00,82.00
2026-05-19T13:06:00Z,17.00,85.00
2026-05-19T13:09:00Z,17.00,81.00
2026-05-19T13:10:00Z,19.00,81.01
2026-05-19T13:11:00Z,24.99,80.75
2026-05-19T13:12:00Z,24.99,73.50
2026-05-19T13:13:00Z,32.00,69.00
2026-05-19T13:14:00Z,32.00,68.83
2026-05-19T13:15:00Z,32.00,65.06
2026-05-19T13:16:00Z,31.71,72.00
2026-05-19T13:18:00Z,37.81,59.02
2026-05-19T13:19:00Z,45.89,58.07
2026-05-19T13:20:00Z,45.00,49.99
2026-05-19T13:21:00Z,46.38,53.28
2026-05-19T13:22:00Z,57.42,47.00
2026-05-19T13:23:00Z,53.00,48.67
2026-05-19T13:24:00Z,55.67,47.04
2026-05-19T13:25:00Z,61.54,40.11
2026-05-19T13:26:00Z,62.25,37.06
2026-05-19T13:27:00Z,62.25,37.70
2026-05-19T13:28:00Z,63.01,36.61
2026-05-19T13:29:00Z,62.00,38.00
2026-05-19T13:30:00Z,65.00,38.00
2026-05-19T13:31:00Z,61.00,38.00
2026-05-19T13:32:00Z,59.11,40.73
2026-05-19T13:33:00Z,56.47,43.58
2026-05-19T13:34:00Z,59.00,42.54
2026-05-19T13:35:00Z,57.18,44.07
2026-05-19T13:36:00Z,62.29,37.67
2026-05-19T13:37:00Z,66.45,35.58
2026-05-19T13:38:00Z,78.24,27.31
2026-05-19T13:39:00Z,79.96,21.17
2026-05-19T13:40:00Z,81.99,19.95
2026-05-19T13:41:00Z,86.82,14.60
2026-05-19T13:42:00Z,87.01,14.24
2026-05-19T13:43:00Z,91.39,11.17
2026-05-19T13:44:00Z,96.54,4.28
2026-05-19T13:45:00Z,97.46,2.57
2026-05-19T13:46:00Z,98.20,1.00
2026-05-19T13:47:00Z,98.00,2.67
2026-05-19T13:48:00Z,98.99,1.85
2026-05-19T13:49:00Z,98.36,2.07
2026-05-19T13:50:00Z,97.29,2.63
2026-05-19T13:51:00Z,99.00,1.00
2026-05-19T13:52:00Z,99.00,1.84
2026-05-19T13:53:00Z,99.00,1.84
2026-05-19T13:57:00Z,99.00,1.84
2026-05-19T14:02:00Z,99.00,1.84
