# event_ticker=KXATPCHALLENGERMATCH-26MAR19ABOREI
# final_score=6-3 6-3
# match_winner=Joao Lucas Reis Da Silva
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Valerio Aboian
# kalshi_date=2026-03-19
timestamp,Joao Lucas Reis Da Silva,Valerio Aboian
2026-03-19T10:51:00Z,,36.00
2026-03-19T16:41:00Z,67.00,36.00
2026-03-19T19:13:00Z,67.00,36.00
2026-03-19T19:34:00Z,67.00,36.00
2026-03-19T20:55:00Z,67.00,36.00
2026-03-19T21:12:00Z,65.13,36.00
2026-03-19T21:42:00Z,68.00,36.00
2026-03-19T21:43:00Z,68.00,36.00
2026-03-19T21:51:00Z,68.00,36.00
2026-03-19T21:54:00Z,68.00,36.00
2026-03-19T21:57:00Z,68.00,36.00
2026-03-19T22:25:00Z,66.00,36.00
2026-03-19T22:32:00Z,66.00,36.00
2026-03-19T22:33:00Z,66.00,35.00
2026-03-19T22:38:00Z,66.00,35.00
2026-03-19T22:40:00Z,66.00,35.00
2026-03-19T22:41:00Z,66.00,35.00
2026-03-19T22:42:00Z,71.79,33.74
2026-03-19T22:43:00Z,69.50,28.00
2026-03-19T22:45:00Z,76.49,24.00
2026-03-19T22:46:00Z,80.00,22.00
2026-03-19T22:47:00Z,78.00,22.00
2026-03-19T22:48:00Z,79.00,22.00
2026-03-19T22:49:00Z,76.00,25.30
2026-03-19T22:50:00Z,76.00,26.00
2026-03-19T22:52:00Z,70.99,32.00
2026-03-19T22:54:00Z,70.99,25.00
2026-03-19T22:56:00Z,70.99,23.00
2026-03-19T22:57:00Z,70.99,22.00
2026-03-19T22:58:00Z,80.58,22.00
2026-03-19T22:59:00Z,82.00,22.00
2026-03-19T23:00:00Z,81.00,22.00
2026-03-19T23:01:00Z,76.00,22.00
2026-03-19T23:02:00Z,76.00,22.00
2026-03-19T23:03:00Z,79.00,22.00
2026-03-19T23:05:00Z,82.09,14.83
2026-03-19T23:08:00Z,82.09,24.00
2026-03-19T23:09:00Z,78.00,22.24
2026-03-19T23:10:00Z,82.23,22.24
2026-03-19T23:11:00Z,82.23,21.70
2026-03-19T23:12:00Z,84.00,17.00
2026-03-19T23:13:00Z,83.00,17.00
2026-03-19T23:14:00Z,83.00,17.00
2026-03-19T23:15:00Z,83.00,17.76
2026-03-19T23:16:00Z,89.01,12.03
2026-03-19T23:17:00Z,89.00,12.03
2026-03-19T23:18:00Z,88.00,12.03
2026-03-19T23:19:00Z,88.01,12.03
2026-03-19T23:20:00Z,89.00,12.00
2026-03-19T23:21:00Z,89.00,12.00
2026-03-19T23:22:00Z,88.00,12.00
2026-03-19T23:23:00Z,88.00,12.00
2026-03-19T23:24:00Z,88.93,12.33
2026-03-19T23:27:00Z,90.17,16.00
2026-03-19T23:28:00Z,90.00,10.55
2026-03-19T23:29:00Z,89.00,15.01
2026-03-19T23:30:00Z,89.00,14.27
2026-03-19T23:31:00Z,87.00,14.47
2026-03-19T23:33:00Z,88.00,12.00
2026-03-19T23:34:00Z,88.87,12.00
2026-03-19T23:35:00Z,89.50,12.00
2026-03-19T23:36:00Z,90.00,11.00
2026-03-19T23:37:00Z,90.00,11.00
2026-03-19T23:38:00Z,90.00,10.00
2026-03-19T23:39:00Z,87.04,12.92
2026-03-19T23:40:00Z,88.00,11.29
2026-03-19T23:41:00Z,90.50,11.29
2026-03-19T23:42:00Z,90.00,11.29
2026-03-19T23:43:00Z,90.00,10.62
2026-03-19T23:44:00Z,90.75,10.94
2026-03-19T23:45:00Z,93.50,8.44
2026-03-19T23:46:00Z,94.00,6.39
2026-03-19T23:47:00Z,96.06,4.53
2026-03-19T23:48:00Z,97.00,4.53
2026-03-19T23:49:00Z,97.00,5.00
2026-03-19T23:50:00Z,95.28,6.00
2026-03-19T23:51:00Z,93.00,6.90
2026-03-19T23:52:00Z,97.00,4.40
2026-03-19T23:53:00Z,98.82,3.00
2026-03-19T23:54:00Z,99.00,1.29
2026-03-19T23:56:00Z,98.00,1.29
2026-03-19T23:57:00Z,98.00,3.00
2026-03-19T23:58:00Z,97.01,3.00
2026-03-19T23:59:00Z,97.74,5.96
2026-03-20T00:00:00Z,94.55,8.93
2026-03-20T00:01:00Z,96.26,3.00
2026-03-20T00:02:00Z,96.26,1.00
2026-03-20T00:04:00Z,99.00,1.00
2026-03-20T00:06:00Z,99.00,1.00
