# event_ticker=KXATPMATCH-25SEP20GRIDAN
# final_score=3-6 6-4 6-3
# score_resolution=6-3 4-6 3-6
# match_winner=Taro Daniel
# fav_player=Tallon Griekspoor
# dog_player=Taro Daniel
# kalshi_date=2025-09-20
timestamp,Tallon Griekspoor,Taro Daniel
2025-09-19T19:36:00Z,63.00,
2025-09-19T19:47:00Z,64.00,
2025-09-19T20:21:00Z,65.00,
2025-09-19T20:32:00Z,65.00,
2025-09-19T20:51:00Z,65.00,
2025-09-19T21:51:00Z,65.00,
2025-09-19T23:42:00Z,65.00,36.00
2025-09-20T00:06:00Z,65.00,36.00
2025-09-20T00:30:00Z,65.00,36.00
2025-09-20T00:35:00Z,65.00,36.00
2025-09-20T01:49:00Z,65.00,36.00
2025-09-20T01:51:00Z,65.00,36.00
2025-09-20T02:11:00Z,65.00,36.00
2025-09-20T02:15:00Z,65.00,36.00
2025-09-20T02:33:00Z,65.00,36.00
2025-09-20T02:57:00Z,65.00,36.00
2025-09-20T03:04:00Z,65.00,36.00
2025-09-20T03:07:00Z,65.00,36.00
2025-09-20T03:15:00Z,65.00,36.00
2025-09-20T03:25:00Z,65.00,36.00
2025-09-20T03:32:00Z,65.00,36.00
2025-09-20T03:33:00Z,65.00,36.00
2025-09-20T03:34:00Z,65.00,36.00
2025-09-20T03:37:00Z,65.00,36.00
2025-09-20T03:41:00Z,65.00,36.00
2025-09-20T03:42:00Z,65.00,36.00
2025-09-20T03:43:00Z,65.00,36.00
2025-09-20T03:59:00Z,64.00,36.00
2025-09-20T04:03:00Z,64.00,36.00
2025-09-20T04:17:00Z,64.00,36.00
2025-09-20T04:18:00Z,64.00,36.00
2025-09-20T04:19:00Z,64.94,36.00
2025-09-20T04:20:00Z,65.00,36.00
2025-09-20T04:21:00Z,65.00,36.00
2025-09-20T04:22:00Z,65.00,36.00
2025-09-20T04:23:00Z,65.00,36.00
2025-09-20T04:24:00Z,65.00,36.00
2025-09-20T04:28:00Z,65.00,36.00
