# event_ticker=KXATPCHALLENGERMATCH-26APR10BOSGUI
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Pedro Boscardin Dias
# fav_player=Alvaro Guillen Meza
# dog_player=Pedro Boscardin Dias
# kalshi_date=2026-04-10
timestamp,Alvaro Guillen Meza,Pedro Boscardin Dias
2026-04-10T05:08:00Z,47.00,
2026-04-10T05:12:00Z,47.00,
2026-04-10T05:27:00Z,47.00,52.00
2026-04-10T05:28:00Z,47.00,52.00
2026-04-10T05:40:00Z,47.00,53.00
2026-04-10T06:12:00Z,47.00,53.00
2026-04-10T06:28:00Z,47.00,53.00
2026-04-10T06:59:00Z,47.51,53.00
2026-04-10T07:00:00Z,48.00,53.00
2026-04-10T07:12:00Z,48.00,53.00
2026-04-10T07:42:00Z,48.00,53.34
2026-04-10T07:43:00Z,48.00,54.00
2026-04-10T08:12:00Z,49.00,54.00
2026-04-10T08:34:00Z,49.00,54.00
2026-04-10T08:38:00Z,49.00,54.00
2026-04-10T08:49:00Z,49.00,53.00
2026-04-10T09:12:00Z,49.00,53.00
2026-04-10T09:30:00Z,49.00,53.00
2026-04-10T09:49:00Z,49.00,53.00
2026-04-10T10:12:00Z,49.00,53.00
2026-04-10T10:37:00Z,49.00,53.00
2026-04-10T11:09:00Z,49.00,53.00
2026-04-10T11:12:00Z,49.00,53.00
2026-04-10T11:35:00Z,49.00,53.00
2026-04-10T11:44:00Z,49.00,54.00
2026-04-10T11:55:00Z,49.00,53.00
2026-04-10T12:11:00Z,49.00,53.00
2026-04-10T12:27:00Z,49.00,53.00
2026-04-10T12:28:00Z,49.00,53.00
2026-04-10T12:39:00Z,49.00,53.00
2026-04-10T12:57:00Z,49.00,53.00
2026-04-10T12:59:00Z,49.00,53.00
2026-04-10T13:03:00Z,49.00,52.89
2026-04-10T13:05:00Z,49.00,53.00
2026-04-10T13:11:00Z,49.00,52.00
2026-04-10T13:14:00Z,49.00,52.00
2026-04-10T13:20:00Z,49.00,52.00
2026-04-10T13:21:00Z,49.00,53.00
