# event_ticker=KXATPCHALLENGERMATCH-26MAR05DAMMON
# final_score=6-4 7-5
# match_winner=Thiago Monteiro
# fav_player=Thiago Monteiro
# dog_player=Miguel Damas
# kalshi_date=2026-03-05
timestamp,Thiago Monteiro,Miguel Damas
2026-03-05T01:52:00Z,,32.00
2026-03-05T01:58:00Z,,32.00
2026-03-05T02:10:00Z,,32.00
2026-03-05T02:31:00Z,,31.00
2026-03-05T02:45:00Z,,31.00
2026-03-05T03:06:00Z,,31.00
2026-03-05T03:21:00Z,,31.00
2026-03-05T04:19:00Z,,28.00
2026-03-05T05:47:00Z,,31.99
2026-03-05T05:50:00Z,,32.00
2026-03-05T06:11:00Z,70.00,32.00
2026-03-05T06:15:00Z,70.00,32.00
2026-03-05T06:21:00Z,68.00,32.00
2026-03-05T06:22:00Z,68.00,29.00
2026-03-05T06:55:00Z,68.00,31.00
2026-03-05T06:56:00Z,68.00,31.20
2026-03-05T06:57:00Z,68.00,32.00
2026-03-05T07:06:00Z,70.00,32.00
2026-03-05T07:07:00Z,70.42,32.00
2026-03-05T07:08:00Z,71.00,32.00
2026-03-05T07:11:00Z,71.00,32.00
2026-03-05T07:16:00Z,71.00,32.00
2026-03-05T07:38:00Z,71.00,31.00
2026-03-05T10:19:00Z,71.00,31.00
2026-03-05T10:32:00Z,71.00,31.00
2026-03-05T10:54:00Z,71.00,31.00
2026-03-05T11:03:00Z,72.00,31.00
2026-03-05T11:27:00Z,72.00,30.00
2026-03-05T11:30:00Z,72.00,31.00
2026-03-05T11:33:00Z,72.00,31.00
2026-03-05T11:48:00Z,72.00,31.00
2026-03-05T11:50:00Z,72.00,30.00
2026-03-05T11:51:00Z,72.00,30.00
2026-03-05T11:56:00Z,72.00,30.00
2026-03-05T12:05:00Z,72.00,30.00
2026-03-05T12:19:00Z,72.00,31.00
2026-03-05T12:23:00Z,72.00,31.00
2026-03-05T12:25:00Z,72.00,31.00
2026-03-05T12:26:00Z,72.00,31.00
2026-03-05T12:27:00Z,72.00,31.00
2026-03-05T12:32:00Z,68.36,31.00
2026-03-05T12:34:00Z,70.00,31.00
2026-03-05T12:38:00Z,70.00,31.00
2026-03-05T12:39:00Z,70.00,31.00
2026-03-05T12:40:00Z,70.00,31.00
2026-03-05T12:41:00Z,70.00,31.00
2026-03-05T12:43:00Z,70.00,31.00
2026-03-05T12:44:00Z,70.00,31.00
2026-03-05T12:45:00Z,70.00,31.00
2026-03-05T12:46:00Z,70.00,31.00
2026-03-05T12:50:00Z,70.00,31.00
2026-03-05T12:51:00Z,70.00,31.00
2026-03-05T12:53:00Z,71.00,31.00
2026-03-05T12:55:00Z,71.00,31.00
2026-03-05T12:57:00Z,71.00,31.00
2026-03-05T12:58:00Z,69.00,31.00
2026-03-05T13:00:00Z,71.00,31.00
2026-03-05T13:01:00Z,71.00,31.00
2026-03-05T13:03:00Z,69.00,31.00
2026-03-05T13:05:00Z,70.00,31.00
2026-03-05T13:06:00Z,70.00,31.00
