# event_ticker=KXATPCHALLENGERMATCH-26MAY13JUSAMB
# final_score=6-4 6-1
# score_resolution=4-6 1-6
# match_winner=Guido Ivan Justo
# fav_player=Luciano Emanuel Ambrogi
# dog_player=Guido Ivan Justo
# kalshi_date=2026-05-13
timestamp,Guido Ivan Justo,Luciano Emanuel Ambrogi
2026-05-13T03:08:00Z,58.00,
2026-05-13T03:49:00Z,58.00,44.00
2026-05-13T03:53:00Z,57.00,44.00
2026-05-13T05:30:00Z,57.00,44.00
2026-05-13T07:55:00Z,57.54,41.25
2026-05-13T07:56:00Z,57.54,43.00
2026-05-13T08:10:00Z,57.54,43.00
2026-05-13T10:44:00Z,57.00,43.00
2026-05-13T12:24:00Z,57.00,43.00
2026-05-13T12:44:00Z,57.00,45.00
2026-05-13T12:49:00Z,57.00,45.00
2026-05-13T13:01:00Z,57.00,45.00
2026-05-13T13:12:00Z,56.00,45.00
2026-05-13T13:13:00Z,56.00,45.00
2026-05-13T13:17:00Z,56.00,45.00
2026-05-13T13:19:00Z,56.00,45.00
2026-05-13T13:37:00Z,56.00,45.00
2026-05-13T13:42:00Z,56.00,45.00
2026-05-13T13:47:00Z,56.00,45.00
2026-05-13T13:49:00Z,56.00,45.00
2026-05-13T13:54:00Z,56.00,45.00
2026-05-13T13:59:00Z,56.00,45.31
2026-05-13T14:01:00Z,57.00,45.31
2026-05-13T14:02:00Z,57.00,45.31
2026-05-13T14:03:00Z,57.00,45.87
2026-05-13T14:04:00Z,57.00,45.87
2026-05-13T14:06:00Z,57.00,45.87
2026-05-13T14:07:00Z,57.91,45.87
2026-05-13T14:08:00Z,58.00,45.87
2026-05-13T14:09:00Z,58.00,45.87
2026-05-13T14:10:00Z,58.00,45.87
2026-05-13T14:11:00Z,58.00,43.00
2026-05-13T14:12:00Z,58.00,43.00
2026-05-13T14:13:00Z,58.33,42.10
2026-05-13T14:14:00Z,58.87,43.00
2026-05-13T14:15:00Z,60.55,40.93
2026-05-13T14:16:00Z,59.04,38.00
2026-05-13T14:17:00Z,58.32,38.00
2026-05-13T14:18:00Z,66.23,34.76
2026-05-13T14:19:00Z,74.22,34.76
2026-05-13T14:20:00Z,74.97,26.00
2026-05-13T14:21:00Z,69.27,26.00
2026-05-13T14:22:00Z,69.27,29.00
2026-05-13T14:23:00Z,67.35,32.96
2026-05-13T14:24:00Z,70.49,32.96
2026-05-13T14:25:00Z,68.87,33.00
2026-05-13T14:26:00Z,63.05,36.43
2026-05-13T14:27:00Z,63.00,40.00
2026-05-13T14:28:00Z,59.30,40.50
2026-05-13T14:29:00Z,64.63,36.00
2026-05-13T14:30:00Z,68.00,36.00
2026-05-13T14:31:00Z,59.32,41.21
2026-05-13T14:32:00Z,58.39,44.00
2026-05-13T14:33:00Z,59.51,41.00
2026-05-13T14:34:00Z,62.18,40.00
2026-05-13T14:35:00Z,61.44,40.67
2026-05-13T14:36:00Z,53.99,45.80
2026-05-13T14:37:00Z,51.82,49.00
2026-05-13T14:38:00Z,43.83,59.00
2026-05-13T14:39:00Z,44.01,58.00
2026-05-13T14:40:00Z,47.76,49.00
2026-05-13T14:41:00Z,49.91,49.00
2026-05-13T14:42:00Z,49.63,49.00
2026-05-13T14:43:00Z,51.47,47.75
2026-05-13T14:44:00Z,57.00,46.00
2026-05-13T14:45:00Z,60.86,42.67
2026-05-13T14:46:00Z,58.14,44.00
2026-05-13T14:47:00Z,53.00,45.65
2026-05-13T14:48:00Z,53.44,48.00
2026-05-13T14:49:00Z,61.00,40.00
2026-05-13T14:50:00Z,61.00,40.00
2026-05-13T14:52:00Z,59.16,40.00
2026-05-13T14:53:00Z,59.32,42.00
2026-05-13T14:54:00Z,57.50,43.50
2026-05-13T14:55:00Z,56.42,43.00
2026-05-13T14:56:00Z,55.00,43.64
2026-05-13T14:57:00Z,57.10,43.95
2026-05-13T14:58:00Z,58.42,43.88
2026-05-13T14:59:00Z,54.81,45.69
2026-05-13T15:00:00Z,58.50,43.64
2026-05-13T15:01:00Z,62.63,39.00
2026-05-13T15:02:00Z,63.88,35.71
2026-05-13T15:03:00Z,66.31,34.09
2026-05-13T15:04:00Z,72.09,27.17
2026-05-13T15:05:00Z,72.98,26.67
2026-05-13T15:06:00Z,68.67,34.94
2026-05-13T15:07:00Z,68.43,31.17
2026-05-13T15:08:00Z,77.43,23.23
2026-05-13T15:09:00Z,79.00,20.00
2026-05-13T15:10:00Z,80.19,20.03
2026-05-13T15:11:00Z,82.17,20.00
2026-05-13T15:12:00Z,82.04,20.00
2026-05-13T15:13:00Z,83.00,16.87
2026-05-13T15:14:00Z,83.29,18.00
2026-05-13T15:15:00Z,83.81,17.99
2026-05-13T15:16:00Z,83.41,16.37
2026-05-13T15:17:00Z,84.88,15.04
2026-05-13T15:18:00Z,82.00,18.75
2026-05-13T15:19:00Z,82.76,18.34
2026-05-13T15:20:00Z,84.81,15.95
2026-05-13T15:21:00Z,85.40,15.31
2026-05-13T15:22:00Z,84.97,16.75
2026-05-13T15:23:00Z,84.73,16.72
2026-05-13T15:24:00Z,86.43,14.86
2026-05-13T15:25:00Z,93.49,9.27
2026-05-13T15:26:00Z,93.32,7.72
2026-05-13T15:27:00Z,92.78,8.05
2026-05-13T15:28:00Z,94.47,6.30
2026-05-13T15:29:00Z,92.21,9.59
2026-05-13T15:30:00Z,91.81,9.68
2026-05-13T15:31:00Z,92.05,9.81
2026-05-13T15:32:00Z,92.09,10.75
2026-05-13T15:33:00Z,94.87,8.66
2026-05-13T15:34:00Z,94.85,6.86
2026-05-13T15:35:00Z,95.00,5.46
2026-05-13T15:36:00Z,94.93,5.87
2026-05-13T15:37:00Z,95.96,5.00
2026-05-13T15:38:00Z,97.83,2.67
2026-05-13T15:39:00Z,98.42,2.07
2026-05-13T15:40:00Z,98.03,2.00
2026-05-13T15:41:00Z,99.00,2.00
2026-05-13T15:42:00Z,98.65,2.00
2026-05-13T15:43:00Z,98.20,2.78
