# event_ticker=KXATPCHALLENGERMATCH-26MAR31WENSHI
# final_score=6-4 6-4
# match_winner=Harry Wendelken
# fav_player=Harry Wendelken
# dog_player=Braden Shick
# kalshi_date=2026-03-31
timestamp,Harry Wendelken,Braden Shick
2026-04-01T14:37:00Z,69.00,
2026-04-01T18:15:00Z,68.00,
2026-04-01T18:40:00Z,68.00,33.00
2026-04-01T18:55:00Z,68.00,33.00
2026-04-01T19:33:00Z,68.00,33.00
2026-04-01T20:49:00Z,68.00,33.00
2026-04-01T21:39:00Z,68.00,33.00
2026-04-01T22:47:00Z,68.00,33.00
2026-04-01T22:49:00Z,68.00,33.00
2026-04-01T22:58:00Z,68.00,33.00
2026-04-01T22:59:00Z,68.00,33.00
2026-04-01T23:49:00Z,68.00,33.00
2026-04-01T23:57:00Z,68.00,33.00
2026-04-02T00:15:00Z,68.00,33.00
2026-04-02T00:41:00Z,68.00,33.00
2026-04-02T00:51:00Z,68.00,33.00
2026-04-02T00:52:00Z,68.00,33.00
2026-04-02T01:08:00Z,68.00,32.00
2026-04-02T01:40:00Z,68.00,32.00
2026-04-02T01:50:00Z,68.00,32.00
2026-04-02T01:51:00Z,68.00,32.00
2026-04-02T01:54:00Z,68.00,32.00
2026-04-02T01:55:00Z,68.00,32.00
2026-04-02T01:56:00Z,68.00,33.00
2026-04-02T01:59:00Z,68.00,33.00
2026-04-02T02:05:00Z,69.04,33.00
2026-04-02T02:09:00Z,69.00,33.00
2026-04-02T02:10:00Z,69.00,33.00
2026-04-02T02:11:00Z,69.46,29.94
2026-04-02T02:12:00Z,68.00,29.94
2026-04-02T02:13:00Z,70.00,29.94
2026-04-02T02:14:00Z,74.40,27.73
2026-04-02T02:15:00Z,79.00,22.00
2026-04-02T02:16:00Z,81.00,21.00
2026-04-02T02:18:00Z,80.14,21.83
2026-04-02T02:19:00Z,71.00,22.13
2026-04-02T02:20:00Z,74.77,26.00
2026-04-02T02:21:00Z,74.17,28.29
2026-04-02T02:22:00Z,73.03,27.00
2026-04-02T02:23:00Z,72.58,27.50
2026-04-02T02:24:00Z,68.00,32.00
2026-04-02T02:25:00Z,71.72,26.56
2026-04-02T02:26:00Z,77.92,25.34
2026-04-02T02:27:00Z,80.00,17.23
2026-04-02T02:28:00Z,84.00,17.23
2026-04-02T02:29:00Z,84.37,16.29
2026-04-02T02:30:00Z,81.68,19.49
2026-04-02T02:31:00Z,79.89,18.32
2026-04-02T02:32:00Z,77.96,21.47
2026-04-02T02:33:00Z,79.31,21.47
2026-04-02T02:34:00Z,79.00,23.00
2026-04-02T02:35:00Z,77.00,24.00
2026-04-02T02:36:00Z,77.00,22.71
2026-04-02T02:37:00Z,77.01,22.78
2026-04-02T02:38:00Z,78.14,22.78
2026-04-02T02:39:00Z,83.71,17.00
2026-04-02T02:40:00Z,83.71,17.88
2026-04-02T02:41:00Z,79.00,21.00
2026-04-02T02:42:00Z,81.00,18.89
2026-04-02T02:43:00Z,84.57,16.91
2026-04-02T02:44:00Z,88.35,13.00
2026-04-02T02:45:00Z,87.50,13.18
2026-04-02T02:46:00Z,88.00,14.77
2026-04-02T02:47:00Z,87.15,12.26
2026-04-02T02:48:00Z,86.79,15.00
2026-04-02T02:49:00Z,87.00,13.57
2026-04-02T02:50:00Z,89.00,13.00
2026-04-02T02:51:00Z,86.98,13.00
2026-04-02T02:52:00Z,87.08,12.31
2026-04-02T02:53:00Z,85.23,14.12
2026-04-02T02:54:00Z,83.19,18.03
2026-04-02T02:55:00Z,81.03,19.17
2026-04-02T02:56:00Z,82.99,19.74
2026-04-02T02:57:00Z,84.04,16.88
2026-04-02T02:58:00Z,88.86,12.00
2026-04-02T02:59:00Z,89.00,12.00
2026-04-02T03:00:00Z,86.41,12.88
2026-04-02T03:01:00Z,85.21,17.64
2026-04-02T03:02:00Z,84.46,16.01
2026-04-02T03:03:00Z,81.91,17.05
2026-04-02T03:04:00Z,80.72,20.86
2026-04-02T03:05:00Z,78.03,22.24
2026-04-02T03:06:00Z,78.47,22.36
2026-04-02T03:07:00Z,82.36,22.36
2026-04-02T03:08:00Z,85.01,14.91
2026-04-02T03:09:00Z,85.49,15.00
2026-04-02T03:10:00Z,85.15,15.03
2026-04-02T03:11:00Z,84.29,17.04
2026-04-02T03:12:00Z,82.99,18.09
2026-04-02T03:14:00Z,79.96,21.29
2026-04-02T03:15:00Z,81.25,21.00
2026-04-02T03:16:00Z,84.39,16.45
2026-04-02T03:17:00Z,84.17,16.67
2026-04-02T03:18:00Z,83.31,16.61
2026-04-02T03:19:00Z,84.46,17.14
2026-04-02T03:20:00Z,85.52,12.14
2026-04-02T03:21:00Z,92.48,7.64
2026-04-02T03:22:00Z,90.72,7.53
2026-04-02T03:23:00Z,91.50,8.26
2026-04-02T03:24:00Z,93.82,7.11
2026-04-02T03:25:00Z,91.94,9.23
2026-04-02T03:26:00Z,93.89,7.09
2026-04-02T03:27:00Z,95.00,6.00
2026-04-02T03:28:00Z,94.05,6.78
2026-04-02T03:29:00Z,95.47,6.48
2026-04-02T03:30:00Z,96.28,3.68
2026-04-02T03:31:00Z,95.61,4.52
2026-04-02T03:32:00Z,94.06,5.00
2026-04-02T03:33:00Z,94.53,5.88
2026-04-02T03:34:00Z,94.00,6.84
2026-04-02T03:35:00Z,93.99,6.95
2026-04-02T03:36:00Z,92.72,7.25
2026-04-02T03:37:00Z,91.01,9.71
2026-04-02T03:38:00Z,91.39,6.17
2026-04-02T03:39:00Z,94.34,4.45
2026-04-02T03:40:00Z,97.52,3.09
2026-04-02T03:41:00Z,97.53,3.01
2026-04-02T03:42:00Z,97.99,2.19
2026-04-02T03:43:00Z,98.96,1.00
2026-04-02T03:44:00Z,98.00,2.35
2026-04-02T03:45:00Z,97.20,2.87
2026-04-02T03:46:00Z,98.83,2.90
2026-04-02T03:47:00Z,96.87,1.74
2026-04-02T03:48:00Z,99.00,1.00
2026-04-02T03:49:00Z,99.00,1.00
2026-04-02T03:50:00Z,98.91,1.00
2026-04-02T03:51:00Z,98.99,1.51
2026-04-02T03:52:00Z,98.18,2.07
2026-04-02T03:53:00Z,98.73,3.00
2026-04-02T03:54:00Z,98.03,2.17
2026-04-02T03:55:00Z,98.33,1.93
2026-04-02T03:56:00Z,97.88,3.13
2026-04-02T03:57:00Z,98.35,3.72
2026-04-02T03:58:00Z,97.44,3.52
2026-04-02T03:59:00Z,96.06,4.98
2026-04-02T04:00:00Z,96.73,4.70
2026-04-02T04:01:00Z,98.00,2.71
2026-04-02T04:02:00Z,98.08,1.11
2026-04-02T04:03:00Z,99.00,1.00
2026-04-02T04:04:00Z,99.00,1.00
2026-04-02T04:06:00Z,99.00,1.00
