# event_ticker=KXATPMATCH-25JUL31MEDPOP
# final_score=5-7 6-4 6-4
# match_winner=Alexei Popyrin
# fav_player=Alexei Popyrin
# dog_player=Daniil Medvedev
# kalshi_date=2025-07-31
timestamp,Alexei Popyrin,Daniil Medvedev
2025-07-31T14:37:00Z,28.00,
2025-07-31T15:09:00Z,28.00,77.00
2025-07-31T15:15:00Z,28.00,79.00
2025-07-31T15:33:00Z,28.00,73.44
2025-07-31T15:43:00Z,28.00,79.00
2025-07-31T15:49:00Z,28.00,79.00
2025-07-31T15:50:00Z,24.00,79.00
2025-07-31T15:51:00Z,24.00,80.00
2025-07-31T16:02:00Z,24.00,80.00
2025-07-31T16:07:00Z,24.00,80.00
2025-07-31T16:22:00Z,24.00,80.00
2025-07-31T16:36:00Z,22.00,80.00
2025-07-31T16:44:00Z,22.00,80.00
2025-07-31T16:46:00Z,22.00,80.00
2025-07-31T17:15:00Z,22.00,80.00
2025-07-31T17:42:00Z,22.00,80.00
2025-07-31T18:08:00Z,22.00,79.00
2025-07-31T19:26:00Z,22.00,79.00
2025-07-31T19:31:00Z,22.00,79.00
2025-07-31T19:53:00Z,22.00,79.00
2025-07-31T19:55:00Z,22.00,79.00
2025-07-31T19:56:00Z,22.00,78.00
2025-07-31T20:01:00Z,23.00,78.00
2025-07-31T20:07:00Z,23.00,78.00
2025-07-31T20:08:00Z,23.00,78.00
2025-07-31T20:20:00Z,23.00,78.00
2025-07-31T20:32:00Z,23.00,78.00
2025-07-31T20:33:00Z,23.00,78.00
2025-07-31T20:45:00Z,23.00,78.00
2025-07-31T20:49:00Z,23.00,78.00
2025-07-31T20:51:00Z,23.00,78.00
2025-07-31T21:00:00Z,23.00,78.61
2025-07-31T21:12:00Z,23.00,78.00
2025-07-31T21:27:00Z,22.00,78.00
2025-07-31T21:56:00Z,23.00,78.00
2025-07-31T22:13:00Z,23.70,78.00
2025-07-31T22:21:00Z,23.00,78.00
2025-07-31T22:26:00Z,24.00,78.00
2025-07-31T22:28:00Z,23.00,78.00
2025-07-31T22:29:00Z,23.00,76.33
2025-07-31T22:46:00Z,23.00,77.00
2025-07-31T22:47:00Z,23.00,77.00
2025-07-31T22:48:00Z,23.00,77.00
2025-07-31T22:52:00Z,21.00,77.00
2025-07-31T23:00:00Z,23.00,77.00
2025-07-31T23:01:00Z,24.00,77.00
2025-07-31T23:05:00Z,24.00,77.00
2025-07-31T23:14:00Z,24.00,77.00
2025-07-31T23:36:00Z,24.00,77.00
