# event_ticker=KXATPMATCH-25JUL29MUSDUC
# final_score=7-5 6-1
# match_winner=Lorenzo Musetti
# fav_player=Lorenzo Musetti
# dog_player=James Duckworth
# kalshi_date=2025-07-29
timestamp,Lorenzo Musetti,James Duckworth
2025-07-29T12:48:00Z,74.00,
2025-07-29T14:20:00Z,74.00,27.30
2025-07-29T14:26:00Z,78.02,27.30
2025-07-29T14:53:00Z,78.02,27.00
2025-07-29T15:10:00Z,74.00,27.00
2025-07-29T15:20:00Z,74.00,27.00
2025-07-29T15:25:00Z,74.00,27.00
2025-07-29T15:47:00Z,74.00,27.00
2025-07-29T15:57:00Z,74.00,27.00
2025-07-29T16:26:00Z,74.00,27.00
2025-07-29T16:28:00Z,74.00,27.00
2025-07-29T16:34:00Z,74.00,27.00
2025-07-29T17:24:00Z,74.00,27.00
2025-07-29T17:25:00Z,74.00,27.00
2025-07-29T17:36:00Z,75.00,27.00
2025-07-29T17:41:00Z,75.00,27.00
2025-07-29T17:42:00Z,75.80,27.00
2025-07-29T17:43:00Z,76.00,27.00
2025-07-29T17:52:00Z,76.00,27.00
2025-07-29T17:55:00Z,76.00,27.00
2025-07-29T17:58:00Z,75.00,27.00
2025-07-29T17:59:00Z,75.00,27.00
2025-07-29T18:01:00Z,76.00,26.00
2025-07-29T18:06:00Z,75.00,26.00
2025-07-29T18:09:00Z,75.00,26.00
2025-07-29T18:12:00Z,75.00,27.00
2025-07-29T18:13:00Z,75.00,27.00
2025-07-29T18:14:00Z,75.80,27.00
2025-07-29T18:16:00Z,75.80,26.00
2025-07-29T18:17:00Z,75.80,26.00
2025-07-29T18:18:00Z,79.00,26.00
2025-07-29T18:19:00Z,79.00,24.00
2025-07-29T18:21:00Z,76.00,26.74
2025-07-29T18:22:00Z,77.00,26.74
2025-07-29T18:23:00Z,77.00,25.00
2025-07-29T18:24:00Z,77.00,22.00
2025-07-29T18:25:00Z,78.00,25.00
2025-07-29T18:26:00Z,78.00,28.00
2025-07-29T18:28:00Z,81.00,28.00
2025-07-29T18:29:00Z,81.00,17.00
2025-07-29T18:30:00Z,79.00,20.00
2025-07-29T18:31:00Z,79.00,24.35
2025-07-29T18:33:00Z,79.00,23.00
2025-07-29T18:34:00Z,78.00,23.00
2025-07-29T18:35:00Z,77.00,26.00
2025-07-29T18:36:00Z,77.00,25.00
2025-07-29T18:37:00Z,79.05,25.01
2025-07-29T18:38:00Z,75.14,25.11
2025-07-29T18:39:00Z,80.00,25.11
2025-07-29T18:42:00Z,84.00,16.00
2025-07-29T18:43:00Z,82.00,22.00
2025-07-29T18:44:00Z,77.00,24.95
2025-07-29T18:45:00Z,79.00,26.96
2025-07-29T18:46:00Z,79.00,24.54
2025-07-29T18:47:00Z,78.00,23.49
2025-07-29T18:48:00Z,78.00,24.00
2025-07-29T18:50:00Z,78.00,24.00
2025-07-29T18:51:00Z,78.00,23.00
2025-07-29T18:52:00Z,78.76,23.00
2025-07-29T18:53:00Z,78.00,25.00
2025-07-29T18:54:00Z,75.00,25.00
2025-07-29T18:55:00Z,75.00,28.52
2025-07-29T18:56:00Z,75.00,25.95
2025-07-29T18:57:00Z,77.00,25.95
2025-07-29T18:58:00Z,74.49,24.62
2025-07-29T18:59:00Z,77.00,26.80
2025-07-29T19:00:00Z,72.23,28.48
2025-07-29T19:01:00Z,63.02,36.82
2025-07-29T19:02:00Z,66.15,41.23
2025-07-29T19:03:00Z,69.00,34.43
2025-07-29T19:04:00Z,75.74,28.22
2025-07-29T19:05:00Z,77.18,26.00
2025-07-29T19:06:00Z,76.85,28.81
2025-07-29T19:07:00Z,86.38,25.00
2025-07-29T19:08:00Z,87.50,10.80
2025-07-29T19:09:00Z,91.05,10.70
2025-07-29T19:10:00Z,91.05,10.21
2025-07-29T19:11:00Z,91.00,11.07
2025-07-29T19:12:00Z,91.00,10.65
2025-07-29T19:13:00Z,90.69,10.65
2025-07-29T19:14:00Z,91.00,10.65
2025-07-29T19:15:00Z,96.00,5.67
2025-07-29T19:16:00Z,96.00,6.28
2025-07-29T19:17:00Z,94.15,7.00
2025-07-29T19:18:00Z,95.00,11.93
2025-07-29T19:19:00Z,95.33,1.63
2025-07-29T19:20:00Z,95.33,3.00
2025-07-29T19:21:00Z,97.00,4.23
2025-07-29T19:22:00Z,98.00,2.57
2025-07-29T19:23:00Z,98.00,1.99
2025-07-29T19:24:00Z,99.00,1.49
2025-07-29T19:25:00Z,99.00,3.00
2025-07-29T19:26:00Z,97.22,3.00
2025-07-29T19:27:00Z,97.22,2.49
2025-07-29T19:29:00Z,97.22,2.00
2025-07-29T19:30:00Z,99.00,2.00
2025-07-29T19:32:00Z,99.00,3.00
2025-07-29T19:33:00Z,97.00,1.78
2025-07-29T19:34:00Z,98.00,1.92
2025-07-29T19:35:00Z,99.00,1.92
2025-07-29T19:40:00Z,99.00,1.92
