# event_ticker=KXATPCHALLENGERMATCH-26MAR04NAPMIK
# final_score=1-6 7-6(5) 3-2 RET
# match_winner=Stefano Napolitano
# fav_player=Luka Mikrut
# dog_player=Stefano Napolitano
# kalshi_date=2026-03-04
timestamp,Luka Mikrut,Stefano Napolitano
2026-03-04T13:57:00Z,96.13,15.00
2026-03-04T14:00:00Z,71.51,47.65
2026-03-04T14:01:00Z,70.98,43.33
2026-03-04T14:02:00Z,71.22,43.00
2026-03-04T14:03:00Z,76.00,43.00
2026-03-04T14:05:00Z,68.73,35.00
2026-03-04T14:06:00Z,62.66,45.00
2026-03-04T14:07:00Z,64.87,85.24
2026-03-04T14:08:00Z,59.00,39.83
2026-03-04T14:09:00Z,48.98,67.01
2026-03-04T14:10:00Z,51.66,47.98
2026-03-04T14:11:00Z,52.94,47.98
2026-03-04T14:12:00Z,60.58,47.98
2026-03-04T14:13:00Z,54.97,42.45
2026-03-04T14:14:00Z,48.05,60.60
2026-03-04T14:15:00Z,47.77,58.55
2026-03-04T14:16:00Z,47.29,57.98
2026-03-04T14:17:00Z,56.17,46.82
2026-03-04T14:18:00Z,45.76,52.76
2026-03-04T14:19:00Z,53.12,55.53
2026-03-04T14:20:00Z,54.85,55.26
2026-03-04T14:21:00Z,44.93,57.51
2026-03-04T14:22:00Z,37.11,66.98
2026-03-04T14:23:00Z,43.27,62.46
2026-03-04T14:24:00Z,57.67,59.94
2026-03-04T14:25:00Z,34.10,75.30
2026-03-04T14:26:00Z,45.74,64.22
2026-03-04T14:27:00Z,8.77,92.95
2026-03-04T14:28:00Z,1.02,99.00
2026-03-04T14:29:00Z,1.02,99.00
2026-03-04T14:30:00Z,1.00,99.00
2026-03-04T14:31:00Z,1.00,99.00
