# event_ticker=KXATPCHALLENGERMATCH-26APR22ALBGHI
# final_score=6-3 6-3
# match_winner=Antoine Ghibaudo
# fav_player=Antoine Ghibaudo
# dog_player=Radu Albot
# kalshi_date=2026-04-22
timestamp,Radu Albot,Antoine Ghibaudo
2026-04-21T20:02:00Z,,54.00
2026-04-21T20:05:00Z,,52.00
2026-04-21T21:20:00Z,47.00,52.00
2026-04-21T21:23:00Z,47.00,55.00
2026-04-21T22:18:00Z,48.00,55.00
2026-04-21T22:20:00Z,48.00,55.00
2026-04-21T22:30:00Z,45.00,55.00
2026-04-21T22:33:00Z,45.00,55.00
2026-04-22T02:08:00Z,45.00,55.00
2026-04-22T02:43:00Z,45.00,58.00
2026-04-22T02:59:00Z,45.00,58.00
2026-04-22T03:11:00Z,45.00,57.00
2026-04-22T03:41:00Z,45.00,58.00
2026-04-22T03:56:00Z,45.00,57.88
2026-04-22T04:05:00Z,45.00,58.00
2026-04-22T04:11:00Z,45.00,58.00
2026-04-22T04:19:00Z,45.00,58.08
2026-04-22T04:23:00Z,45.00,60.00
2026-04-22T04:24:00Z,45.00,59.63
2026-04-22T04:25:00Z,45.00,59.00
2026-04-22T04:39:00Z,44.00,59.00
2026-04-22T04:57:00Z,44.00,57.00
2026-04-22T05:00:00Z,45.92,57.00
2026-04-22T05:05:00Z,45.00,60.38
2026-04-22T05:08:00Z,45.00,58.49
2026-04-22T05:09:00Z,45.00,58.00
2026-04-22T05:10:00Z,42.00,60.00
2026-04-22T05:11:00Z,48.62,60.00
2026-04-22T05:13:00Z,40.50,62.00
2026-04-22T05:14:00Z,41.09,61.77
2026-04-22T05:15:00Z,43.22,60.80
2026-04-22T05:16:00Z,44.30,61.56
2026-04-22T05:17:00Z,45.94,57.35
2026-04-22T05:18:00Z,45.60,59.12
2026-04-22T05:19:00Z,46.02,54.99
2026-04-22T05:20:00Z,49.19,54.19
2026-04-22T05:21:00Z,49.22,56.49
2026-04-22T05:22:00Z,50.30,55.86
2026-04-22T05:23:00Z,44.19,59.42
2026-04-22T05:24:00Z,42.14,59.88
2026-04-22T05:25:00Z,42.55,59.48
2026-04-22T05:26:00Z,38.72,62.20
2026-04-22T05:27:00Z,36.31,66.94
2026-04-22T05:28:00Z,34.77,67.04
2026-04-22T05:29:00Z,40.52,61.17
2026-04-22T05:30:00Z,40.83,60.79
2026-04-22T05:31:00Z,39.10,62.94
2026-04-22T05:32:00Z,38.86,62.49
2026-04-22T05:33:00Z,43.39,57.05
2026-04-22T05:34:00Z,43.65,61.90
2026-04-22T05:35:00Z,38.00,63.00
2026-04-22T05:36:00Z,38.71,63.12
2026-04-22T05:37:00Z,41.58,61.14
