# event_ticker=KXATPMATCH-25NOV13ALCMUS
# final_score=6-4 6-1
# match_winner=Carlos Alcaraz
# fav_player=Carlos Alcaraz
# dog_player=Lorenzo Musetti
# kalshi_date=2025-11-13
timestamp,Carlos Alcaraz,Lorenzo Musetti
2025-11-13T07:48:00Z,,14.00
2025-11-13T07:50:00Z,87.00,14.00
2025-11-13T07:51:00Z,87.00,14.00
2025-11-13T07:53:00Z,87.00,14.00
2025-11-13T10:02:00Z,87.00,14.00
2025-11-13T10:04:00Z,87.00,14.00
2025-11-13T10:05:00Z,87.00,14.00
2025-11-13T10:06:00Z,87.00,14.00
2025-11-13T10:20:00Z,87.00,14.00
2025-11-13T10:21:00Z,87.00,14.00
2025-11-13T10:23:00Z,87.00,14.00
2025-11-13T10:28:00Z,87.00,14.00
2025-11-13T10:33:00Z,87.00,14.00
2025-11-13T10:36:00Z,87.00,14.00
2025-11-13T10:37:00Z,87.00,14.00
2025-11-13T10:40:00Z,87.00,14.00
2025-11-13T10:42:00Z,87.00,14.00
2025-11-13T10:47:00Z,87.00,14.00
2025-11-13T10:51:00Z,87.00,14.00
2025-11-13T10:59:00Z,87.00,14.00
2025-11-13T11:05:00Z,87.00,14.00
2025-11-13T11:10:00Z,87.00,14.00
2025-11-13T11:13:00Z,87.00,14.00
2025-11-13T11:17:00Z,87.00,14.00
2025-11-13T11:21:00Z,87.00,14.00
2025-11-13T11:23:00Z,87.00,14.00
2025-11-13T11:38:00Z,87.00,14.00
2025-11-13T11:41:00Z,87.00,14.00
2025-11-13T11:44:00Z,87.00,14.00
2025-11-13T11:45:00Z,86.50,14.00
2025-11-13T11:46:00Z,86.50,14.00
2025-11-13T11:48:00Z,87.00,14.00
2025-11-13T11:50:00Z,87.00,14.00
2025-11-13T11:57:00Z,87.00,14.00
2025-11-13T12:03:00Z,87.00,14.00
2025-11-13T12:06:00Z,87.00,14.00
2025-11-13T12:08:00Z,87.00,14.00
2025-11-13T12:09:00Z,87.00,14.00
2025-11-13T12:11:00Z,87.00,14.00
2025-11-13T12:13:00Z,87.00,14.00
2025-11-13T12:15:00Z,87.00,14.00
2025-11-13T12:17:00Z,87.00,14.00
2025-11-13T12:19:00Z,87.00,14.00
2025-11-13T12:22:00Z,87.00,14.00
2025-11-13T12:30:00Z,87.00,14.00
2025-11-13T12:31:00Z,87.00,14.00
2025-11-13T12:33:00Z,87.00,14.00
2025-11-13T12:34:00Z,87.00,14.00
2025-11-13T12:35:00Z,87.00,14.00
2025-11-13T12:36:00Z,86.00,14.00
2025-11-13T12:39:00Z,87.00,14.00
2025-11-13T12:40:00Z,87.00,14.00
2025-11-13T12:42:00Z,87.00,14.00
