# event_ticker=KXATPMATCH-25OCT15NAKMAR
# final_score=7-6(5) 6-1
# score_resolution=6-7 1-6
# match_winner=Fabian Marozsan
# fav_player=Brandon Nakashima
# dog_player=Fabian Marozsan
# kalshi_date=2025-10-15
timestamp,Brandon Nakashima,Fabian Marozsan
2025-10-15T04:50:00Z,60.00,
2025-10-15T04:51:00Z,60.00,39.00
2025-10-15T05:26:00Z,60.00,40.00
2025-10-15T05:30:00Z,61.00,40.00
2025-10-15T05:36:00Z,61.00,40.00
2025-10-15T05:39:00Z,61.00,39.00
2025-10-15T05:40:00Z,61.00,40.00
2025-10-15T05:43:00Z,61.00,40.00
2025-10-15T06:03:00Z,61.00,40.00
2025-10-15T06:08:00Z,61.00,40.00
2025-10-15T07:27:00Z,61.00,40.00
2025-10-15T07:28:00Z,61.00,40.00
2025-10-15T08:05:00Z,61.00,40.00
2025-10-15T09:01:00Z,61.00,39.00
2025-10-15T09:32:00Z,61.00,39.00
2025-10-15T10:12:00Z,61.00,39.00
2025-10-15T10:28:00Z,61.00,40.00
2025-10-15T10:38:00Z,61.00,40.00
2025-10-15T10:44:00Z,61.00,40.00
2025-10-15T10:47:00Z,61.00,40.00
2025-10-15T10:57:00Z,61.00,40.00
2025-10-15T11:17:00Z,62.00,38.00
2025-10-15T11:28:00Z,62.00,38.00
2025-10-15T11:33:00Z,62.00,39.00
2025-10-15T11:34:00Z,62.00,39.00
2025-10-15T11:44:00Z,62.00,39.00
2025-10-15T12:09:00Z,62.00,39.00
2025-10-15T12:11:00Z,62.00,39.00
2025-10-15T12:12:00Z,62.00,37.79
2025-10-15T12:20:00Z,62.00,38.00
2025-10-15T12:32:00Z,62.00,38.00
2025-10-15T12:53:00Z,62.00,38.00
2025-10-15T12:58:00Z,62.00,38.00
2025-10-15T13:03:00Z,62.00,39.00
2025-10-15T13:07:00Z,62.00,39.00
2025-10-15T13:08:00Z,62.00,39.00
2025-10-15T13:10:00Z,62.00,39.00
2025-10-15T13:14:00Z,62.00,39.00
2025-10-15T13:15:00Z,62.00,39.00
2025-10-15T13:18:00Z,62.00,39.00
2025-10-15T13:19:00Z,63.00,39.00
2025-10-15T13:20:00Z,63.00,39.00
2025-10-15T13:21:00Z,63.00,39.00
2025-10-15T13:22:00Z,63.00,39.00
2025-10-15T13:25:00Z,63.00,39.00
2025-10-15T13:26:00Z,63.00,39.00
2025-10-15T13:28:00Z,63.00,39.00
2025-10-15T13:29:00Z,63.00,38.00
2025-10-15T13:31:00Z,63.00,38.00
2025-10-15T13:33:00Z,63.00,38.00
2025-10-15T13:34:00Z,63.00,38.00
2025-10-15T13:39:00Z,62.68,39.53
2025-10-15T13:40:00Z,62.68,39.00
2025-10-15T13:41:00Z,62.68,39.00
2025-10-15T13:42:00Z,62.00,39.00
2025-10-15T13:45:00Z,62.00,39.00
2025-10-15T13:47:00Z,62.00,39.00
2025-10-15T13:48:00Z,62.00,39.00
2025-10-15T13:51:00Z,62.00,39.00
2025-10-15T13:52:00Z,62.00,39.00
2025-10-15T13:55:00Z,62.00,39.00
2025-10-15T13:56:00Z,62.00,39.00
2025-10-15T13:57:00Z,62.00,39.00
2025-10-15T13:58:00Z,62.00,39.00
2025-10-15T13:59:00Z,62.00,39.00
2025-10-15T14:01:00Z,63.00,39.00
2025-10-15T14:04:00Z,63.00,39.00
2025-10-15T14:05:00Z,63.00,39.00
2025-10-15T14:06:00Z,63.00,39.00
2025-10-15T14:07:00Z,63.00,38.68
2025-10-15T14:08:00Z,63.00,39.00
2025-10-15T14:09:00Z,63.00,39.34
2025-10-15T14:10:00Z,63.00,39.34
2025-10-15T14:11:00Z,63.63,39.34
2025-10-15T14:12:00Z,66.00,36.95
2025-10-15T14:13:00Z,64.02,37.29
2025-10-15T14:14:00Z,62.02,38.00
2025-10-15T14:15:00Z,64.39,37.30
2025-10-15T14:16:00Z,64.49,39.00
2025-10-15T14:17:00Z,70.06,35.70
2025-10-15T14:18:00Z,69.81,35.70
2025-10-15T14:19:00Z,65.19,34.06
2025-10-15T14:20:00Z,65.41,35.71
2025-10-15T14:21:00Z,65.75,37.00
2025-10-15T14:22:00Z,65.34,37.00
2025-10-15T14:23:00Z,64.52,40.31
2025-10-15T14:24:00Z,59.72,42.23
2025-10-15T14:25:00Z,59.44,44.89
2025-10-15T14:26:00Z,55.51,43.73
2025-10-15T14:27:00Z,62.70,38.00
2025-10-15T14:28:00Z,64.00,38.00
2025-10-15T14:29:00Z,66.48,38.00
2025-10-15T14:30:00Z,61.05,38.00
2025-10-15T14:31:00Z,59.00,41.00
2025-10-15T14:32:00Z,63.44,41.00
2025-10-15T14:33:00Z,64.67,38.40
2025-10-15T14:34:00Z,63.00,38.40
2025-10-15T14:35:00Z,63.01,37.06
2025-10-15T14:36:00Z,63.84,37.00
2025-10-15T14:37:00Z,62.21,38.99
2025-10-15T14:38:00Z,62.13,38.60
2025-10-15T14:39:00Z,62.88,38.60
2025-10-15T14:40:00Z,62.33,38.60
2025-10-15T14:41:00Z,59.57,43.14
2025-10-15T14:42:00Z,58.69,42.96
2025-10-15T14:43:00Z,60.00,42.96
2025-10-15T14:44:00Z,60.01,41.00
2025-10-15T14:45:00Z,60.64,42.00
2025-10-15T14:46:00Z,60.66,39.79
2025-10-15T14:47:00Z,62.46,39.76
2025-10-15T14:48:00Z,60.53,40.34
2025-10-15T14:49:00Z,62.04,39.00
