# event_ticker=KXATPCHALLENGERMATCH-26APR28VUKGIR
# final_score=6-4 1-6 6-1
# score_resolution=4-6 6-1 1-6
# match_winner=Marcos Giron
# fav_player=Aleksandar Vukic
# dog_player=Marcos Giron
# kalshi_date=2026-04-28
timestamp,Aleksandar Vukic,Marcos Giron
2026-04-27T23:59:00Z,,71.00
2026-04-28T00:13:00Z,32.00,71.00
2026-04-28T00:37:00Z,31.00,71.00
2026-04-28T00:38:00Z,31.00,71.00
2026-04-28T00:41:00Z,31.00,71.00
2026-04-28T01:35:00Z,31.00,70.00
2026-04-28T02:29:00Z,30.00,70.00
2026-04-28T02:41:00Z,30.00,70.00
2026-04-28T03:15:00Z,30.00,68.00
2026-04-28T03:18:00Z,30.00,70.00
2026-04-28T04:01:00Z,30.00,70.00
2026-04-28T05:27:00Z,31.00,70.00
2026-04-28T05:58:00Z,31.00,70.00
2026-04-28T06:11:00Z,31.00,70.00
2026-04-28T06:22:00Z,32.00,70.00
2026-04-28T06:57:00Z,32.00,70.00
2026-04-28T08:08:00Z,32.00,70.00
2026-04-28T08:09:00Z,32.00,70.00
2026-04-28T10:15:00Z,32.00,70.00
2026-04-28T10:48:00Z,32.00,70.00
2026-04-28T11:00:00Z,32.00,70.00
2026-04-28T11:19:00Z,31.95,70.00
2026-04-28T11:27:00Z,31.97,70.00
2026-04-28T11:37:00Z,31.97,71.00
2026-04-28T11:43:00Z,32.98,68.75
2026-04-28T11:44:00Z,32.98,67.67
2026-04-28T11:45:00Z,32.98,67.00
2026-04-28T11:47:00Z,34.00,67.28
2026-04-28T11:48:00Z,34.87,65.16
2026-04-28T11:49:00Z,38.00,65.16
2026-04-28T11:50:00Z,43.99,55.79
2026-04-28T11:51:00Z,53.95,48.93
2026-04-28T11:52:00Z,55.00,45.00
2026-04-28T11:53:00Z,54.07,45.10
2026-04-28T11:54:00Z,53.64,46.28
2026-04-28T11:55:00Z,49.27,49.80
2026-04-28T11:56:00Z,49.27,55.00
2026-04-28T11:57:00Z,46.60,52.15
2026-04-28T11:58:00Z,47.01,53.06
2026-04-28T11:59:00Z,51.00,48.00
2026-04-28T12:00:00Z,53.17,46.00
2026-04-28T12:01:00Z,53.17,45.00
2026-04-28T12:02:00Z,56.09,43.18
2026-04-28T12:04:00Z,56.00,43.18
2026-04-28T12:05:00Z,48.00,52.29
2026-04-28T12:06:00Z,40.22,59.48
2026-04-28T12:07:00Z,36.00,65.00
2026-04-28T12:08:00Z,35.36,65.00
2026-04-28T12:09:00Z,35.36,68.00
2026-04-28T12:10:00Z,32.00,70.00
2026-04-28T12:11:00Z,27.10,72.98
2026-04-28T12:12:00Z,26.15,73.64
2026-04-28T12:13:00Z,19.79,78.78
2026-04-28T12:14:00Z,17.18,83.86
2026-04-28T12:16:00Z,12.75,83.86
2026-04-28T12:17:00Z,16.07,84.85
2026-04-28T12:18:00Z,15.68,85.20
2026-04-28T12:19:00Z,12.00,88.05
2026-04-28T12:20:00Z,12.00,88.96
2026-04-28T12:21:00Z,12.00,88.00
2026-04-28T12:22:00Z,12.20,88.84
2026-04-28T12:23:00Z,13.18,87.55
2026-04-28T12:24:00Z,13.84,87.00
2026-04-28T12:25:00Z,13.96,87.00
2026-04-28T12:26:00Z,14.79,85.18
2026-04-28T12:27:00Z,16.78,84.42
2026-04-28T12:28:00Z,16.88,83.11
2026-04-28T12:29:00Z,16.00,85.01
2026-04-28T12:30:00Z,16.81,86.00
2026-04-28T12:31:00Z,19.30,83.76
2026-04-28T12:32:00Z,19.30,87.00
2026-04-28T12:33:00Z,13.70,87.00
2026-04-28T12:34:00Z,12.40,87.00
2026-04-28T12:35:00Z,13.00,86.89
2026-04-28T12:36:00Z,14.14,86.89
2026-04-28T12:37:00Z,15.23,86.89
2026-04-28T12:38:00Z,16.00,85.77
2026-04-28T12:39:00Z,17.07,84.45
2026-04-28T12:40:00Z,18.42,81.15
2026-04-28T12:41:00Z,27.10,72.37
2026-04-28T12:42:00Z,29.17,70.42
2026-04-28T12:43:00Z,32.74,68.29
2026-04-28T12:44:00Z,32.98,67.22
2026-04-28T12:45:00Z,34.38,67.81
2026-04-28T12:46:00Z,37.55,62.66
2026-04-28T12:47:00Z,41.10,58.48
2026-04-28T12:48:00Z,43.41,56.52
2026-04-28T12:49:00Z,44.71,55.30
2026-04-28T12:50:00Z,44.89,56.00
2026-04-28T12:51:00Z,46.00,55.00
2026-04-28T12:52:00Z,44.39,55.99
2026-04-28T12:53:00Z,42.08,56.36
2026-04-28T12:54:00Z,38.99,60.78
2026-04-28T12:55:00Z,38.87,60.42
2026-04-28T12:56:00Z,35.98,64.00
2026-04-28T12:57:00Z,30.04,70.76
2026-04-28T12:58:00Z,25.93,75.90
2026-04-28T12:59:00Z,16.18,80.75
2026-04-28T13:00:00Z,19.59,81.58
2026-04-28T13:01:00Z,20.63,82.56
2026-04-28T13:02:00Z,12.15,86.49
2026-04-28T13:03:00Z,10.51,89.61
2026-04-28T13:04:00Z,11.44,89.19
2026-04-28T13:05:00Z,12.23,87.89
2026-04-28T13:06:00Z,13.52,87.99
2026-04-28T13:07:00Z,12.86,89.94
2026-04-28T13:08:00Z,12.17,90.73
2026-04-28T13:09:00Z,13.85,87.22
2026-04-28T13:10:00Z,14.47,85.87
2026-04-28T13:11:00Z,10.19,89.09
2026-04-28T13:12:00Z,9.10,91.08
2026-04-28T13:13:00Z,8.71,91.99
2026-04-28T13:14:00Z,6.91,93.22
2026-04-28T13:15:00Z,4.01,95.72
2026-04-28T13:16:00Z,7.89,94.46
2026-04-28T13:17:00Z,9.11,91.40
2026-04-28T13:18:00Z,6.27,95.16
2026-04-28T13:19:00Z,5.00,95.07
2026-04-28T13:20:00Z,1.67,98.56
2026-04-28T13:21:00Z,1.00,99.00
2026-04-28T13:22:00Z,1.00,99.00
2026-04-28T13:23:00Z,1.00,99.00
2026-04-28T13:25:00Z,1.00,99.00
2026-04-28T13:26:00Z,1.00,99.00
2026-04-28T13:27:00Z,1.00,99.00
2026-04-28T13:28:00Z,1.00,99.00
2026-04-28T13:29:00Z,1.00,99.00
2026-04-28T13:30:00Z,1.00,99.00
2026-04-28T13:31:00Z,1.00,99.00
2026-04-28T13:32:00Z,1.00,99.00
