# event_ticker=KXATPCHALLENGERMATCH-26MAY06HARTEN
# final_score=6-1 6-2
# match_winner=Nick Hardt
# fav_player=Nick Hardt
# dog_player=Fermin Tenti
# kalshi_date=2026-05-06
timestamp,Nick Hardt,Fermin Tenti
2026-05-06T04:54:00Z,85.00,
2026-05-06T05:11:00Z,85.00,
2026-05-06T05:13:00Z,85.00,
2026-05-06T05:17:00Z,85.33,13.90
2026-05-06T05:18:00Z,85.33,13.80
2026-05-06T06:06:00Z,82.07,22.47
2026-05-06T06:07:00Z,82.07,17.04
2026-05-06T06:08:00Z,82.07,11.87
2026-05-06T09:34:00Z,82.07,9.00
2026-05-06T09:55:00Z,82.07,8.00
2026-05-06T10:20:00Z,95.88,8.00
2026-05-06T10:40:00Z,92.00,8.00
2026-05-06T11:24:00Z,92.00,7.00
2026-05-06T12:46:00Z,95.00,7.00
2026-05-06T12:51:00Z,93.00,7.00
2026-05-06T12:57:00Z,95.00,7.00
2026-05-06T13:22:00Z,95.00,7.00
2026-05-06T13:23:00Z,95.00,7.73
2026-05-06T13:32:00Z,95.00,8.00
2026-05-06T13:55:00Z,95.00,8.00
2026-05-06T14:12:00Z,95.00,9.84
2026-05-06T14:13:00Z,95.00,8.00
2026-05-06T14:14:00Z,95.00,7.93
2026-05-06T14:25:00Z,95.00,7.00
2026-05-06T14:35:00Z,95.00,7.26
2026-05-06T14:43:00Z,95.00,7.00
2026-05-06T14:47:00Z,95.00,7.00
2026-05-06T14:50:00Z,95.00,8.51
2026-05-06T14:51:00Z,95.00,8.00
2026-05-06T14:53:00Z,95.00,9.00
2026-05-06T14:56:00Z,93.59,7.62
2026-05-06T14:57:00Z,92.88,8.17
2026-05-06T14:58:00Z,90.05,10.91
2026-05-06T14:59:00Z,91.90,8.66
2026-05-06T15:00:00Z,94.00,6.60
2026-05-06T15:01:00Z,92.92,8.18
2026-05-06T15:02:00Z,90.00,11.26
2026-05-06T15:03:00Z,89.01,12.62
2026-05-06T15:04:00Z,90.19,10.50
2026-05-06T15:05:00Z,91.27,7.24
2026-05-06T15:06:00Z,93.00,7.40
2026-05-06T15:07:00Z,94.00,5.01
2026-05-06T15:08:00Z,94.00,6.26
2026-05-06T15:09:00Z,95.00,6.00
2026-05-06T15:10:00Z,95.00,5.20
2026-05-06T15:11:00Z,96.33,4.42
2026-05-06T15:12:00Z,96.00,4.38
2026-05-06T15:13:00Z,97.00,3.00
2026-05-06T15:15:00Z,97.00,5.08
2026-05-06T15:16:00Z,97.93,2.22
2026-05-06T15:17:00Z,97.93,2.63
2026-05-06T15:18:00Z,98.00,3.00
2026-05-06T15:19:00Z,98.00,2.00
2026-05-06T15:20:00Z,97.92,3.03
2026-05-06T15:21:00Z,98.00,2.20
2026-05-06T15:22:00Z,98.00,3.10
2026-05-06T15:23:00Z,98.00,3.00
2026-05-06T15:24:00Z,98.00,2.30
2026-05-06T15:25:00Z,98.00,2.15
2026-05-06T15:26:00Z,98.00,1.00
2026-05-06T15:27:00Z,98.51,3.00
2026-05-06T15:28:00Z,98.00,3.04
2026-05-06T15:29:00Z,98.00,2.63
2026-05-06T15:30:00Z,99.00,2.00
2026-05-06T15:31:00Z,99.00,2.00
2026-05-06T15:32:00Z,99.00,2.00
2026-05-06T15:33:00Z,99.00,2.59
2026-05-06T15:34:00Z,98.00,3.88
2026-05-06T15:35:00Z,98.29,3.88
2026-05-06T15:36:00Z,98.29,3.00
2026-05-06T15:37:00Z,99.00,2.00
2026-05-06T15:38:00Z,99.00,1.07
2026-05-06T15:39:00Z,99.00,1.00
2026-05-06T15:41:00Z,98.93,1.00
2026-05-06T15:42:00Z,98.93,1.00
2026-05-06T15:44:00Z,99.00,1.00
2026-05-06T15:45:00Z,99.00,1.08
2026-05-06T15:46:00Z,99.00,2.00
2026-05-06T15:47:00Z,99.00,1.94
2026-05-06T15:48:00Z,99.00,1.49
2026-05-06T15:50:00Z,99.00,1.82
2026-05-06T15:51:00Z,98.74,1.14
2026-05-06T15:52:00Z,98.74,1.88
2026-05-06T15:53:00Z,99.00,2.41
2026-05-06T15:54:00Z,99.00,1.07
2026-05-06T15:55:00Z,99.00,1.67
2026-05-06T15:56:00Z,99.00,2.86
2026-05-06T15:57:00Z,99.00,2.00
2026-05-06T15:58:00Z,99.00,2.16
2026-05-06T15:59:00Z,99.00,1.93
2026-05-06T16:00:00Z,99.00,2.15
2026-05-06T16:01:00Z,99.00,1.73
2026-05-06T16:02:00Z,99.00,1.00
2026-05-06T16:03:00Z,99.00,1.79
2026-05-06T16:04:00Z,99.00,2.00
2026-05-06T16:06:00Z,99.00,1.31
2026-05-06T16:07:00Z,99.00,1.62
2026-05-06T16:09:00Z,99.00,1.00
2026-05-06T16:10:00Z,99.00,1.00
2026-05-06T16:11:00Z,99.00,1.00
2026-05-06T16:12:00Z,99.00,1.00
2026-05-06T16:14:00Z,99.00,1.00
