# event_ticker=KXATPMATCH-25OCT01NISSHE
# final_score=6-1 6-2
# match_winner=Yoshihito Nishioka
# fav_player=Yoshihito Nishioka
# dog_player=Alexander Shevchenko
# kalshi_date=2025-10-01
timestamp,Yoshihito Nishioka,Alexander Shevchenko
2025-09-30T21:16:00Z,65.00,45.00
2025-09-30T21:38:00Z,60.00,45.00
2025-09-30T21:48:00Z,60.00,45.00
2025-09-30T22:07:00Z,60.00,45.00
2025-09-30T22:13:00Z,60.00,45.00
2025-09-30T23:28:00Z,60.00,42.00
2025-09-30T23:29:00Z,59.00,42.00
2025-09-30T23:30:00Z,59.00,42.00
2025-09-30T23:31:00Z,59.00,42.00
2025-10-01T00:05:00Z,59.00,42.00
2025-10-01T00:06:00Z,59.00,42.00
2025-10-01T00:12:00Z,59.00,42.00
2025-10-01T00:13:00Z,59.00,42.00
2025-10-01T00:23:00Z,60.00,42.00
2025-10-01T00:24:00Z,60.00,41.00
2025-10-01T00:25:00Z,60.00,41.00
2025-10-01T00:26:00Z,60.00,41.00
2025-10-01T00:35:00Z,60.00,41.00
2025-10-01T00:38:00Z,60.00,41.00
2025-10-01T00:54:00Z,60.00,41.00
2025-10-01T00:59:00Z,60.00,41.00
2025-10-01T01:17:00Z,60.00,41.00
2025-10-01T01:20:00Z,60.00,41.00
2025-10-01T01:37:00Z,60.00,41.00
2025-10-01T01:49:00Z,60.00,41.00
2025-10-01T02:00:00Z,60.00,41.00
2025-10-01T02:21:00Z,60.00,41.00
2025-10-01T02:25:00Z,60.00,41.00
2025-10-01T02:26:00Z,60.00,41.00
2025-10-01T02:35:00Z,60.00,41.00
2025-10-01T02:40:00Z,60.00,41.87
2025-10-01T02:45:00Z,60.00,41.87
2025-10-01T02:48:00Z,60.00,41.87
2025-10-01T02:50:00Z,60.00,41.87
2025-10-01T02:51:00Z,60.00,41.87
2025-10-01T03:03:00Z,60.00,41.87
2025-10-01T03:07:00Z,60.00,41.87
2025-10-01T03:09:00Z,60.00,41.87
2025-10-01T03:17:00Z,60.00,41.87
2025-10-01T03:20:00Z,60.00,41.87
2025-10-01T03:30:00Z,60.00,42.00
2025-10-01T03:34:00Z,59.69,42.00
2025-10-01T03:39:00Z,60.00,42.00
2025-10-01T03:48:00Z,59.47,42.00
2025-10-01T03:51:00Z,58.00,42.00
