# event_ticker=KXATPMATCH-26FEB09PELETC
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Andrea Pellegrino
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2026-02-09
timestamp,Andrea Pellegrino,Tomas Martin Etcheverry
2026-02-09T11:50:00Z,,78.00
2026-02-09T12:06:00Z,,78.00
2026-02-09T12:14:00Z,22.00,78.00
2026-02-09T14:01:00Z,22.00,80.00
2026-02-09T14:02:00Z,22.00,80.00
2026-02-09T14:14:00Z,22.00,80.00
2026-02-09T14:37:00Z,22.00,80.00
2026-02-09T14:49:00Z,22.00,80.00
2026-02-09T14:50:00Z,22.00,80.97
2026-02-09T15:09:00Z,22.00,80.00
2026-02-09T15:19:00Z,22.00,80.00
2026-02-09T15:30:00Z,22.00,80.00
2026-02-09T15:57:00Z,22.00,80.00
2026-02-09T16:17:00Z,21.00,80.00
2026-02-09T16:18:00Z,21.00,80.00
2026-02-09T17:00:00Z,21.00,80.00
2026-02-09T17:02:00Z,21.00,80.00
2026-02-09T17:53:00Z,20.00,80.00
2026-02-09T17:54:00Z,20.00,81.00
2026-02-09T17:58:00Z,20.00,81.00
2026-02-09T18:06:00Z,20.00,81.00
2026-02-09T18:23:00Z,20.00,81.00
2026-02-09T18:27:00Z,20.00,81.00
2026-02-09T18:29:00Z,20.00,81.00
2026-02-09T18:32:00Z,20.00,81.00
2026-02-09T18:39:00Z,20.00,81.00
2026-02-09T18:53:00Z,20.00,80.00
2026-02-09T18:54:00Z,20.00,80.00
2026-02-09T18:55:00Z,19.00,80.00
2026-02-09T19:13:00Z,20.00,80.00
2026-02-09T19:16:00Z,20.00,81.00
2026-02-09T19:17:00Z,20.00,81.00
2026-02-09T19:18:00Z,20.00,81.00
2026-02-09T19:23:00Z,20.00,81.00
2026-02-09T19:25:00Z,20.00,81.00
2026-02-09T19:26:00Z,20.00,81.00
2026-02-09T19:29:00Z,19.66,81.00
2026-02-09T19:31:00Z,20.00,81.00
2026-02-09T19:33:00Z,20.00,81.00
2026-02-09T19:34:00Z,19.13,81.00
2026-02-09T19:37:00Z,19.13,81.00
2026-02-09T19:39:00Z,19.13,81.00
2026-02-09T19:41:00Z,19.13,81.00
2026-02-09T19:43:00Z,20.00,81.00
2026-02-09T19:48:00Z,20.00,81.00
2026-02-09T19:58:00Z,20.00,81.00
2026-02-09T20:09:00Z,20.00,81.00
2026-02-09T20:12:00Z,20.00,81.00
2026-02-09T20:13:00Z,20.00,81.00
2026-02-09T20:14:00Z,20.00,81.00
2026-02-09T20:15:00Z,20.00,81.00
2026-02-09T20:19:00Z,20.00,81.00
2026-02-09T20:24:00Z,20.00,81.00
2026-02-09T20:25:00Z,20.00,81.00
