# event_ticker=KXATPMATCH-26JAN13MACHAL
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Tomas Machac
# fav_player=Quentin Halys
# dog_player=Tomas Machac
# kalshi_date=2026-01-13
timestamp,Quentin Halys,Tomas Machac
2026-01-13T15:52:00Z,,64.00
2026-01-13T17:44:00Z,,62.00
2026-01-13T17:56:00Z,,62.00
2026-01-13T18:41:00Z,41.00,62.00
2026-01-13T19:39:00Z,38.00,62.00
2026-01-13T20:15:00Z,38.00,62.00
2026-01-13T21:34:00Z,38.00,61.00
2026-01-13T21:49:00Z,38.00,61.00
2026-01-13T22:23:00Z,38.00,60.00
2026-01-13T23:48:00Z,38.00,60.61
2026-01-13T23:49:00Z,40.00,60.61
2026-01-13T23:53:00Z,40.00,60.61
2026-01-14T00:20:00Z,40.00,61.00
2026-01-14T00:40:00Z,40.00,61.00
2026-01-14T01:40:00Z,40.00,62.00
2026-01-14T01:51:00Z,40.00,62.00
2026-01-14T02:05:00Z,40.00,62.00
2026-01-14T02:19:00Z,40.00,62.00
2026-01-14T02:25:00Z,40.00,62.00
2026-01-14T02:28:00Z,40.00,62.00
2026-01-14T02:30:00Z,40.00,59.35
2026-01-14T02:34:00Z,40.00,63.00
2026-01-14T02:35:00Z,34.00,65.00
2026-01-14T02:36:00Z,34.00,67.00
2026-01-14T02:37:00Z,22.31,75.97
2026-01-14T02:39:00Z,23.00,75.97
2026-01-14T02:41:00Z,22.00,75.97
2026-01-14T02:42:00Z,23.00,75.97
2026-01-14T02:46:00Z,26.00,75.97
2026-01-14T02:48:00Z,26.00,81.00
2026-01-14T02:51:00Z,23.00,81.00
2026-01-14T02:53:00Z,21.00,81.00
2026-01-14T02:54:00Z,21.00,81.00
2026-01-14T02:57:00Z,18.00,81.00
2026-01-14T02:58:00Z,16.85,81.00
2026-01-14T03:01:00Z,20.00,81.00
2026-01-14T03:02:00Z,20.00,85.00
2026-01-14T03:03:00Z,20.00,80.00
2026-01-14T03:04:00Z,20.00,87.43
2026-01-14T03:05:00Z,20.00,81.00
2026-01-14T03:06:00Z,19.00,83.00
2026-01-14T03:08:00Z,15.00,83.00
2026-01-14T03:09:00Z,19.00,86.00
2026-01-14T03:10:00Z,16.00,84.00
2026-01-14T03:11:00Z,16.00,86.86
2026-01-14T03:12:00Z,7.64,91.95
2026-01-14T03:13:00Z,7.19,94.00
2026-01-14T03:14:00Z,11.00,91.00
2026-01-14T03:15:00Z,8.00,94.00
2026-01-14T03:16:00Z,7.03,94.00
2026-01-14T03:17:00Z,7.28,94.00
2026-01-14T03:18:00Z,7.28,93.10
2026-01-14T03:19:00Z,7.28,95.00
2026-01-14T03:21:00Z,7.00,95.00
2026-01-14T03:22:00Z,7.18,91.60
2026-01-14T03:24:00Z,7.18,94.02
2026-01-14T03:25:00Z,5.00,94.02
2026-01-14T03:26:00Z,8.92,93.85
2026-01-14T03:27:00Z,6.15,93.85
2026-01-14T03:28:00Z,4.99,93.85
2026-01-14T03:29:00Z,4.04,96.00
2026-01-14T03:30:00Z,1.79,98.87
2026-01-14T03:31:00Z,6.00,98.87
2026-01-14T03:33:00Z,6.00,99.00
2026-01-14T03:34:00Z,2.58,98.00
2026-01-14T03:35:00Z,3.00,99.00
2026-01-14T03:36:00Z,5.19,94.03
2026-01-14T03:37:00Z,5.28,95.08
2026-01-14T03:38:00Z,5.00,95.08
2026-01-14T03:39:00Z,1.00,95.08
2026-01-14T03:42:00Z,3.00,95.08
2026-01-14T03:44:00Z,1.00,95.08
2026-01-14T03:45:00Z,1.00,99.00
2026-01-14T03:57:00Z,1.00,99.00
2026-01-14T04:02:00Z,1.00,99.00
2026-01-14T04:10:00Z,1.00,99.00
