# event_ticker=KXATPCHALLENGERMATCH-26APR30SHISMI
# final_score=5-7 6-0 6-3
# match_winner=Keegan Smith
# fav_player=Keegan Smith
# dog_player=Sho Shimabukuro
# kalshi_date=2026-04-30
timestamp,Sho Shimabukuro,Keegan Smith
2026-04-29T20:42:00Z,,27.00
2026-04-29T21:13:00Z,75.56,27.00
2026-04-29T21:53:00Z,76.00,27.00
2026-04-29T23:07:00Z,75.00,27.00
2026-04-29T23:32:00Z,75.00,27.00
2026-04-30T00:19:00Z,75.00,27.00
2026-04-30T00:21:00Z,75.00,27.00
2026-04-30T00:59:00Z,70.39,30.09
2026-04-30T01:00:00Z,71.02,29.00
2026-04-30T01:01:00Z,71.02,26.92
2026-04-30T01:05:00Z,74.00,26.92
2026-04-30T01:07:00Z,74.00,26.92
2026-04-30T01:12:00Z,74.00,24.00
2026-04-30T01:21:00Z,74.00,24.00
2026-04-30T01:46:00Z,74.00,23.00
2026-04-30T01:54:00Z,77.00,23.00
2026-04-30T02:16:00Z,78.00,23.00
2026-04-30T02:18:00Z,78.00,23.00
2026-04-30T02:27:00Z,78.00,23.00
2026-04-30T02:38:00Z,78.00,23.00
2026-04-30T03:05:00Z,78.00,23.00
2026-04-30T03:07:00Z,77.00,23.00
2026-04-30T03:20:00Z,78.00,23.00
2026-04-30T04:10:00Z,78.00,23.00
2026-04-30T04:18:00Z,77.00,23.00
2026-04-30T04:35:00Z,77.00,23.00
2026-04-30T04:55:00Z,77.00,23.00
2026-04-30T04:56:00Z,78.00,23.00
2026-04-30T04:57:00Z,78.00,23.00
2026-04-30T05:04:00Z,77.00,23.00
2026-04-30T05:12:00Z,78.00,23.00
2026-04-30T05:13:00Z,78.72,23.00
2026-04-30T05:24:00Z,78.72,22.00
2026-04-30T05:25:00Z,80.00,22.00
2026-04-30T05:26:00Z,79.00,22.00
2026-04-30T05:27:00Z,79.00,22.00
2026-04-30T05:32:00Z,79.00,21.00
2026-04-30T05:46:00Z,79.92,21.00
2026-04-30T06:02:00Z,80.00,21.00
2026-04-30T06:25:00Z,80.00,22.00
2026-04-30T06:30:00Z,80.00,22.00
2026-04-30T06:34:00Z,80.00,22.00
2026-04-30T06:38:00Z,80.00,22.00
2026-04-30T06:40:00Z,80.00,22.00
2026-04-30T06:52:00Z,80.00,22.11
2026-04-30T06:55:00Z,80.00,22.11
2026-04-30T06:57:00Z,80.00,22.11
2026-04-30T06:59:00Z,80.00,22.00
2026-04-30T09:01:00Z,87.76,15.29
2026-04-30T09:02:00Z,87.76,16.56
2026-04-30T09:03:00Z,88.90,13.08
2026-04-30T09:04:00Z,88.98,13.82
2026-04-30T09:05:00Z,88.98,14.00
2026-04-30T09:06:00Z,88.98,15.95
2026-04-30T09:07:00Z,82.11,21.82
2026-04-30T09:08:00Z,80.51,22.77
2026-04-30T09:09:00Z,80.43,22.27
2026-04-30T09:10:00Z,80.43,20.35
2026-04-30T09:11:00Z,76.97,25.24
2026-04-30T09:12:00Z,80.00,22.80
2026-04-30T09:13:00Z,83.00,17.73
2026-04-30T09:14:00Z,76.75,22.69
2026-04-30T09:15:00Z,72.24,29.02
2026-04-30T09:16:00Z,75.99,25.82
2026-04-30T09:17:00Z,71.31,29.97
2026-04-30T09:18:00Z,70.00,32.16
2026-04-30T09:19:00Z,68.24,35.70
2026-04-30T09:20:00Z,63.84,37.33
2026-04-30T09:21:00Z,61.10,40.20
2026-04-30T09:22:00Z,56.91,43.04
2026-04-30T09:23:00Z,56.00,45.72
2026-04-30T09:24:00Z,57.00,45.47
2026-04-30T09:25:00Z,55.33,46.00
2026-04-30T09:26:00Z,52.96,49.15
2026-04-30T09:27:00Z,51.00,50.15
2026-04-30T09:28:00Z,51.99,50.14
2026-04-30T09:29:00Z,52.00,49.69
2026-04-30T09:30:00Z,56.10,47.35
2026-04-30T09:31:00Z,51.05,52.28
2026-04-30T09:32:00Z,48.37,54.00
2026-04-30T09:33:00Z,49.18,53.24
2026-04-30T09:34:00Z,46.90,51.87
2026-04-30T09:35:00Z,38.99,64.87
2026-04-30T09:36:00Z,33.96,64.65
2026-04-30T09:37:00Z,36.78,67.56
2026-04-30T09:38:00Z,39.65,57.74
2026-04-30T09:39:00Z,46.95,52.34
2026-04-30T09:40:00Z,47.24,52.14
2026-04-30T09:41:00Z,43.00,55.05
2026-04-30T09:42:00Z,44.81,55.74
2026-04-30T09:43:00Z,48.67,50.42
2026-04-30T09:44:00Z,50.88,51.65
2026-04-30T09:45:00Z,45.20,55.92
2026-04-30T09:46:00Z,44.98,56.19
2026-04-30T09:47:00Z,36.74,65.98
2026-04-30T09:48:00Z,35.61,68.67
2026-04-30T09:49:00Z,9.68,86.84
2026-04-30T09:50:00Z,14.69,88.16
2026-04-30T09:51:00Z,6.08,94.97
2026-04-30T09:52:00Z,5.46,94.10
2026-04-30T09:53:00Z,6.01,93.63
2026-04-30T09:54:00Z,7.59,92.18
2026-04-30T09:55:00Z,7.14,92.00
2026-04-30T09:56:00Z,5.19,96.09
2026-04-30T09:57:00Z,5.60,97.88
2026-04-30T09:58:00Z,1.08,98.96
2026-04-30T09:59:00Z,1.08,99.00
2026-04-30T10:00:00Z,1.08,99.00
2026-04-30T10:01:00Z,1.08,99.00
2026-04-30T10:02:00Z,1.08,99.00
2026-04-30T10:03:00Z,1.08,99.00
