# event_ticker=KXATPMATCH-25JUL31BORRUU
# final_score=7-5 6-4
# match_winner=Casper Ruud
# fav_player=Casper Ruud
# dog_player=Nuno Borges
# kalshi_date=2025-07-31
timestamp,Casper Ruud,Nuno Borges
2025-07-31T12:15:00Z,,36.00
2025-07-31T12:23:00Z,65.00,36.00
2025-07-31T12:27:00Z,64.00,36.00
2025-07-31T12:31:00Z,64.00,36.00
2025-07-31T12:32:00Z,65.00,36.00
2025-07-31T12:35:00Z,65.00,36.00
2025-07-31T12:36:00Z,65.00,37.00
2025-07-31T12:52:00Z,64.00,37.00
2025-07-31T12:56:00Z,64.00,37.00
2025-07-31T12:57:00Z,65.00,37.00
2025-07-31T13:06:00Z,65.00,38.00
2025-07-31T13:15:00Z,64.00,38.00
2025-07-31T13:31:00Z,64.00,38.00
2025-07-31T13:34:00Z,64.00,38.00
2025-07-31T13:36:00Z,64.00,38.00
2025-07-31T14:05:00Z,64.00,38.00
2025-07-31T14:09:00Z,64.00,38.00
2025-07-31T14:21:00Z,64.00,38.00
2025-07-31T14:27:00Z,64.00,38.00
2025-07-31T14:33:00Z,64.00,38.00
2025-07-31T14:42:00Z,64.00,38.00
2025-07-31T14:46:00Z,64.00,38.00
2025-07-31T14:53:00Z,64.00,38.00
2025-07-31T15:13:00Z,63.00,38.00
2025-07-31T15:36:00Z,63.00,38.00
2025-07-31T15:40:00Z,63.00,38.00
2025-07-31T15:53:00Z,63.00,38.00
2025-07-31T15:55:00Z,63.00,38.00
2025-07-31T15:56:00Z,63.00,38.00
2025-07-31T15:57:00Z,63.00,38.00
2025-07-31T16:14:00Z,63.00,38.00
2025-07-31T16:26:00Z,63.00,38.00
2025-07-31T16:48:00Z,63.08,38.00
2025-07-31T16:53:00Z,64.00,38.00
2025-07-31T17:06:00Z,64.00,38.00
2025-07-31T17:08:00Z,64.00,38.00
2025-07-31T17:15:00Z,64.00,38.00
2025-07-31T17:16:00Z,64.00,38.00
2025-07-31T17:17:00Z,64.00,38.00
2025-07-31T17:20:00Z,64.00,38.00
2025-07-31T17:21:00Z,64.00,38.00
2025-07-31T17:22:00Z,64.00,38.00
2025-07-31T17:25:00Z,64.00,38.00
2025-07-31T17:28:00Z,64.00,38.00
2025-07-31T17:33:00Z,64.00,38.00
2025-07-31T17:34:00Z,64.00,38.00
2025-07-31T17:39:00Z,64.00,38.00
2025-07-31T17:40:00Z,64.00,38.00
2025-07-31T17:42:00Z,64.00,38.00
2025-07-31T17:43:00Z,64.00,38.00
