# event_ticker=KXATPCHALLENGERMATCH-26MAR12BAUROY
# final_score=6-4 7-6(5)
# score_resolution=4-6 6-7
# match_winner=Valentin Royer
# fav_player=Roberto Bautista Agut
# dog_player=Valentin Royer
# kalshi_date=2026-03-12
timestamp,Roberto Bautista Agut,Valentin Royer
2026-03-12T13:11:00Z,56.00,
2026-03-12T15:40:00Z,54.00,
2026-03-12T17:03:00Z,54.00,47.00
2026-03-12T17:21:00Z,54.00,47.00
2026-03-12T18:05:00Z,54.00,47.00
2026-03-12T18:34:00Z,54.00,47.00
2026-03-12T18:37:00Z,54.35,47.00
2026-03-12T18:47:00Z,55.00,47.00
2026-03-12T18:51:00Z,55.00,47.00
2026-03-12T19:26:00Z,55.00,47.00
2026-03-12T19:40:00Z,54.00,47.00
2026-03-12T19:42:00Z,54.00,47.00
2026-03-12T20:01:00Z,55.00,47.00
2026-03-12T20:06:00Z,54.00,47.00
2026-03-12T20:13:00Z,54.00,47.00
2026-03-12T20:19:00Z,53.00,47.00
2026-03-12T20:24:00Z,53.00,47.00
2026-03-12T20:44:00Z,53.00,47.00
2026-03-12T20:47:00Z,52.00,47.00
2026-03-12T20:56:00Z,53.00,47.00
2026-03-12T21:11:00Z,53.00,47.00
2026-03-12T21:16:00Z,53.00,47.00
2026-03-12T21:18:00Z,53.00,47.00
2026-03-12T21:27:00Z,53.00,47.00
2026-03-12T21:30:00Z,53.00,47.00
2026-03-12T21:37:00Z,53.00,47.00
2026-03-12T21:42:00Z,53.00,47.00
2026-03-12T21:44:00Z,53.00,47.00
2026-03-12T21:48:00Z,53.00,47.00
2026-03-12T21:54:00Z,53.00,47.00
2026-03-12T21:58:00Z,53.00,47.00
2026-03-12T22:02:00Z,53.00,47.00
2026-03-12T22:04:00Z,53.00,47.54
2026-03-12T22:10:00Z,53.00,47.54
2026-03-12T22:20:00Z,53.00,50.08
2026-03-12T22:21:00Z,52.00,50.08
2026-03-12T22:24:00Z,52.98,50.08
2026-03-12T22:48:00Z,52.98,53.00
2026-03-12T22:49:00Z,53.00,53.00
2026-03-12T22:57:00Z,53.00,53.00
2026-03-12T23:12:00Z,53.00,53.00
2026-03-12T23:31:00Z,53.00,53.00
2026-03-12T23:35:00Z,51.00,53.00
2026-03-12T23:48:00Z,53.00,53.00
2026-03-12T23:51:00Z,53.00,53.00
2026-03-12T23:54:00Z,53.00,53.00
2026-03-12T23:56:00Z,53.00,49.00
2026-03-13T00:07:00Z,53.00,49.00
2026-03-13T00:14:00Z,54.00,50.00
2026-03-13T00:16:00Z,54.00,49.51
2026-03-13T00:17:00Z,54.00,49.51
2026-03-13T00:18:00Z,54.00,49.51
2026-03-13T00:19:00Z,54.00,49.60
2026-03-13T00:20:00Z,55.91,47.00
2026-03-13T00:21:00Z,58.00,44.00
2026-03-13T00:22:00Z,57.51,44.00
2026-03-13T00:23:00Z,65.00,44.00
2026-03-13T00:24:00Z,67.66,40.38
2026-03-13T00:25:00Z,63.17,40.00
2026-03-13T00:26:00Z,55.65,45.99
2026-03-13T00:27:00Z,51.04,48.14
2026-03-13T00:28:00Z,53.27,48.92
2026-03-13T00:29:00Z,55.10,44.00
2026-03-13T00:30:00Z,57.00,43.00
2026-03-13T00:31:00Z,57.00,44.83
2026-03-13T00:32:00Z,55.00,46.31
2026-03-13T00:33:00Z,53.00,47.91
2026-03-13T00:34:00Z,57.49,46.44
2026-03-13T00:35:00Z,56.85,46.44
2026-03-13T00:36:00Z,56.85,44.00
2026-03-13T00:37:00Z,56.50,45.73
2026-03-13T00:38:00Z,56.91,42.64
2026-03-13T00:39:00Z,57.36,45.00
2026-03-13T00:40:00Z,62.93,39.28
2026-03-13T00:41:00Z,65.13,39.77
2026-03-13T00:42:00Z,62.31,38.55
2026-03-13T00:43:00Z,57.07,45.00
2026-03-13T00:44:00Z,56.00,44.52
2026-03-13T00:45:00Z,58.38,44.36
2026-03-13T00:46:00Z,60.00,42.87
2026-03-13T00:47:00Z,60.00,40.00
2026-03-13T00:48:00Z,60.00,40.00
2026-03-13T00:49:00Z,60.00,43.74
2026-03-13T00:50:00Z,56.72,43.78
2026-03-13T00:51:00Z,58.00,44.57
2026-03-13T00:52:00Z,54.00,45.13
2026-03-13T00:53:00Z,49.93,48.73
2026-03-13T00:54:00Z,56.15,45.00
2026-03-13T00:55:00Z,47.94,49.76
2026-03-13T00:56:00Z,36.86,60.37
2026-03-13T00:57:00Z,32.34,67.45
2026-03-13T00:58:00Z,32.13,68.17
2026-03-13T00:59:00Z,28.49,71.90
2026-03-13T01:00:00Z,26.45,73.24
2026-03-13T01:01:00Z,26.04,75.00
2026-03-13T01:02:00Z,26.26,74.38
2026-03-13T01:03:00Z,22.10,82.07
2026-03-13T01:04:00Z,17.86,84.25
2026-03-13T01:05:00Z,11.33,88.96
2026-03-13T01:06:00Z,7.18,90.98
2026-03-13T01:07:00Z,10.57,91.00
2026-03-13T01:08:00Z,9.00,90.05
2026-03-13T01:09:00Z,10.08,89.47
