# event_ticker=KXATPMATCH-25JUL29OPEMAC
# final_score=7-6(5) 6-7(5) 6-3
# score_resolution=7-6 6-7 6-3
# match_winner=Reilly Opelka
# fav_player=Reilly Opelka
# dog_player=Tomas Machac
# kalshi_date=2025-07-29
timestamp,Reilly Opelka,Tomas Machac
2025-07-29T12:30:00Z,,61.00
2025-07-29T12:50:00Z,43.10,61.00
2025-07-29T14:35:00Z,43.10,61.00
2025-07-29T15:07:00Z,42.00,61.00
2025-07-29T15:09:00Z,42.00,61.00
2025-07-29T15:18:00Z,42.00,61.00
2025-07-29T15:20:00Z,42.00,60.00
2025-07-29T16:38:00Z,40.00,60.00
2025-07-29T16:43:00Z,40.00,60.00
2025-07-29T17:03:00Z,40.00,58.00
2025-07-29T17:29:00Z,41.00,58.00
2025-07-29T17:42:00Z,41.00,58.09
2025-07-29T17:50:00Z,41.00,58.09
2025-07-29T19:07:00Z,41.00,62.00
2025-07-29T19:21:00Z,40.00,62.00
2025-07-29T19:34:00Z,40.00,62.00
2025-07-29T19:47:00Z,40.00,62.00
2025-07-29T20:00:00Z,40.00,62.00
2025-07-29T20:06:00Z,40.00,62.00
2025-07-29T20:07:00Z,40.00,61.08
2025-07-29T20:16:00Z,40.00,61.08
2025-07-29T20:33:00Z,40.00,61.08
2025-07-29T20:47:00Z,40.00,61.08
2025-07-29T20:59:00Z,40.60,61.08
2025-07-29T21:07:00Z,41.00,61.08
2025-07-29T21:08:00Z,41.00,60.00
2025-07-29T21:11:00Z,41.00,60.00
2025-07-29T21:15:00Z,41.00,60.43
2025-07-29T21:20:00Z,41.00,60.43
2025-07-29T21:22:00Z,39.00,60.43
2025-07-29T21:24:00Z,41.00,60.43
2025-07-29T21:26:00Z,41.00,61.00
2025-07-29T21:28:00Z,41.00,61.00
2025-07-29T21:31:00Z,41.00,61.00
2025-07-29T21:34:00Z,41.00,61.00
2025-07-29T21:35:00Z,41.00,61.00
2025-07-29T21:37:00Z,41.00,61.00
2025-07-29T21:38:00Z,41.00,61.00
2025-07-29T21:45:00Z,40.00,61.00
2025-07-29T21:46:00Z,40.00,61.00
2025-07-29T21:52:00Z,40.00,61.00
