timestamp,Belle Thompson,Gabriela maria Vancea
2026-06-22T13:28:00Z,85.00,
2026-06-22T18:36:00Z,85.00,11.00
2026-06-22T18:37:00Z,85.00,8.00
2026-06-22T18:38:00Z,86.18,12.47
2026-06-22T18:39:00Z,86.18,8.86
2026-06-22T18:40:00Z,86.18,8.00
2026-06-22T18:41:00Z,86.18,8.78
2026-06-22T18:42:00Z,94.00,8.03
2026-06-22T18:43:00Z,94.00,7.49
2026-06-22T18:44:00Z,95.00,6.00
2026-06-22T18:45:00Z,94.00,7.00
2026-06-22T18:46:00Z,94.00,7.88
2026-06-22T18:47:00Z,94.00,8.00
2026-06-22T18:48:00Z,94.00,8.81
2026-06-22T18:49:00Z,94.00,7.53
2026-06-22T18:50:00Z,94.00,7.47
2026-06-22T18:51:00Z,94.00,7.25
2026-06-22T18:52:00Z,94.00,8.14
2026-06-22T18:53:00Z,94.00,10.00
2026-06-22T18:54:00Z,94.00,10.39
2026-06-22T18:55:00Z,92.53,9.14
2026-06-22T18:57:00Z,92.53,8.00
2026-06-22T18:58:00Z,92.53,7.30
2026-06-22T18:59:00Z,92.53,9.11
2026-06-22T19:00:00Z,94.00,9.00
2026-06-22T19:01:00Z,94.00,9.11
2026-06-22T19:02:00Z,94.00,10.00
2026-06-22T19:03:00Z,92.91,8.71
2026-06-22T19:04:00Z,92.91,9.97
2026-06-22T19:05:00Z,94.00,8.09
2026-06-22T19:06:00Z,89.33,14.98
2026-06-22T19:07:00Z,89.11,12.67
2026-06-22T19:08:00Z,87.69,14.67
2026-06-22T19:09:00Z,80.49,20.24
2026-06-22T19:10:00Z,78.33,24.49
2026-06-22T19:11:00Z,76.32,25.83
2026-06-22T19:12:00Z,76.00,26.00
2026-06-22T19:13:00Z,73.93,32.17
2026-06-22T19:14:00Z,76.56,25.04
2026-06-22T19:15:00Z,80.84,20.18
2026-06-22T19:16:00Z,76.57,25.16
2026-06-22T19:17:00Z,74.40,26.01
2026-06-22T19:18:00Z,74.51,26.90
2026-06-22T19:19:00Z,72.60,29.66
2026-06-22T19:20:00Z,71.00,31.71
2026-06-22T19:21:00Z,73.14,27.45
2026-06-22T19:22:00Z,74.74,28.59
2026-06-22T19:23:00Z,75.67,24.94
2026-06-22T19:24:00Z,78.15,24.12
2026-06-22T19:25:00Z,82.82,13.30
2026-06-22T19:26:00Z,86.06,18.66
2026-06-22T19:27:00Z,85.99,15.22
2026-06-22T19:28:00Z,80.95,20.09
2026-06-22T19:29:00Z,74.56,28.62
2026-06-22T19:30:00Z,79.98,24.53
2026-06-22T19:31:00Z,87.30,17.40
2026-06-22T19:32:00Z,90.08,10.32
2026-06-22T19:33:00Z,90.39,10.90
2026-06-22T19:34:00Z,89.67,10.38
2026-06-22T19:35:00Z,91.51,10.27
2026-06-22T19:36:00Z,91.62,9.73
2026-06-22T19:37:00Z,93.01,8.86
2026-06-22T19:38:00Z,95.14,6.58
2026-06-22T19:39:00Z,95.91,5.70
2026-06-22T19:40:00Z,96.51,4.62
2026-06-22T19:41:00Z,95.56,7.37
2026-06-22T19:42:00Z,91.18,9.51
2026-06-22T19:43:00Z,90.00,11.20
2026-06-22T19:44:00Z,86.96,13.12
2026-06-22T19:45:00Z,85.03,15.76
2026-06-22T19:46:00Z,78.57,22.55
2026-06-22T19:47:00Z,74.75,27.91
2026-06-22T19:48:00Z,70.48,30.35
2026-06-22T19:49:00Z,75.78,27.08
2026-06-22T19:50:00Z,77.98,19.82
2026-06-22T19:51:00Z,79.07,21.57
2026-06-22T19:52:00Z,80.62,19.79
2026-06-22T19:53:00Z,79.90,24.34
2026-06-22T19:54:00Z,69.86,31.93
2026-06-22T19:55:00Z,68.00,33.43
2026-06-22T19:56:00Z,65.41,37.60
2026-06-22T19:57:00Z,58.94,42.34
2026-06-22T19:58:00Z,58.19,42.94
2026-06-22T19:59:00Z,54.78,45.14
2026-06-22T20:00:00Z,50.08,51.78
2026-06-22T20:01:00Z,47.42,53.35
2026-06-22T20:02:00Z,48.82,51.68
2026-06-22T20:03:00Z,63.39,42.26
2026-06-22T20:04:00Z,68.19,32.64
2026-06-22T20:05:00Z,66.43,35.85
2026-06-22T20:06:00Z,57.34,43.95
2026-06-22T20:07:00Z,49.77,50.32
2026-06-22T20:08:00Z,42.43,58.50
2026-06-22T20:09:00Z,48.24,57.02
2026-06-22T20:10:00Z,59.76,38.19
2026-06-22T20:11:00Z,64.37,39.65
2026-06-22T20:12:00Z,53.73,47.77
2026-06-22T20:13:00Z,53.12,44.23
2026-06-22T20:14:00Z,43.85,56.06
2026-06-22T20:15:00Z,46.66,57.72
2026-06-22T20:16:00Z,51.69,49.71
2026-06-22T20:17:00Z,54.09,47.58
2026-06-22T20:18:00Z,52.67,48.26
2026-06-22T20:19:00Z,54.92,51.20
2026-06-22T20:20:00Z,65.00,37.30
2026-06-22T20:21:00Z,65.20,35.61
2026-06-22T20:22:00Z,60.99,41.66
2026-06-22T20:23:00Z,59.77,40.26
2026-06-22T20:24:00Z,63.75,41.21
2026-06-22T20:25:00Z,75.69,20.83
2026-06-22T20:26:00Z,78.36,25.60
2026-06-22T20:27:00Z,78.09,24.53
2026-06-22T20:28:00Z,71.84,29.77
2026-06-22T20:29:00Z,69.47,34.97
2026-06-22T20:30:00Z,66.56,36.92
2026-06-22T20:31:00Z,80.89,22.54
2026-06-22T20:32:00Z,81.27,19.98
2026-06-22T20:33:00Z,85.74,12.47
2026-06-22T20:34:00Z,86.49,14.75
2026-06-22T20:35:00Z,84.81,18.17
2026-06-22T20:36:00Z,80.74,21.85
2026-06-22T20:37:00Z,79.14,21.04
2026-06-22T20:38:00Z,74.72,27.23
2026-06-22T20:39:00Z,63.94,35.60
2026-06-22T20:40:00Z,82.49,17.38
2026-06-22T20:41:00Z,98.07,6.16
2026-06-22T20:42:00Z,99.00,1.00
