# event_ticker=KXATPMATCH-26MAR09DJOKOV
# final_score=6-4 1-6 6-4
# score_resolution=4-6 6-1 4-6
# match_winner=Novak Djokovic
# fav_player=Aleksandar Kovacevic
# dog_player=Novak Djokovic
# kalshi_date=2026-03-09
timestamp,Aleksandar Kovacevic,Novak Djokovic
2026-03-09T06:21:00Z,,89.00
2026-03-09T06:22:00Z,12.00,89.00
2026-03-09T06:24:00Z,12.00,89.00
2026-03-09T06:25:00Z,11.00,89.00
2026-03-09T06:26:00Z,12.00,89.24
2026-03-09T06:27:00Z,12.00,90.00
2026-03-09T06:29:00Z,12.00,90.00
2026-03-09T06:30:00Z,12.00,90.00
2026-03-09T06:35:00Z,12.00,90.00
2026-03-09T06:36:00Z,12.00,90.00
2026-03-09T06:38:00Z,12.00,90.00
2026-03-09T06:45:00Z,10.14,90.00
2026-03-09T06:46:00Z,10.14,90.00
2026-03-09T06:48:00Z,12.00,90.00
2026-03-09T06:50:00Z,12.00,90.00
2026-03-09T06:51:00Z,11.00,90.00
2026-03-09T06:58:00Z,11.00,90.00
2026-03-09T07:03:00Z,11.00,90.00
2026-03-09T07:04:00Z,11.00,90.00
2026-03-09T07:05:00Z,11.00,90.00
2026-03-09T07:06:00Z,11.00,90.00
2026-03-09T07:07:00Z,11.00,90.00
2026-03-09T07:12:00Z,12.00,90.00
2026-03-09T07:20:00Z,12.00,90.00
2026-03-09T07:21:00Z,12.00,90.00
2026-03-09T07:22:00Z,12.00,90.00
2026-03-09T07:26:00Z,12.00,90.00
2026-03-09T07:32:00Z,12.00,90.00
2026-03-09T07:36:00Z,12.00,90.00
2026-03-09T07:43:00Z,12.00,90.00
2026-03-09T07:51:00Z,12.00,90.00
2026-03-09T07:55:00Z,10.32,90.00
2026-03-09T07:58:00Z,11.00,90.00
2026-03-09T08:11:00Z,11.00,90.00
2026-03-09T08:15:00Z,11.00,90.00
2026-03-09T08:22:00Z,11.00,90.00
2026-03-09T08:25:00Z,11.00,90.00
2026-03-09T08:30:00Z,11.00,90.00
2026-03-09T08:31:00Z,11.00,90.00
2026-03-09T08:39:00Z,11.00,90.00
2026-03-09T08:59:00Z,11.00,90.00
2026-03-09T09:41:00Z,11.00,90.00
2026-03-09T09:42:00Z,11.00,89.00
2026-03-09T09:46:00Z,11.00,89.00
2026-03-09T10:04:00Z,11.00,89.00
2026-03-09T10:11:00Z,11.00,90.00
2026-03-09T10:26:00Z,10.00,90.00
2026-03-09T10:27:00Z,10.00,90.00
2026-03-09T10:32:00Z,10.00,89.07
2026-03-09T10:36:00Z,11.00,89.07
2026-03-09T10:41:00Z,11.00,90.00
2026-03-09T10:45:00Z,11.00,90.00
2026-03-09T10:47:00Z,11.00,90.00
2026-03-09T10:59:00Z,10.00,90.71
2026-03-09T11:03:00Z,10.00,91.00
2026-03-09T11:27:00Z,10.00,91.00
2026-03-09T11:31:00Z,10.00,91.00
2026-03-09T11:32:00Z,10.00,91.00
2026-03-09T11:34:00Z,10.00,91.00
2026-03-09T11:37:00Z,10.00,91.00
2026-03-09T11:40:00Z,10.00,90.00
2026-03-09T12:00:00Z,11.00,90.00
2026-03-09T12:05:00Z,11.00,90.00
2026-03-09T12:07:00Z,11.00,90.00
2026-03-09T12:09:00Z,11.00,90.00
2026-03-09T12:10:00Z,11.00,90.00
2026-03-09T12:14:00Z,11.00,90.00
2026-03-09T12:15:00Z,11.00,90.00
2026-03-09T12:16:00Z,11.00,90.00
2026-03-09T12:18:00Z,11.00,90.00
2026-03-09T12:19:00Z,11.51,90.00
2026-03-09T12:24:00Z,11.51,89.00
2026-03-09T12:26:00Z,11.51,90.00
2026-03-09T12:27:00Z,12.00,90.00
2026-03-09T12:34:00Z,12.00,90.00
2026-03-09T12:36:00Z,10.00,90.00
2026-03-09T12:40:00Z,10.00,90.00
2026-03-09T12:42:00Z,10.00,90.00
2026-03-09T12:43:00Z,10.00,90.04
2026-03-09T12:45:00Z,10.00,90.00
2026-03-09T12:47:00Z,11.43,90.00
2026-03-09T12:52:00Z,11.43,90.00
2026-03-09T12:55:00Z,11.43,90.00
2026-03-09T12:58:00Z,12.00,90.00
2026-03-09T13:01:00Z,12.00,90.00
2026-03-09T13:03:00Z,12.00,90.00
2026-03-09T13:09:00Z,12.00,90.00
2026-03-09T13:10:00Z,12.00,90.00
2026-03-09T13:11:00Z,12.00,90.00
2026-03-09T13:16:00Z,11.00,90.00
2026-03-09T13:20:00Z,11.00,90.00
2026-03-09T13:22:00Z,11.78,90.00
2026-03-09T13:23:00Z,12.00,89.00
2026-03-09T13:25:00Z,12.00,90.00
