# event_ticker=KXATPCHALLENGERMATCH-26MAY20GUEPIR
# final_score=6-1 6-4
# match_winner=Andrea Guerrieri
# fav_player=Andrea Guerrieri
# dog_player=Gabriele Piraino
# kalshi_date=2026-05-20
timestamp,Andrea Guerrieri,Gabriele Piraino
2026-05-20T06:17:00Z,,31.00
2026-05-20T06:24:00Z,70.00,31.00
2026-05-20T06:27:00Z,70.00,31.00
2026-05-20T06:49:00Z,70.00,31.00
2026-05-20T08:22:00Z,70.00,31.00
2026-05-20T09:20:00Z,70.00,31.00
2026-05-20T12:58:00Z,69.00,31.00
2026-05-20T13:54:00Z,69.00,32.00
2026-05-20T14:45:00Z,69.00,32.00
2026-05-20T14:47:00Z,69.00,32.00
2026-05-20T15:37:00Z,70.00,32.00
2026-05-20T15:52:00Z,69.00,32.00
2026-05-20T16:35:00Z,70.00,32.00
2026-05-20T16:43:00Z,71.00,32.00
2026-05-20T17:05:00Z,71.00,32.00
2026-05-20T17:14:00Z,70.00,32.00
2026-05-20T17:18:00Z,71.00,31.00
2026-05-20T17:22:00Z,70.00,31.00
2026-05-20T17:23:00Z,67.00,32.00
2026-05-20T17:24:00Z,66.00,35.99
2026-05-20T17:25:00Z,64.00,35.99
2026-05-20T17:26:00Z,69.00,35.99
2026-05-20T17:27:00Z,69.00,28.00
2026-05-20T17:28:00Z,72.00,28.00
2026-05-20T17:29:00Z,72.00,28.00
2026-05-20T17:30:00Z,75.00,27.00
2026-05-20T17:31:00Z,76.00,27.00
2026-05-20T17:32:00Z,78.14,27.00
2026-05-20T17:33:00Z,81.00,27.00
2026-05-20T17:34:00Z,82.00,27.00
2026-05-20T17:35:00Z,82.00,27.00
2026-05-20T17:36:00Z,84.00,27.00
2026-05-20T17:37:00Z,84.00,16.00
2026-05-20T17:39:00Z,88.97,15.96
2026-05-20T17:40:00Z,88.10,12.00
2026-05-20T17:41:00Z,90.00,11.00
2026-05-20T17:43:00Z,90.00,11.00
2026-05-20T17:44:00Z,90.97,9.00
2026-05-20T17:45:00Z,92.00,8.00
2026-05-20T17:46:00Z,91.00,8.00
2026-05-20T17:47:00Z,92.00,8.00
2026-05-20T17:48:00Z,92.00,8.00
2026-05-20T17:51:00Z,92.44,8.00
2026-05-20T17:52:00Z,92.44,9.00
2026-05-20T17:53:00Z,93.00,9.00
2026-05-20T17:54:00Z,93.00,9.00
2026-05-20T17:55:00Z,93.00,9.00
2026-05-20T17:56:00Z,91.51,9.00
2026-05-20T17:57:00Z,91.88,10.00
2026-05-20T17:58:00Z,92.00,10.00
2026-05-20T17:59:00Z,90.00,10.62
2026-05-20T18:00:00Z,90.00,11.58
2026-05-20T18:01:00Z,86.31,12.84
2026-05-20T18:02:00Z,84.87,18.37
2026-05-20T18:03:00Z,82.88,21.25
2026-05-20T18:04:00Z,79.80,21.94
2026-05-20T18:05:00Z,80.00,20.00
2026-05-20T18:06:00Z,82.55,19.39
2026-05-20T18:07:00Z,86.50,15.17
2026-05-20T18:08:00Z,88.00,13.00
2026-05-20T18:09:00Z,87.63,14.99
2026-05-20T18:10:00Z,86.27,15.93
2026-05-20T18:11:00Z,83.21,17.82
2026-05-20T18:12:00Z,84.46,17.92
2026-05-20T18:13:00Z,83.53,19.00
2026-05-20T18:14:00Z,83.21,18.38
2026-05-20T18:15:00Z,77.00,24.11
2026-05-20T18:16:00Z,75.15,25.67
2026-05-20T18:17:00Z,77.03,21.84
2026-05-20T18:18:00Z,83.62,24.64
2026-05-20T18:19:00Z,78.77,25.45
2026-05-20T18:20:00Z,84.93,20.38
2026-05-20T18:21:00Z,85.00,16.04
2026-05-20T18:22:00Z,78.01,21.73
2026-05-20T18:23:00Z,75.69,26.00
2026-05-20T18:24:00Z,81.75,21.09
2026-05-20T18:25:00Z,83.33,20.27
2026-05-20T18:26:00Z,86.07,14.66
2026-05-20T18:27:00Z,87.00,17.71
2026-05-20T18:28:00Z,86.00,18.03
2026-05-20T18:29:00Z,86.00,14.47
2026-05-20T18:30:00Z,86.60,13.68
2026-05-20T18:31:00Z,86.99,13.19
2026-05-20T18:32:00Z,88.00,13.87
2026-05-20T18:33:00Z,89.47,11.55
2026-05-20T18:34:00Z,90.39,5.45
2026-05-20T18:35:00Z,95.59,6.00
2026-05-20T18:36:00Z,95.99,5.00
2026-05-20T18:37:00Z,95.55,6.41
2026-05-20T18:38:00Z,89.42,10.17
2026-05-20T18:39:00Z,86.81,12.34
2026-05-20T18:40:00Z,85.33,14.44
2026-05-20T18:41:00Z,84.48,17.47
2026-05-20T18:42:00Z,88.09,13.29
2026-05-20T18:43:00Z,93.39,7.02
2026-05-20T18:44:00Z,93.98,6.93
2026-05-20T18:45:00Z,93.54,6.71
2026-05-20T18:46:00Z,96.46,4.89
2026-05-20T18:47:00Z,96.06,4.93
2026-05-20T18:48:00Z,94.49,6.03
2026-05-20T18:49:00Z,95.96,4.07
2026-05-20T18:50:00Z,97.12,5.05
2026-05-20T18:51:00Z,97.57,4.14
2026-05-20T18:52:00Z,98.94,1.19
2026-05-20T18:53:00Z,98.94,1.00
