# event_ticker=KXATPCHALLENGERMATCH-26MAR24KOZMAR
# final_score=6-2 6-2
# match_winner=Andres Martin
# fav_player=Andres Martin
# dog_player=Stefan Kozlov
# kalshi_date=2026-03-24
timestamp,Andres Martin,Stefan Kozlov
2026-03-24T07:37:00Z,40.00,
2026-03-24T08:01:00Z,41.00,
2026-03-24T10:20:00Z,41.00,61.00
2026-03-24T10:26:00Z,41.00,61.00
2026-03-24T12:13:00Z,39.00,61.00
2026-03-24T12:20:00Z,39.00,61.00
2026-03-24T13:10:00Z,39.00,62.00
2026-03-24T14:03:00Z,39.00,62.00
2026-03-24T14:45:00Z,39.00,62.00
2026-03-24T15:10:00Z,39.00,63.00
2026-03-24T15:14:00Z,39.00,63.00
2026-03-24T16:27:00Z,39.00,63.00
2026-03-24T16:48:00Z,38.00,63.00
2026-03-24T16:50:00Z,38.00,63.68
2026-03-24T17:04:00Z,38.00,65.00
2026-03-24T17:08:00Z,38.00,62.92
2026-03-24T17:09:00Z,39.04,58.10
2026-03-24T17:10:00Z,43.32,58.10
2026-03-24T17:11:00Z,50.75,50.00
2026-03-24T17:12:00Z,53.78,48.62
2026-03-24T17:13:00Z,55.46,44.23
2026-03-24T17:14:00Z,55.00,43.00
2026-03-24T17:15:00Z,55.17,43.00
2026-03-24T17:16:00Z,61.18,43.00
2026-03-24T17:17:00Z,59.01,39.15
2026-03-24T17:18:00Z,57.00,42.38
2026-03-24T17:19:00Z,56.26,42.00
2026-03-24T17:21:00Z,64.62,36.27
2026-03-24T17:22:00Z,69.00,32.00
2026-03-24T17:23:00Z,70.36,30.00
2026-03-24T17:24:00Z,71.55,29.38
2026-03-24T17:25:00Z,69.72,33.86
2026-03-24T17:26:00Z,70.04,29.00
2026-03-24T17:27:00Z,69.00,33.00
2026-03-24T17:28:00Z,68.00,32.98
2026-03-24T17:29:00Z,68.00,33.00
2026-03-24T17:30:00Z,65.84,34.73
2026-03-24T17:31:00Z,69.00,32.00
2026-03-24T17:32:00Z,66.12,32.00
2026-03-24T17:33:00Z,63.67,37.13
2026-03-24T17:34:00Z,63.91,34.44
2026-03-24T17:35:00Z,65.64,34.00
2026-03-24T17:36:00Z,71.00,31.00
2026-03-24T17:37:00Z,72.86,29.15
2026-03-24T17:38:00Z,70.00,29.15
2026-03-24T17:39:00Z,72.00,28.00
2026-03-24T17:40:00Z,70.88,28.00
2026-03-24T17:41:00Z,71.00,30.00
2026-03-24T17:42:00Z,73.04,26.85
2026-03-24T17:43:00Z,73.16,26.85
2026-03-24T17:44:00Z,72.97,28.07
2026-03-24T17:45:00Z,69.81,30.47
2026-03-24T17:46:00Z,69.30,30.03
2026-03-24T17:48:00Z,71.09,28.00
2026-03-24T17:49:00Z,73.00,28.01
2026-03-24T17:50:00Z,73.00,29.00
2026-03-24T17:51:00Z,72.03,29.00
2026-03-24T17:52:00Z,72.03,29.00
2026-03-24T17:53:00Z,73.77,27.77
2026-03-24T17:54:00Z,75.00,26.00
2026-03-24T17:55:00Z,73.00,28.00
2026-03-24T17:56:00Z,76.72,24.51
2026-03-24T17:57:00Z,79.66,22.01
2026-03-24T17:59:00Z,70.99,30.00
2026-03-24T18:00:00Z,71.28,31.51
2026-03-24T18:01:00Z,71.34,29.47
2026-03-24T18:02:00Z,72.18,28.64
2026-03-24T18:03:00Z,70.00,31.07
2026-03-24T18:04:00Z,70.92,30.00
2026-03-24T18:05:00Z,68.10,31.74
2026-03-24T18:06:00Z,66.56,41.77
2026-03-24T18:07:00Z,69.56,29.15
2026-03-24T18:08:00Z,72.00,30.05
2026-03-24T18:09:00Z,67.71,32.41
2026-03-24T18:10:00Z,67.03,32.29
2026-03-24T18:11:00Z,65.43,35.00
2026-03-24T18:12:00Z,66.00,33.81
2026-03-24T18:13:00Z,66.34,34.78
2026-03-24T18:14:00Z,69.92,29.00
2026-03-24T18:15:00Z,70.78,27.77
2026-03-24T18:16:00Z,68.03,32.07
2026-03-24T18:17:00Z,72.27,28.76
2026-03-24T18:18:00Z,71.65,30.21
2026-03-24T18:19:00Z,75.00,24.46
2026-03-24T18:20:00Z,83.96,13.60
2026-03-24T18:21:00Z,87.73,12.84
2026-03-24T18:22:00Z,86.17,13.11
2026-03-24T18:23:00Z,85.90,15.55
2026-03-24T18:24:00Z,90.02,8.06
2026-03-24T18:25:00Z,93.51,6.65
2026-03-24T18:26:00Z,95.84,4.21
2026-03-24T18:27:00Z,98.92,1.94
2026-03-24T18:28:00Z,98.96,1.34
2026-03-24T18:29:00Z,99.00,1.99
2026-03-24T18:30:00Z,97.40,1.00
2026-03-24T18:31:00Z,97.40,1.00
2026-03-24T18:32:00Z,96.83,2.00
2026-03-24T18:33:00Z,97.17,3.69
2026-03-24T18:34:00Z,99.00,3.69
2026-03-24T18:35:00Z,99.00,3.69
