# event_ticker=KXATPMATCH-25JUL15BAEBUD
# final_score=3-6 6-2 7-5
# score_resolution=6-3 2-6 5-7
# match_winner=Sebastian Baez
# fav_player=Nicolai Budkov Kjaer
# dog_player=Sebastian Baez
# kalshi_date=2025-07-15
timestamp,Nicolai Budkov Kjaer,Sebastian Baez
2025-07-16T04:46:00Z,33.00,
2025-07-16T12:09:00Z,29.00,
2025-07-16T12:21:00Z,29.00,72.00
2025-07-16T12:34:00Z,29.00,72.00
2025-07-16T12:43:00Z,28.00,72.00
2025-07-16T13:13:00Z,28.00,73.00
2025-07-16T13:17:00Z,27.00,73.00
2025-07-16T13:34:00Z,27.00,73.00
2025-07-16T13:36:00Z,27.00,73.00
2025-07-16T13:47:00Z,27.56,73.00
2025-07-16T13:50:00Z,27.56,73.00
2025-07-16T14:01:00Z,27.56,72.42
2025-07-16T14:03:00Z,27.56,73.00
2025-07-16T14:11:00Z,28.00,73.00
2025-07-16T14:47:00Z,28.00,73.00
2025-07-16T15:07:00Z,28.00,73.16
2025-07-16T15:14:00Z,27.00,73.16
2025-07-16T15:18:00Z,27.00,75.00
2025-07-16T15:30:00Z,27.00,75.00
2025-07-16T15:36:00Z,27.40,75.00
2025-07-16T15:44:00Z,27.00,75.00
2025-07-16T15:50:00Z,27.00,74.00
2025-07-16T15:54:00Z,27.00,74.00
2025-07-16T15:55:00Z,27.00,74.50
2025-07-16T16:01:00Z,27.00,75.00
2025-07-16T16:09:00Z,27.00,75.00
2025-07-16T16:10:00Z,27.00,75.00
2025-07-16T16:14:00Z,27.00,75.00
2025-07-16T16:18:00Z,27.00,75.00
2025-07-16T16:19:00Z,27.00,75.00
2025-07-16T16:21:00Z,28.00,75.00
2025-07-16T16:22:00Z,28.00,75.00
2025-07-16T16:24:00Z,28.00,77.26
2025-07-16T16:25:00Z,28.00,76.00
2025-07-16T16:26:00Z,28.00,77.00
2025-07-16T16:27:00Z,23.00,77.00
2025-07-16T16:28:00Z,23.00,75.00
2025-07-16T16:29:00Z,30.00,75.00
2025-07-16T16:32:00Z,30.00,79.09
2025-07-16T16:35:00Z,20.92,81.02
2025-07-16T16:37:00Z,20.92,85.00
2025-07-16T16:38:00Z,20.92,83.00
2025-07-16T16:39:00Z,19.00,81.00
2025-07-16T16:40:00Z,32.00,81.00
2025-07-16T16:41:00Z,32.00,87.00
2025-07-16T16:42:00Z,32.63,87.00
2025-07-16T16:43:00Z,32.63,71.00
2025-07-16T16:44:00Z,31.00,70.00
2025-07-16T16:45:00Z,38.00,70.00
2025-07-16T16:46:00Z,43.98,58.94
2025-07-16T16:47:00Z,44.00,83.09
2025-07-16T16:48:00Z,43.23,61.83
2025-07-16T16:49:00Z,45.00,56.53
2025-07-16T16:50:00Z,49.85,49.49
2025-07-16T16:52:00Z,65.97,51.82
2025-07-16T16:53:00Z,48.29,53.70
2025-07-16T16:54:00Z,48.29,50.00
2025-07-16T16:55:00Z,56.20,46.52
2025-07-16T16:56:00Z,57.96,42.80
2025-07-16T16:57:00Z,57.00,42.80
2025-07-16T16:58:00Z,60.00,41.69
2025-07-16T16:59:00Z,59.00,42.00
2025-07-16T17:00:00Z,58.00,45.19
2025-07-16T17:01:00Z,56.00,45.19
2025-07-16T17:02:00Z,55.27,46.61
2025-07-16T17:03:00Z,51.00,46.61
2025-07-16T17:04:00Z,50.04,50.54
2025-07-16T17:05:00Z,50.47,49.47
2025-07-16T17:07:00Z,45.11,55.67
2025-07-16T17:08:00Z,40.03,65.57
2025-07-16T17:09:00Z,40.03,76.91
2025-07-16T17:12:00Z,40.03,72.00
2025-07-16T17:14:00Z,33.00,72.00
2025-07-16T17:17:00Z,37.34,72.00
2025-07-16T17:18:00Z,35.94,72.00
2025-07-16T17:19:00Z,35.94,86.99
2025-07-16T17:20:00Z,35.94,74.89
2025-07-16T17:21:00Z,36.30,74.89
2025-07-16T17:22:00Z,25.00,76.00
2025-07-16T17:23:00Z,22.61,76.00
2025-07-16T17:24:00Z,22.61,75.00
2025-07-16T17:27:00Z,36.21,75.00
2025-07-16T17:28:00Z,37.20,64.37
2025-07-16T17:29:00Z,36.64,67.00
2025-07-16T17:30:00Z,38.90,62.07
2025-07-16T17:31:00Z,38.90,70.82
2025-07-16T17:32:00Z,38.90,77.66
2025-07-16T17:33:00Z,18.75,77.66
2025-07-16T17:34:00Z,18.75,75.06
2025-07-16T17:35:00Z,28.29,73.47
2025-07-16T17:36:00Z,28.00,75.00
2025-07-16T17:37:00Z,25.00,77.00
2025-07-16T17:38:00Z,25.00,78.00
2025-07-16T17:41:00Z,29.99,70.00
2025-07-16T17:42:00Z,36.90,70.00
2025-07-16T17:44:00Z,46.06,53.50
2025-07-16T17:45:00Z,53.66,46.00
2025-07-16T17:46:00Z,63.43,46.00
2025-07-16T17:47:00Z,51.00,54.54
2025-07-16T17:48:00Z,57.00,54.54
2025-07-16T17:49:00Z,55.40,45.35
2025-07-16T17:50:00Z,55.58,47.03
2025-07-16T17:51:00Z,51.40,53.00
2025-07-16T17:52:00Z,56.13,44.67
2025-07-16T17:53:00Z,54.00,46.63
2025-07-16T17:54:00Z,52.03,53.44
2025-07-16T17:55:00Z,33.00,65.06
2025-07-16T17:56:00Z,38.30,65.00
2025-07-16T17:57:00Z,26.00,72.24
2025-07-16T17:58:00Z,29.00,71.00
2025-07-16T17:59:00Z,23.48,71.00
2025-07-16T18:00:00Z,23.14,78.00
2025-07-16T18:01:00Z,29.00,72.45
2025-07-16T18:02:00Z,36.08,69.47
2025-07-16T18:03:00Z,32.91,65.63
