# event_ticker=KXATPCHALLENGERMATCH-26APR03SANBRA
# final_score=1-6 6-1 6-3
# match_winner=Raul Brancaccio
# fav_player=Raul Brancaccio
# dog_player=Alejo Sanchez Quilez
# kalshi_date=2026-04-03
timestamp,Raul Brancaccio,Alejo Sanchez Quilez
2026-04-03T15:10:00Z,,64.00
2026-04-03T15:22:00Z,,52.00
2026-04-03T15:24:00Z,,51.00
2026-04-03T15:41:00Z,48.00,51.00
2026-04-03T15:43:00Z,47.41,56.06
2026-04-03T15:51:00Z,47.41,57.52
2026-04-03T15:53:00Z,47.41,53.00
2026-04-03T15:55:00Z,47.41,57.00
2026-04-03T15:56:00Z,47.41,56.80
2026-04-03T16:05:00Z,46.00,56.94
2026-04-03T16:06:00Z,45.00,56.94
2026-04-03T16:07:00Z,43.00,56.94
2026-04-03T16:08:00Z,44.00,59.25
2026-04-03T16:09:00Z,41.82,59.25
2026-04-03T16:10:00Z,33.00,66.00
2026-04-03T16:11:00Z,32.00,66.69
2026-04-03T16:12:00Z,26.20,73.76
2026-04-03T16:13:00Z,24.00,77.25
2026-04-03T16:14:00Z,25.00,75.21
2026-04-03T16:15:00Z,22.67,77.00
2026-04-03T16:16:00Z,18.57,87.55
2026-04-03T16:17:00Z,15.74,84.85
2026-04-03T16:18:00Z,14.81,91.01
2026-04-03T16:19:00Z,15.17,84.99
2026-04-03T16:20:00Z,14.47,86.01
2026-04-03T16:21:00Z,15.00,86.00
2026-04-03T16:22:00Z,14.24,86.00
2026-04-03T16:23:00Z,16.93,86.00
2026-04-03T16:24:00Z,15.70,83.00
2026-04-03T16:25:00Z,15.70,82.42
2026-04-03T16:26:00Z,15.70,84.08
2026-04-03T16:27:00Z,17.98,82.09
2026-04-03T16:28:00Z,17.00,84.20
2026-04-03T16:29:00Z,16.87,82.30
2026-04-03T16:30:00Z,16.97,84.00
2026-04-03T16:31:00Z,12.69,87.42
2026-04-03T16:32:00Z,8.96,91.01
2026-04-03T16:33:00Z,10.64,90.08
2026-04-03T16:34:00Z,14.22,85.74
2026-04-03T16:35:00Z,18.96,81.00
2026-04-03T16:36:00Z,21.21,81.02
2026-04-03T16:37:00Z,17.14,82.55
2026-04-03T16:38:00Z,21.70,80.00
2026-04-03T16:39:00Z,19.00,81.31
2026-04-03T16:40:00Z,25.83,80.74
2026-04-03T16:41:00Z,27.21,71.45
2026-04-03T16:42:00Z,31.90,64.33
2026-04-03T16:43:00Z,33.21,62.84
2026-04-03T16:44:00Z,32.40,69.67
2026-04-03T16:45:00Z,36.75,63.85
2026-04-03T16:46:00Z,34.86,61.07
2026-04-03T16:47:00Z,46.03,55.29
2026-04-03T16:48:00Z,46.81,55.25
2026-04-03T16:49:00Z,46.52,58.01
2026-04-03T16:50:00Z,50.86,54.36
2026-04-03T16:51:00Z,48.69,53.17
2026-04-03T16:52:00Z,49.31,52.09
2026-04-03T16:53:00Z,49.87,50.18
2026-04-03T16:54:00Z,49.33,49.58
2026-04-03T16:55:00Z,50.58,50.90
2026-04-03T16:56:00Z,50.49,51.00
2026-04-03T16:57:00Z,50.56,50.20
2026-04-03T16:58:00Z,50.30,50.00
2026-04-03T16:59:00Z,52.06,49.00
2026-04-03T17:00:00Z,45.47,56.54
2026-04-03T17:01:00Z,48.90,55.36
2026-04-03T17:02:00Z,45.20,55.85
2026-04-03T17:03:00Z,44.06,58.11
2026-04-03T17:04:00Z,41.30,60.08
2026-04-03T17:05:00Z,30.64,70.12
2026-04-03T17:06:00Z,26.82,76.76
2026-04-03T17:07:00Z,21.47,81.43
2026-04-03T17:08:00Z,22.82,75.23
2026-04-03T17:09:00Z,28.86,72.24
2026-04-03T17:10:00Z,28.73,75.72
2026-04-03T17:11:00Z,31.44,70.91
2026-04-03T17:12:00Z,28.23,74.91
2026-04-03T17:13:00Z,27.98,71.87
2026-04-03T17:14:00Z,36.72,66.12
2026-04-03T17:15:00Z,41.27,63.74
2026-04-03T17:16:00Z,38.10,66.64
2026-04-03T17:17:00Z,37.12,65.32
2026-04-03T17:18:00Z,35.82,67.85
2026-04-03T17:19:00Z,36.20,70.21
2026-04-03T17:20:00Z,35.76,64.64
2026-04-03T17:21:00Z,29.60,73.64
2026-04-03T17:22:00Z,34.88,69.49
2026-04-03T17:23:00Z,42.30,61.69
2026-04-03T17:24:00Z,45.86,63.88
2026-04-03T17:25:00Z,47.96,53.83
2026-04-03T17:26:00Z,50.94,52.63
2026-04-03T17:27:00Z,42.01,62.63
2026-04-03T17:28:00Z,42.73,56.85
2026-04-03T17:29:00Z,57.83,38.40
2026-04-03T17:30:00Z,61.40,38.08
2026-04-03T17:31:00Z,62.17,40.81
2026-04-03T17:32:00Z,62.62,37.53
2026-04-03T17:33:00Z,38.52,61.80
2026-04-03T17:34:00Z,48.59,54.91
2026-04-03T17:35:00Z,58.72,42.10
2026-04-03T17:36:00Z,55.73,43.47
2026-04-03T17:37:00Z,58.51,45.73
